"","Facility Name","Initial Date of Registration as an Outsourcing Facility","Date of Most Recent Registration as an Outsourcing Facility","End Date of Last FDA Inspection Releated to Compounding","Was a Form FDA-483 issued?","Other Action, if Any, Based on Last Inspection","Intends to Compounds Sterile Drugs From Bulk Drug Substances","Contact Name","Phone Number"
"1","AnazaoHealth Corporation, Las Vegas, NV",2014-09-23,2021-11-01,2019-09-19,"Yes","Warning Letter Issued 8/19/2021","Yes","Jaclyn Wong","800-995-4363
			Ext=3120"
"2","ANNOVEX PHARMA, LLC, Lorton, VA",2021-10-14,2021-10-14,NA,"N/A","N/A","Yes","Kenneth Erickson
			","540-907-7436"
"3","Apollo Care, Columbia, MO",2017-09-14,2020-12-21,2021-09-08,"Yes","Open7","Yes","Jarred Dudding","573-441-8900"
"4","ASP CARES, San Antonio, TX",2017-02-14,2020-11-20,2018-08-23,"Yes","Warning Letter Issued 4/5/2021","Yes","Jacqueline Esqueda","210-417-4567 "
"5","Athenex Pharma Solutions, LLC, Clarence, NY",2017-04-10,2021-10-18,2019-08-28,"Yes","FMD-145 Letter Issued 8/10/2021","Yes","Lori Giles Aleshin","716-812-9475"
"6","Athenex Pharma Solutions, LLC, Dunkirk, NY",2021-11-02,2021-11-02,NA,"N/A","N/A","Yes","Lori Giles Aleshin
			","716-812-9475"
"7","Atlas Pharmaceuticals, Phoenix, AZ",2017-11-08,2020-10-08,2021-05-21,"Yes","Open7","Yes ","Nickolaus Banda","480-208-1855"
"8","BayCare Integrated Service Center, LLC dba BayCare Central Pharmacy, Temple Terrace, FL",2019-06-04,2020-12-04,2019-12-10,"Yes","Untitled Letter Issued 9/13/2021","No","Kenneth Jozefczyk","813-901-6339"
"9","Belcher Pharmaceuticals, LLC, Largo, FL",2021-05-18,2021-05-18,NA,"N/A","N/A","No","Shyam Busireddy
			","727-471-0850"
"10","BPI Labs LLC, Largo, FL",2019-03-04,2020-12-28,2021-04-30,"Yes","FMD-145 Issued 9/10/2021","Yes","Chandra Kasireddy","727-471-0850"
"11","Brookfield Medical/Surgical Supply, Inc., Brookfield, CT",2015-01-12,2020-12-30,2018-12-21,"Yes","Open","Yes","James Cangelosi","203-775-0862"
"12","BSO LLC, Lakewood, CO",2015-11-24,2021-10-29,2021-03-11,"Yes","FMD-145 Issued 9/15/2021","Yes","David W. Hill","877-267-3410 "
