,Active Ingredients,UID,Brand Name
1,.alpha.-Estradiol 3-Benzoate; Estriol,A1001,NA
2,.alpha.-Estradiol 3-Benzoate; Estriol; Testosterone,A1002,NA
3,.alpha.-Ketoglutaric Acid,A1003,NA
4,.alpha.-Lipoic Acid,A1004,NA
5,.delta.14-Triamcinolone Acetonide; Calcipotriene,A1005,NA
6,.gamma.-Aminobutyric Acid,A1006,NA
7,.gamma.-Aminobutyric Acid; Magnesium Chloride Tetrahydrate; Taurine; Theanine,A1007,NA
8,1-Testosterone,A1008,NA
9,15-Hydroxytestosterone,A1009,NA
10,19-Hydroxytestosterone,A1010,NA
11,"19-Nor-1.alpha.,25-Dihydroxyvitamin D3",A1011,NA
12,"2,3-Dimercapto-1-Propanesulfonic Acid",A1012,NA
13,7-Keto-Dehydroepiandrosterone,A1013,NA
14,Acetaminophen,A1014,NA
15,Acetic Acid,A1015,NA
16,Acetylcysteine,A1016,NA
17,Acyclovir,A1017,NA
18,Adenosine,A1018,NA
19,Adenosine Phosphate,A1019,NA
20,Adenosine; Lidocaine Hydrochloride Anhydrous,A1020,NA
21,"Adenosine; Lidocaine Hydrochloride; Magnesium Sulfate, Unspecified",A1021,NA
22,Adenosine; Sodium Chloride; Lidocaine Hydrochloride; Magnesium Sulfate Heptahydrate,A1022,NA
23,Aflibercept,A1023,NA
24,Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Glutamic Acid; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine; Calcium Gluconate Monohydrate; Heparin Sodium,A1024,NA
25,Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Calcium Gluconate Monohydrate; Lysine Acetate; Serine; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Leucine; Methionine; Glutamic Acid; Proline; Aspartic Acid; Isoleucine,A1025,NA
26,Alanine; Glycine; Phenylalanine; Tryptophan; Valine; Heparin Sodium; Lysine Acetate; Serine; Glutamic Acid; Tyrosine; N-Acetyltyrosine; Threonine; Cysteine Hydrochloride; Histidine; Arginine; Taurine; Dextrose Monohydrate; Calcium Gluconate Monohydrate; Leucine; Methionine; Proline; Aspartic Acid; Isoleucine,A1026,NA
27,Albuterol,A1027,NA
28,Alpha Lipoic Acid,A1028,NA
29,Alprostadil,A1029,NA
30,Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate,A1030,NA
31,Alprostadil; Papaverine Hydrobromide; Phentolamine Mesylate,A1031,NA
32,Alprostadil; Papaverine Hydrochloride; Phentolamine Mesylate,A1032,NA
33,Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride,A1033,NA
34,Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride; Atropine Sulfate,A1034,NA
35,Aluminum Chloride,A1035,NA
36,Aluminum Hydroxide; Magnesium Hydroxide; Lidocaine Hydrochloride; Diphenhydramine Hydrochloride; Dimethicone,A1036,NA
