"","Active Ingredients","Active Ingredients Info","Dosage","Facility","Facility UID","Package Description","NDC Package Code","Report Year","UIDA","Brand Name"
"1","Atropine Sulfate",".8 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-1","A1064",NA
"2","Atropine Sulfate","2 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1064",NA
"3","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","125 Ml in 1 Bag",NA,"2019-1","A1222",NA
"4","Ephedrine Sulfate","50 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1","A1237",NA
"5","Ephedrine Sulfate","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1237",NA
"6","Ephedrine Sulfate","25 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1237",NA
"7","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-1","A1301",NA
"8","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1301",NA
"9","Glycopyrrolate",".4 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-1","A1301",NA
"10","Ketamine","20 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","2 Ml in 1 Syringe, Plastic",NA,"2019-1","A1373",NA
"11","Ketamine Hydrochloride","50 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","1 Ml in 1 Syringe, Plastic",NA,"2019-1","A1374",NA
"12","Ketamine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1374",NA
"13","Ketamine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","10 Ml in 1 Syringe, Plastic",NA,"2019-1","A1374",NA
"14","Lidocaine Hydrochloride","10 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","3 Ml in 1 Syringe, Plastic",NA,"2019-1","A1400",NA
"15","Lidocaine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions","827490728","5 Ml in 1 Syringe, Plastic",NA,"2019-1","A1400",NA
