"","Active","Dosage","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP"
"1","Doxycycline Hyclate","tablet","Atlas Pharmaceuticals, LLC","Dental",4,43,3,231,"Y"
"2","Moxifloxacin Hydrochloride","solution","Avella of Deer Valley, Inc. #38","Dental",9,38,2,231,NA
"3","Triamcinolone Acetonide","injection, suspension","Brookfield Medical Surgical Supply","Dental",7,12,2,231,NA
"4","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","Dental",1,257,11,231,NA
"5","Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride","solution","Central Admixture Pharmacy Services, Inc.","Dental",1,257,11,231,NA
"6","Aspartic Acid; Potassium Chloride; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","solution","Central Admixture Pharmacy Services, Inc.","Dental",1,257,11,231,NA
"7","Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate","solution","Central Admixture Pharmacy Services, Inc.","Dental",1,257,11,231,NA
"8","Bupivacaine Hydrochloride","solution","Central Admixture Pharmacy Services, Inc.","Dental",11,257,11,231,NA
"9","Diphenhydramine Hydrochloride","solution","Central Admixture Pharmacy Services, Inc.","Dental",3,257,11,231,"Y"
"10","Lidocaine Hydrochloride Anhydrous","solution","Central Admixture Pharmacy Services, Inc.","Dental",5,257,11,231,NA
"11","Midazolam Hydrochloride","solution","Central Admixture Pharmacy Services, Inc.","Dental",7,257,11,231,NA
"12","Tetracaine Hydrochloride","solution","Complete Pharmacy and Medical Solutions","Dental",7,149,4,231,"Y"
"13","Midazolam Hydrochloride","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",7,66,7,231,NA
"14","Moxifloxacin Hydrochloride","injection, solution","Denver Solutions, LLC dba Leiters Health","Dental",9,66,7,231,NA
"15","Triamcinolone Acetonide","injection, suspension","Eagle Pharmacy, Inc.","Dental",7,13,1,231,NA
"16","Ceftazidime","injection, solution","Edge Pharmacy Services LLC","Dental",5,142,15,231,"Y"
"17","Cefuroxime","injection, solution","Edge Pharmacy Services LLC","Dental",2,142,15,231,NA
"18","Iodine","solution","Edge Pharmacy Services LLC","Dental",1,142,15,231,NA
"19","Lidocaine; Phenylephrine Hydrochloride","solution","Edge Pharmacy Services LLC","Dental",1,142,15,231,NA
"20","Lidocaine; Racepinephrine","injection, solution","Edge Pharmacy Services LLC","Dental",1,142,15,231,NA
"21","Moxifloxacin","injection","Edge Pharmacy Services LLC","Dental",3,142,15,231,NA
"22","Promethazine Hydrochloride","injection, solution","Edge Pharmacy Services LLC","Dental",3,142,15,231,NA
"23","Promethazine Hydrochloride","ointment","Edge Pharmacy Services LLC","Dental",3,142,15,231,NA
"24","Tetracaine Hydrochloride","solution","Edge Pharmacy Services LLC","Dental",7,142,15,231,"Y"
"25","Triamcinolone Acetonide","suspension","Edge Pharmacy Services LLC","Dental",7,142,15,231,NA
"26","Benzyl Alcohol","injection","Empower Pharmacy","Dental",1,87,3,231,NA
"27","Triamcinolone Acetonide","injection, solution","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",7,61,3,231,NA
"28","Triamcinolone Acetonide","injection, suspension","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",7,61,3,231,NA
"29","Triamcinolone Diacetate","injection, suspension","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",2,61,3,231,NA
"30","Doxycycline Hyclate","solution/ drops","Hybrid Pharma","Dental",4,46,2,231,"Y"
"31","Lidocaine Hydrochloride Anhydrous","injection","Hybrid Pharma","Dental",5,46,2,231,NA
"32","Moxifloxacin Hydrochloride","solution","Imprimis NJOF, LLC","Dental",9,49,5,231,NA
"33","Cefazolin Sodium","injection","IntegraDose Compounding Services, LLC","Dental",3,28,1,231,NA
"34","Cefazolin Sodium","injection, solution","IntegraDose Compounding Services, LLC","Dental",3,28,1,231,NA
"35","Cefuroxime Sodium","injection","JCB Laboratories LLC","Dental",4,54,8,231,NA
"36","Moxifloxacin Hydrochloride","injection","JCB Laboratories LLC","Dental",9,54,8,231,NA
"37","Moxifloxacin Hydrochloride","solution","JCB Laboratories LLC","Dental",9,54,8,231,NA
"38","Triamcinolone Acetonide","injection","JCB Laboratories LLC","Dental",7,54,8,231,NA
"39","Trisodium Citrate Dihydrate; Gentamicin Sulfate","injection","JCB Laboratories LLC","Dental",2,54,8,231,NA
"40","Moxifloxacin Hydrochloride","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",9,101,8,231,NA
"41","Tetracaine Hydrochloride","solution","KRS GLOBAL BIOTECHNOLOGY, INC.","Dental",7,101,8,231,"Y"
"42","Azithromycin Anhydrous","solution","LEESAR INC","Dental",1,35,3,231,NA
"43","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","solution","LEESAR INC","Dental",1,35,3,231,NA
"44","Bupivacaine Hydrochloride","injection, solution","Leiter's Compounding","Dental",11,22,4,231,NA
"45","Cefuroxime Sodium","injection, solution","Leiter's Compounding","Dental",4,22,4,231,NA
"46","Moxifloxacin Hydrochloride","injection, solution","Leiter's Compounding","Dental",9,22,4,231,NA
"47","Cefuroxime Sodium","injection","Medi-Fare Drug","Dental",4,62,5,231,NA
