Active,Dosage,Facility,UID,Year,Period,Segmentation,BrandName,City,State,lon,lat,InitialRegistration,FacilitySqFt,Employees,Services,EstSales,EstFacilitySize,503A,ProductCount,Competing
Anastrozole; Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Anastrozole; Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Anastrozole; Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Anastrozole; Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Choline Chloride; Methionine; Inositol; Cyanocobalamin,injection,AnazaoHealth Corporation,796692619,2019,1,"Nutraceuticals, InfusionTherapy, Other",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Estradiol,pellet,AnazaoHealth Corporation,796692619,2019,1,NA,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Glutathione,injection,AnazaoHealth Corporation,796692619,2019,1,"Dermatology, Nutraceuticals, InfusionTherapy",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
"Lecithin, Soybean; Sodium Desoxycholate",injection,AnazaoHealth Corporation,796692619,2019,1,Other,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Levocarnitine,injection,AnazaoHealth Corporation,796692619,2019,1,"Nutraceuticals, InfusionTherapy",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Lysine Hydrochloride; Arginine Hydrochloride,injection,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Methionine; Inositol; Choline Chloride,injection,AnazaoHealth Corporation,796692619,2019,1,"Nutraceuticals, Other",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Methylcobalamin,injection,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,Methylcobalamin,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Methylcobalamin,injection,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,Methylcobalamin,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Nandrolone Decanoate,injection,AnazaoHealth Corporation,796692619,2019,1,"Surgical, Other",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Pyridoxine Hydrochloride,injection,AnazaoHealth Corporation,796692619,2019,1,"Nutraceuticals, InfusionTherapy",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Pyridoxine Hydrochloride; Thiamine Hydrochloride,injection,AnazaoHealth Corporation,796692619,2019,1,"Nutraceuticals, InfusionTherapy",NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone,pellet,AnazaoHealth Corporation,796692619,2019,1,Nutraceuticals,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone Cypionate,injection,AnazaoHealth Corporation,796692619,2019,1,Other,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone Cypionate,injection,AnazaoHealth Corporation,796692619,2019,1,Other,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Testosterone Cypionate,injection,AnazaoHealth Corporation,796692619,2019,1,Other,NA,Las Vegas,NV,-115.1398296,36.1699412,2014-09-23T00:00:00Z,30000,40,Compounding,45200000,Large,Y,45,2
Norepinephrine; Sodium Chloride; Sodium Metabisulfite,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Surgical, PlasticSurgery",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Oxytocin,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Surgical, InfusionTherapy, Other",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
Oxytocin,"injection, solution","Apollo Care, LLC",080452681,2019,1,"Surgical, InfusionTherapy, Other",NA,Columbia,MO,38.9322571333382,-92.334280722077,2017-09-14T00:00:00Z,1500,5,Compounding,660577,Small,"NA",14,NA
