"","Active","Facility","Segment","ActiveCount","ProductCount","FacilitySegmentCount","SegmentCount","ProducedByCP","City","State","lon","lat","InitialRegistration","FacilitySqFt","Employees","Services","EstSales","EstFacilitySize"
"1","Doxycycline Hyclate","Atlas Pharmaceuticals, LLC","Dental",4,24,3,231,"Y","Phoenix","AZ",-112.0740373,33.4483771,2016-11-08,"3000",5,"Compounding",179398,"Small"
"2","Moxifloxacin Hydrochloride","Avella of Deer Valley, Inc. #38","Dental",9,36,2,231,NA,"Phoenix","AZ",-112.0740373,33.4483771,2016-06-21,"NA",51,"Compounding",28960000,"Large"
"3","Triamcinolone Acetonide","Brookfield Medical Surgical Supply","Dental",7,12,2,231,NA,"Brookfield","CT",-88.1064787,43.0605671,2015-01-12,"NA",10,"Compounding",982304,"Small"
"4","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","Central Admixture Pharmacy Services, Inc.","Dental",1,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"5","Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride","Central Admixture Pharmacy Services, Inc.","Dental",1,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"6","Aspartic Acid; Potassium Chloride; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose","Central Admixture Pharmacy Services, Inc.","Dental",1,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"7","Aspartic Acid; Tromethamine; Glutamic Acid; Dextrose Monohydrate; Trisodium Citrate Dihydrate; Anhydrous Dextrose; Citric Acid Monohydrate; Sodium Phosphate, Monobasic, Monohydrate","Central Admixture Pharmacy Services, Inc.","Dental",1,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"8","Bupivacaine Hydrochloride","Central Admixture Pharmacy Services, Inc.","Dental",11,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"9","Diphenhydramine Hydrochloride","Central Admixture Pharmacy Services, Inc.","Dental",3,248,11,231,"Y","Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"10","Lidocaine Hydrochloride Anhydrous","Central Admixture Pharmacy Services, Inc.","Dental",5,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"11","Midazolam Hydrochloride","Central Admixture Pharmacy Services, Inc.","Dental",7,248,11,231,NA,"Allentown","PA",-75.4714098,40.6022939,2014-02-28,"NA",3,"Compounding",2670000,"Medium"
"12","Tetracaine Hydrochloride","Complete Pharmacy and Medical Solutions","Dental",7,78,4,231,"Y","Miami Lakes","FL",-80.3086619,25.9087056,2014-06-06,"1500",10,"Compounding",1130000,"Small"
"13","Midazolam Hydrochloride","Denver Solutions, LLC dba Leiters Health","Dental",7,65,7,231,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"14","Moxifloxacin Hydrochloride","Denver Solutions, LLC dba Leiters Health","Dental",9,65,7,231,NA,"Englewood","CO",-104.9877597,39.6477653,2017-03-24,"60000",8,"Compounding, Repackaging",2470000,"Medium"
"15","Triamcinolone Acetonide","Eagle Pharmacy, Inc.","Dental",7,13,1,231,NA,"Hoover","AL",-94.2207427,36.3603104,2015-06-16,"NA",16,"Compounding",906228,"Small"
"16","Ceftazidime","Edge Pharmacy Services LLC","Dental",5,106,15,231,"Y","Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"17","Cefuroxime","Edge Pharmacy Services LLC","Dental",2,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"18","Iodine","Edge Pharmacy Services LLC","Dental",1,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"19","Lidocaine; Phenylephrine Hydrochloride","Edge Pharmacy Services LLC","Dental",1,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"20","Lidocaine; Racepinephrine","Edge Pharmacy Services LLC","Dental",1,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"21","Moxifloxacin","Edge Pharmacy Services LLC","Dental",3,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"22","Promethazine Hydrochloride","Edge Pharmacy Services LLC","Dental",3,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"23","Tetracaine Hydrochloride","Edge Pharmacy Services LLC","Dental",7,106,15,231,"Y","Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"24","Triamcinolone Acetonide","Edge Pharmacy Services LLC","Dental",7,106,15,231,NA,"Colchester","VT",0.891874,51.895927,2014-01-21,"5000",22,"Compounding, Hazardous, Clinical Trials, Training",7200000,"Medium"
"25","Benzyl Alcohol","Empower Pharmacy","Dental",1,67,3,231,NA,"Houston","TX",-95.3698028,29.7604267,2016-07-16,"10000",22,"Compounding",246315,"Small"
"26","Triamcinolone Acetonide","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",7,40,3,231,NA,"Los Angeles","CA",-118.2436849,34.0522342,2017-01-06,"NA",32,"Compounding",4570000,"Medium"
"27","Triamcinolone Diacetate","Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals","Dental",2,40,3,231,NA,"Los Angeles","CA",-118.2436849,34.0522342,2017-01-06,"NA",32,"Compounding",4570000,"Medium"
"28","Doxycycline Hyclate","Hybrid Pharma","Dental",4,41,2,231,"Y","Deerfield Beach","FL",-80.0997657,26.3184123,2015-01-14,"3500",4,"Compounding",795844,"Small"
"29","Lidocaine Hydrochloride Anhydrous","Hybrid Pharma","Dental",5,41,2,231,NA,"Deerfield Beach","FL",-80.0997657,26.3184123,2015-01-14,"3500",4,"Compounding",795844,"Small"
"30","Moxifloxacin Hydrochloride","Imprimis NJOF, LLC","Dental",9,29,5,231,NA,"Ledgewood","NJ",-82.517773,35.570635,2016-11-12,"NA",5,"Compounding",411596,"Small"
