"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Atropine Sulfate",".8 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","2 Ml in 1 Syringe, Plastic",NA,"2019-1"
"2","Atropine Sulfate","2 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"3","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","125 Ml in 1 Bag",NA,"2019-1"
"4","Ephedrine Sulfate","50 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"5","Ephedrine Sulfate","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"6","Ephedrine Sulfate","25 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"7","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","3 Ml in 1 Syringe, Plastic",NA,"2019-1"
"8","Glycopyrrolate",".6 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"9","Glycopyrrolate",".4 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","2 Ml in 1 Syringe, Plastic",NA,"2019-1"
"10","Ketamine","20 mg/2 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","2 Ml in 1 Syringe, Plastic",NA,"2019-1"
"11","Ketamine Hydrochloride","50 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"12","Ketamine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"13","Ketamine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"14","Lidocaine Hydrochloride","10 mg/1 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","3 Ml in 1 Syringe, Plastic",NA,"2019-1"
"15","Lidocaine Hydrochloride","50 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"16","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","3 Ml in 1 Syringe, Plastic",NA,"2019-1"
"17","Lidocaine Hydrochloride","100 mg/10 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"18","Lidocaine Hydrochloride","30 mg/3 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"19","Lidocaine Hydrochloride","100 mg/5 mL","injection, solution","New England Life Care LLC dba Advanced Compounding Solutions(827490728)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
