"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1",".alpha.-Ketoglutaric Acid","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-1"
"2","Acetylcysteine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial",NA,"2019-1"
"3","Arginine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-1"
"4","Arginine Hydrochloride; Propylparaben; Methylparaben","200 mg/1 mL; .25 mg/1 mL; .5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"5","Ascorbic Acid","500 mg/1 mL","injection, solution","ASP Cares(080070525)","50 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"6","Avexitide","5 mg/1 mL","injection, solution","ASP Cares(080070525)","2 Ml in 1 Vial, Single-Use",NA,"2019-1"
"7","Calcium Gluconate","25 mg/1 mL","solution","ASP Cares(080070525)","2.5 Ml in 1 Vial, Plastic",NA,"2019-1"
"8","Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-1"
"9","Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","120 Ml in 1 Bottle, Plastic",NA,"2019-1"
"10","Dexpanthenol","250 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"11","Glutathione","200 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"12","Methionine; Choline Chloride; Inositol; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"13","Methionine; Choline Chloride; Inositol; Cyanocobalamin; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"14","Methylcobalamin","1 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"15","Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"16","Sildenafil","100 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-1"
"17","Sodium 3-Hydroxybutyrate","100 mg/1 mL","injection","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-1"
"18","Tadalafil","25 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-1"
"19","Taurine","50 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"20","Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","5 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"21","Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","10 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"22","Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"23","Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","30 G in 1 Jar",NA,"2019-1"
"24","Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","454 G in 1 Jar",NA,"2019-1"
"25","Tetracaine; Lidocaine","7 g/100 g; 23 g/100 g","ointment","ASP Cares(080070525)","75 G in 1 Jar",NA,"2019-1"
"26","Thiamine Hydrochloride; Benzyl Alcohol; Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride","100 mg/1 mL; 20 mg/1 mL; 2 mg/1 mL; 100 mg/1 mL; 2 mg/1 mL; 2 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"27","Tretinoin; Butylated Hydroxytoluene; Alcohol; Polyethylene Glycol 300","3 mg/1 mL; 200 mg/1 mL; 600 mg/1 mL; 395 mg/1 mL","solution","ASP Cares(080070525)","60 Ml in 1 Bottle, Glass",NA,"2019-1"
"28","Zinc Sulfate Monohydrate","2.5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"29",".alpha.-Ketoglutaric Acid","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-2"
"30","Acetylcysteine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial",NA,"2019-2"
"31","Arginine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-2"
