"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2019-1"
"2","Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2019-1"
"3","Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2019-1"
"4","Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2019-1"
"5","Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2019-1"
"6","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2019-1"
"7","Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2019-1"
"8","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2019-1"
"9","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2019-1"
"10","Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2019-1"
"11","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2019-1"
"12","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2019-1"
"13","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2019-1"
"14","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".032 mg/1 mL; .2638 mg/1 mL; .064 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-510-25)","71170-510-25","2019-2"
"15","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2019-2"
"16","Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2019-2"
"17","Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2019-2"
"18","Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2019-2"
"19","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2019-2"
"20","Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2019-2"
"21","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2019-2"
"22","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2019-2"
"23","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2019-2"
"24","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2019-2"
"25","Vancomycin Hydrochloride","2 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-234-25)","71170-234-25","2019-2"
"26","Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2019-2"
"27","Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2019-2"
"28","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2019-2"
"29","Fentanyl Citrate",".05 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Bag (71170-900-01)","71170-900-01","2020-1"
"30","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".032 mg/1 mL; .2638 mg/1 mL; .064 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-510-25)","71170-510-25","2020-1"
"31","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2020-1"
"32","Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2020-1"
"33","Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2020-1"
"34","Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2020-1"
"35","Vancomycin Hydrochloride","2 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-234-25)","71170-234-25","2020-1"
"36","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2020-1"
"37","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2020-1"
"38","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2020-1"
"39","Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2020-1"
"40","Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2020-1"
"41","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2020-1"
"42","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2020-1"
"43","Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2020-1"
"44","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2020-1"
"45","Fentanyl Citrate",".05 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Bag (71170-900-01)","71170-900-01","2020-2"
"46","Fentanyl Citrate",".05 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe (71170-910-25)","71170-910-25","2020-2"
"47","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".032 mg/1 mL; .2638 mg/1 mL; .064 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-510-25)","71170-510-25","2020-2"
"48","Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2020-2"
"49","Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2020-2"
"50","Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2020-2"
"51","Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2020-2"
"52","Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2020-2"
"53","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2020-2"
"54","Vancomycin Hydrochloride","2 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-234-25)","71170-234-25","2020-2"
"55","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2020-2"
"56","Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2020-2"
"57","Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2020-2"
"58","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2020-2"
"59","Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2020-2"
"60","Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2020-2"
"61","Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2020-2"
