"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Estradiol","18 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-1"
"2","Estradiol","10 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-1"
"3","Estradiol","6 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2019-1"
"4","Estradiol","25 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-1"
"5","Estradiol","12.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"6","Estradiol","15 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2019-1"
"7","Estradiol","20 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2019-1"
"8","Estradiol","37.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"9","Testosterone","25 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-1"
"10","Testosterone","37.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"11","Testosterone","62.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","62.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"12","Testosterone","200 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2019-1"
"13","Testosterone","12.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"14","Testosterone","100 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-1"
"15","Testosterone","87.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","87.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"16","Testosterone","50 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","50 Mg in 1 Vial, Plastic",NA,"2019-1"
"17","Estradiol","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"18","Estradiol","20 mg/20 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2019-2"
"19","Estradiol","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"20","Estradiol","15 mg/15 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2019-2"
"21","Estradiol","6 mg/6 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2019-2"
"22","Estradiol","22 mg/22 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","22 Mg in 1 Vial, Plastic",NA,"2019-2"
"23","Estradiol","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-2"
"24","Estradiol","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-2"
"25","Estradiol","10 mg/10 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","10 Mg in 1 Vial, Plastic",NA,"2019-2"
"26","Testosterone","50 mg/50 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","50 Mg in 1 Vial, Plastic",NA,"2019-2"
"27","Testosterone","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"28","Testosterone","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"29","Testosterone","200 mg/200 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2019-2"
"30","Testosterone","100 mg/100 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-2"
"31","Testosterone","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-2"
"32","Testosterone","87.5 mg/87.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","87.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"33","Testosterone","62.5 mg/62.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","62.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"34","Testosterone","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-2"
"35","Estradiol","20 mg/20 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2020-1"
"36","Estradiol","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2020-1"
"37","Estradiol","10 mg/10 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","10 Mg in 1 Vial, Plastic",NA,"2020-1"
"38","Estradiol","6 mg/6 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2020-1"
"39","Estradiol","22 mg/22 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","22 Mg in 1 Vial, Plastic",NA,"2020-1"
"40","Estradiol","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"41","Estradiol","15 mg/15 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2020-1"
"42","Estradiol","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"43","Estradiol","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2020-1"
"44","Testosterone","200 mg/200 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2020-1"
"45","Testosterone","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"46","Testosterone","303 mg/303 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","303 Mg in 1 Vial, Plastic",NA,"2020-1"
"47","Testosterone","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2020-1"
"48","Testosterone","100 mg/100 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2020-1"
"49","Testosterone","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"50","Testosterone","87.5 mg/87.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","87.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"51","Testosterone","50 mg/50 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","50 Mg in 1 Vial, Plastic",NA,"2020-1"
"52","Testosterone","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2020-1"
"53","Testosterone","62.5 mg/62.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","62.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"54","Estradiol","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic (79559-3037-1)","79559-3037-1","2020-2"
"55","Estradiol","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic (79559-3025-1)","79559-3025-1","2020-2"
"56","Estradiol","22 mg/22 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","22 Mg in 1 Vial, Plastic (79559-3022-1)","79559-3022-1","2020-2"
"57","Estradiol","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic (79559-3012-1)","79559-3012-1","2020-2"
"58","Estradiol","6 mg/6 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic (79559-3006-1)","79559-3006-1","2020-2"
"59","Estradiol","20 mg/20 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic (79559-3020-1)","79559-3020-1","2020-2"
"60","Estradiol","10 mg/10 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","10 Mg in 1 Vial, Plastic (79559-3010-1)","79559-3010-1","2020-2"
"61","Estradiol","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic (79559-3018-1)","79559-3018-1","2020-2"
"62","Estradiol","15 mg/15 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic (79559-3015-1)","79559-3015-1","2020-2"
