"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Epinephrine","16 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-466-15)","76154-466-15","2019-1"
"2","Epinephrine","32 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-470-15)","76154-470-15","2019-1"
"3","Glycopyrrolate",".2 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","3 Ml in 1 Syringe (76154-781-73)","76154-781-73","2019-1"
"4","Glycopyrrolate",".2 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","5 Ml in 1 Syringe (76154-782-75)","76154-782-75","2019-1"
"5","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","3 Ml in 1 Syringe (76154-785-73)","76154-785-73","2019-1"
"6","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","3 Ml in 1 Syringe (76154-777-73)","76154-777-73","2019-1"
"7","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","5 Ml in 1 Syringe (76154-787-75)","76154-787-75","2019-1"
"8","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","5 Ml in 1 Syringe (76154-779-75)","76154-779-75","2019-1"
"9","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","1 Ml in 1 Syringe (76154-783-71)","76154-783-71","2019-1"
"10","Norepinephrine Bitartrate","32 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-475-15)","76154-475-15","2019-1"
"11","Norepinephrine Bitartrate","16 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-474-15)","76154-474-15","2019-1"
"12","Norepinephrine Bitartrate","16 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-464-15)","76154-464-15","2019-1"
"13","Phenylephrine Hydrochloride","100 ug/1 mL","injection, solution","Athenex Pharma Solutions, LLC(078591072)","250 Ml in 1 Bag (76154-458-15)","76154-458-15","2019-1"
