"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Ascorbic Acid","500 mg/1 mL","injection","Atlas Pharmaceuticals, LLC(057234359)","50 Ml in 1 Vial (71591-500-50)","71591-500-50","2019-1"
"2","Buprenorphine Hydrochloride",".3 mg/1 mL","solution","Atlas Pharmaceuticals, LLC(057234359)","60 Ml in 1 Bottle (71591-003-60)","71591-003-60","2019-1"
"3","Buprenorphine Hydrochloride",".15 mg/1 mL","injection","Atlas Pharmaceuticals, LLC(057234359)","30 Ml in 1 Vial, Multi-Dose (71591-015-30)","71591-015-30","2019-1"
"4","Buprenorphine Hydrochloride",".6 mg/1 mL","injection","Atlas Pharmaceuticals, LLC(057234359)","15 Ml in 1 Vial, Multi-Dose (71591-006-15)","71591-006-15","2019-1"
"5","Buprenorphine Hydrochloride",".6 mg/1 mL","solution","Atlas Pharmaceuticals, LLC(057234359)","30 Ml in 1 Bottle (71591-011-30)","71591-011-30","2019-1"
"6","Buprenorphine Hydrochloride",".6 mg/1 mL","solution","Atlas Pharmaceuticals, LLC(057234359)","60 Ml in 1 Bottle (71591-011-60)","71591-011-60","2019-1"
"7","Buprenorphine Hydrochloride",".3 mg/1 mL","solution","Atlas Pharmaceuticals, LLC(057234359)","30 Ml in 1 Bottle (71591-003-30)","71591-003-30","2019-1"
"8","Dexmedetomidine Hydrochloride","1 mg/1 mL","injection","Atlas Pharmaceuticals, LLC(057234359)","5 Ml in 1 Vial (71591-014-05)","71591-014-05","2019-1"
"9","Dexpanthenol","250 mg/1 mL","injection","Atlas Pharmaceuticals, LLC(057234359)","30 Ml in 1 Vial (71591-044-30)","71591-044-30","2019-1"
"10","Doxycycline","100 mg/1 mL","suspension","Atlas Pharmaceuticals, LLC(057234359)","240 Ml in 1 Bottle (71591-027-01)","71591-027-01","2019-1"
"11","Doxycycline Anhydrous","50 mg/1 mL","suspension","Atlas Pharmaceuticals, LLC(057234359)","240 Ml in 1 Bottle (71591-026-01)","71591-026-01","2019-1"
"12","Doxycycline Hyclate","300 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-022-01)","71591-022-01","2019-1"
"13","Doxycycline Hyclate","150 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-023-01)","71591-023-01","2019-1"
"14","Doxycycline Hyclate","25 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-028-01)","71591-028-01","2019-1"
"15","Doxycycline Hyclate","125 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-024-01)","71591-024-01","2019-1"
"16","Enrofloxacin","204 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-029-01)","71591-029-01","2019-1"
"17","Fluconazole","100 mg/1 mL","suspension","Atlas Pharmaceuticals, LLC(057234359)","240 Ml in 1 Bottle (71591-033-01)","71591-033-01","2019-1"
"18","Fluconazole","300 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-031-01)","71591-031-01","2019-1"
"19","Fluconazole","100 mg/1 mL","suspension","Atlas Pharmaceuticals, LLC(057234359)","100 Ml in 1 Bottle (71591-033-02)","71591-033-02","2019-1"
"20","Fluconazole","400 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-032-01)","71591-032-01","2019-1"
"21","Fluconazole","75 mg","tablet","Atlas Pharmaceuticals, LLC(057234359)","100 Tablet in 1 Bottle (71591-030-01)","71591-030-01","2019-1"
"22","Gabapentin","75 mg/1 mL","suspension","Atlas Pharmaceuticals, LLC(057234359)","240 Ml in 1 Bottle (71591-039-01)","71591-039-01","2019-1"
