"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2019-1"
"2","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2019-1"
"3","Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2019-1"
"4","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2019-1"
"5","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2019-1"
"6","Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2019-2"
"7","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2019-2"
"8","Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2019-2"
"9","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2019-2"
"10","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2019-2"
"11","Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2020-1"
"12","Isopropyl Alcohol","75 mL/100 mL","liquid","Brookfield Medical Surgical Supply(079628946)","120 Ml in 1 Bottle, Plastic (72907-1234-1)","72907-1234-1","2020-1"
"13","Isopropyl Alcohol","75 mL/100 mL","liquid","Brookfield Medical Surgical Supply(079628946)","60 Ml in 1 Bottle, Plastic (72907-1234-6)","72907-1234-6","2020-1"
"14","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-2115-3)","72907-2115-3","2020-1"
"15","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2020-1"
"16","Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2020-1"
"17","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2020-1"
"18","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2020-1"
"19","Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2020-2"
"20","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-2115-3)","72907-2115-3","2020-2"
"21","Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2020-2"
"22","Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2020-2"
"23","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2020-2"
"24","Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2020-2"
