"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Anastrozole; 1-Testosterone","4 mg; 100 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial, Glass (71138-1004-1)","71138-1004-1","2019-1"
"2","Anastrozole; Testosterone","4 mg; 75 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0754-1)","71138-0754-1","2019-1"
"3","Dyclonine Hydrochloride","10 mg/10 mL","rinse","Carie Boyd's Prescription Shop(960588176)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"4","Dyclonine Hydrochloride","5 mg/5 mL","rinse","Carie Boyd's Prescription Shop(960588176)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"5","Estradiol","15 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0015-1)","71138-0015-1","2019-1"
"6","Estradiol","6 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0006-1)","71138-0006-1","2019-1"
"7","Estradiol","37.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0375-1)","71138-0375-1","2019-1"
"8","Estradiol","18 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0018-1)","71138-0018-1","2019-1"
"9","Estradiol","20 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0020-1)","71138-0020-1","2019-1"
"10","Estradiol","10 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0010-1)","71138-0010-1","2019-1"
"11","Estradiol","50 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0050-1)","71138-0050-1","2019-1"
"12","Estradiol","22 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0022-1)","71138-0022-1","2019-1"
"13","Estradiol","25 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0025-1)","71138-0025-1","2019-1"
"14","Estradiol","12.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0125-1)","71138-0125-1","2019-1"
"15","Human Chorionic Gonadotropin","250 mg/.5 1","cream","Carie Boyd's Prescription Shop(960588176)","30 Cream in 1 Jar",NA,"2019-1"
"16","Human Chorionic Gonadotropin","1000 U","injection","Carie Boyd's Prescription Shop(960588176)","10 Injection in 1 Vial",NA,"2019-1"
"17","Lidocaine; Prilocaine; Tetracaine","50 mg/1 mg; 50 mg/1 mg; 20 mg/1 mg","gel","Carie Boyd's Prescription Shop(960588176)","30 Mg in 1 Jar",NA,"2019-1"
"18","Lidocaine; Prilocaine; Tetracaine","100 mg/1 mg; 100 mg/1 mg; 40 mg/1 mg","gel","Carie Boyd's Prescription Shop(960588176)","30 Mg in 1 Jar",NA,"2019-1"
"19","Methylcobalamin","1 mg/1 mg","injection, solution","Carie Boyd's Prescription Shop(960588176)","10 Mg in 1 Vial",NA,"2019-1"
"20","Methylprednisolone Acetate","80 mg/10 mL","injection","Carie Boyd's Prescription Shop(960588176)","10 Ml in 1 Vial",NA,"2019-1"
"21","Oxytocin","50 U","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-7005-1)","71138-7005-1","2019-1"
