"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Adenosine; Sodium Chloride; Lidocaine Hydrochloride; Magnesium Sulfate Heptahydrate","40 mg/40 mL; 150 mg/40 mL; 40 mg/40 mL; 4 g/40 mL","solution","Central Admixture Pharmacy Services, Inc.(019684530)","40 Ml in 1 Syringe (71285-0200-1)","71285-0200-1","2019-1"
"2","Adenosine; Sodium Chloride; Lidocaine Hydrochloride; Magnesium Sulfate Heptahydrate","40 mg/40 mL; 150 mg/40 mL; 40 mg/40 mL; 4 g/40 mL","solution","Central Admixture Pharmacy Services, Inc.(080955366)","40 Ml in 1 Syringe (72196-0200-1)","72196-0200-1","2019-1"
"3","Aspartic Acid; Glutamic Acid","9.8 g/125 mL; 10.7 g/125 mL","solution","Central Admixture Pharmacy Services, Inc.(080955366)","125 Ml in 1 Bag (72196-0001-1)","72196-0001-1","2019-1"
"4","Aspartic Acid; Glutamic Acid","9.8 g/125 mL; 10.7 g/125 mL","solution","Central Admixture Pharmacy Services, Inc.(019684530)","125 Ml in 1 Bag (71285-0001-1)","71285-0001-1","2019-1"
"5","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",".03769 g/1 mL; .04206 g/1 mL; .01226 g/1 mL; .09863 g/1 mL; .00833 g/1 mL; .174 g/1 mL","solution","Central Admixture Pharmacy Services, Inc.(019684530)","120 Ml in 1 Bag (71285-0012-2)","71285-0012-2","2019-1"
"6","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",".03769 g/1 mL; .04206 g/1 mL; .01226 g/1 mL; .09863 g/1 mL; .00833 g/1 mL; .174 g/1 mL","solution","Central Admixture Pharmacy Services, Inc.(019684530)","40 Ml in 1 Bag (71285-0012-1)","71285-0012-1","2019-1"
"7","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",".03769 g/1 mL; .04206 g/1 mL; .01226 g/1 mL; .09863 g/1 mL; .00833 g/1 mL; .174 g/1 mL","solution","Central Admixture Pharmacy Services, Inc.(080955366)","40 Ml in 1 Bag (72196-0012-1)","72196-0012-1","2019-1"
"8","Aspartic Acid; Glutamic Acid; Citric Acid Monohydrate; Trisodium Citrate Dihydrate; Sodium Phosphate, Monobasic, Monohydrate; Anhydrous Dextrose",".03769 g/1 mL; .04206 g/1 mL; .01226 g/1 mL; .09863 g/1 mL; .00833 g/1 mL; .174 g/1 mL","solution","Central Admixture Pharmacy Services, Inc.(080955366)","120 Ml in 1 Bag (72196-0012-2)","72196-0012-2","2019-1"
"9","Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride",".02193 g/1 mL; .03059 g/1 mL; .09036 g/1 mL; 2.39091 mg/1 mL; 2.28182 mg/1 mL; 1.67273 mg/1 mL; .16818 mg/1 mL; .13636 mg/1 mL","solution","Central Admixture Pharmacy Services, Inc.(080955366)","165 Ml in 1 Bag (72196-0014-2)","72196-0014-2","2019-1"
"10","Aspartic Acid; Glutamic Acid; Dextrose Monohydrate; Sodium Chloride; Sodium Gluconate; Sodium Acetate; Potassium Chloride; Magnesium Chloride",".02193 g/1 mL; .03059 g/1 mL; .09036 g/1 mL; 2.39091 mg/1 mL; 2.28182 mg/1 mL; 1.67273 mg/1 mL; .16818 mg/1 mL; .13636 mg/1 mL","solution","Central Admixture Pharmacy Services, Inc.(019684530)","55 Ml in 1 Bag (71285-0014-1)","71285-0014-1","2019-1"
