"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","15-Hydroxytestosterone",".002 g","cream","Complete Pharmacy and Medical Solutions(004417520)","1 Cream in 1 Jar",NA,"2019-1"
"2","19-Hydroxytestosterone",".004 g","cream","Complete Pharmacy and Medical Solutions(004417520)","1 Cream in 1 Jar",NA,"2019-1"
"3","7-Keto-Dehydroepiandrosterone",".05 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"4","7-Keto-Dehydroepiandrosterone",".025 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"5","Adenosine",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Single-Dose",NA,"2019-1"
"6","Adenosine",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Syringe, Plastic",NA,"2019-1"
"7","Adenosine Phosphate",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Pharmacy Bulk Package",NA,"2019-1"
"8","Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"9","Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Capsule",NA,"2019-1"
"10","Anastrozole",".00025 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"11","Anastrozole",".005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Bottle, Dispensing",NA,"2019-1"
"12","Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Multi-Dose",NA,"2019-1"
