"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2019-1"
"2","Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2019-1"
"3","Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2019-1"
"4","Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2019-1"
"5","Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2019-1"
"6","Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2019-1"
"7","Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2019-1"
"8","Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2019-1"
"9","Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2019-1"
"10","Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2019-2"
"11","Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2019-2"
"12","Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2019-2"
"13","Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2019-2"
"14","Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2019-2"
"15","Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2019-2"
"16","Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2019-2"
"17","Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2019-2"
"18","Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2019-2"
"19","Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2020-1"
"20","Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2020-1"
"21","Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2020-1"
"22","Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2020-1"
"23","Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2020-1"
"24","Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2020-1"
"25","Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2020-1"
"26","Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2020-1"
"27","Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2020-1"
"28","Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2020-2"
"29","Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2020-2"
"30","Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2020-2"
"31","Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2020-2"
"32","Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2020-2"
"33","Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2020-2"
"34","Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2020-2"
"35","Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2020-2"
"36","Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2020-2"
