"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Acetic Acid","4 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0475-03)","5446-0475-03","2019-1"
"2","Acetic Acid","2 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0578-03)","5446-0578-03","2019-1"
"3","Aluminum Chloride","350 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","30 Ml in 1 Bottle, Glass (5446-1212-03)","5446-1212-03","2019-1"
"4","Aminohippurate Sodium","2000 mg/10 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Vial (5446-1367-01)","5446-1367-01","2019-1"
"5","Amphotericin B","2 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-1105-03)","5446-1105-03","2019-1"
"6","Atropine Sulfate",".4 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-0853-01)","5446-0853-01","2019-1"
"7","Benzoyl Peroxide","100 mg/1 g","gel","Edge Pharmacy Services LLC(079514018)","6 G in 1 Jar (5446-1204-03)","5446-1204-03","2019-1"
"8","Benzoyl Peroxide","200 mg/1 g","gel","Edge Pharmacy Services LLC(079514018)","6 G in 1 Jar (5446-1216-03)","5446-1216-03","2019-1"
"9","Bevacizumab","2.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".9 Ml in 1 Syringe, Plastic (5446-1135-01)","5446-1135-01","2019-1"
"10","Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1133-01)","5446-1133-01","2019-1"
"11","Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1140-01)","5446-1140-01","2019-1"
"12","Bevacizumab","3.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","1 Ml in 1 Syringe, Plastic (5446-1508-01)","5446-1508-01","2019-1"
"13","Bevacizumab","2 mg/.08 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".8 Ml in 1 Syringe, Plastic (5446-1343-01)","5446-1343-01","2019-1"
"14","Bevacizumab","2.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1122-01)","5446-1122-01","2019-1"
"15","Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1115-01)","5446-1115-01","2019-1"
"16","Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1134-01)","5446-1134-01","2019-1"
"17","Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1113-01)","5446-1113-01","2019-1"
"18","Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1112-01)","5446-1112-01","2019-1"
"19","Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1121-01)","5446-1121-01","2019-1"
"20","Bevacizumab; Dexamethasone","2.5 mg/1 mL; .4 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-0822-01)","5446-0822-01","2019-1"
"21","Boric Acid","30 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","240 Ml in 1 Bottle (5446-1175-03)","5446-1175-03","2019-1"
"22","Cantharidin","10 mg/1 mL","gel","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Vial, Multi-Dose (5446-0572-03)","5446-0572-03","2019-1"
"23","Ceftazidime","22.5 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-0733-01)","5446-0733-01","2019-1"
"24","Cefuroxime","10 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1003-01)","5446-1003-01","2019-1"
"25","Cefuroxime; Carbachol","10 mg/1 mL; .013 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".4 Ml in 1 Syringe, Plastic (5446-1138-01)","5446-1138-01","2019-1"
"26","Cefuroxime; Carbachol; Dexamethasone Sodium Phosphate","10 mg/1 mL; .013 mg/1 mL; 4 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".4 Ml in 1 Syringe, Plastic (5446-1141-01)","5446-1141-01","2019-1"
"27","Chloramphenicol; Sulfamethoxazole; Amphotericin B","50 mg; 50 mg; 5 mg","capsule","Edge Pharmacy Services LLC(079514018)","1 Capsule in 1 Not Applicable (5446-1157-03)","5446-1157-03","2019-1"
"28","Chloramphenicol; Sulfamethoxazole; Amphotericin B; Boric Acid","50 mg; 50 mg; 5 mg; 65 mg","capsule","Edge Pharmacy Services LLC(079514018)","1 Capsule in 1 Not Applicable (5446-1076-03)","5446-1076-03","2019-1"
"29","Cyanocobalamin","1 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","100 Ml in 1 Vial, Glass (5446-0854-01)","5446-0854-01","2019-1"
"30","Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine; Ciprofloxacin Hydrochloride; Tropicamide","20 mg/1 mL; 25 mg/1 mL; 1.25 mg/1 mL; 3 mg/1 mL; 10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe (5446-0945-01)","5446-0945-01","2019-1"
"31","Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine; Ciprofloxacin Hydrochloride; Tropicamide","20 mg/1 mL; 25 mg/1 mL; 1.25 mg/1 mL; 3 mg/1 mL; 10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","15 Ml in 1 Bottle, Dropper (5446-0996-01)","5446-0996-01","2019-1"
"32","Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide","20 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1334-01)","5446-1334-01","2019-1"
"33","Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine","2.5 mg/1 mL; 100 mg/1 mL; 2.5 mg/1 mL; 1.25 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Bottle, Dropper (5446-0859-03)","5446-0859-03","2019-1"
"34","Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine","2.5 mg/1 mL; 25 mg/1 mL; 2.5 mg/1 mL; 1.25 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","1 Ml in 1 Syringe, Plastic (5446-0993-01)","5446-0993-01","2019-1"
"35","Dexamethasone","10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","1 Ml in 1 Syringe, Plastic (5446-0417-01)","5446-0417-01","2019-1"
"36","Dexamethasone","4 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","240 Ml in 1 Syringe, Plastic (5446-0622-01)","5446-0622-01","2019-1"
"37","Dexamethasone","24 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","1 Ml in 1 Syringe, Plastic (5446-0848-01)","5446-0848-01","2019-1"
"38","Diltiazem Hydrochloride","20 mg/1 g","cream","Edge Pharmacy Services LLC(079514018)","30 G in 1 Jar (5446-1086-03)","5446-1086-03","2019-1"
"39","Droperidol","2.5 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Vial (5446-0686-01)","5446-0686-01","2019-1"
"40","Dyclonine Hydrochloride","10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","240 Ml in 1 Bottle (5446-0473-03)","5446-0473-03","2019-1"
"41","Edetate Calcium Disodium","3.5 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Syringe, Plastic (5446-1231-01)","5446-1231-01","2019-1"
"42","Edetate Calcium Disodium","17 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe, Plastic (5446-0817-01)","5446-0817-01","2019-1"
"43","Edetate Calcium Disodium","15 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe, Plastic (5446-0414-09)","5446-0414-09","2019-1"
"44","Edetate Calcium Disodium","20 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe, Plastic (5446-0983-01)","5446-0983-01","2019-1"
"45","Edetate Calcium Disodium","30 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe, Plastic (5446-1021-01)","5446-1021-01","2019-1"
"46","Edetate Calcium Disodium","30 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","15 Ml in 1 Syringe, Plastic (5446-1428-01)","5446-1428-01","2019-1"
"47","Edetate Calcium Disodium","10 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe, Plastic (5446-0931-01)","5446-0931-01","2019-1"
"48","Edetate Calcium Disodium","15 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","15 Ml in 1 Bottle, Dropper (5446-1427-01)","5446-1427-01","2019-1"
"49","Folic Acid","1 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-0768-88)","5446-0768-88","2019-1"
"50","Gabapentin","60 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0478-59)","5446-0478-59","2019-1"
"51","Glycerin","990 mg/1 mL","injection","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-1486-01)","5446-1486-01","2019-1"
"52","Glycolic Acid","500 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0953-03)","5446-0953-03","2019-1"
"53","Glycolic Acid","350 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0580-39)","5446-0580-39","2019-1"
"54","Glycopyrrolate",".2 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","5 Ml in 1 Syringe (5446-0740-01)","5446-0740-01","2019-1"
"55","Hydrochloric Acid",".148 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","1.8 Ml in 1 Syringe (5446-0980-01)","5446-0980-01","2019-1"
