"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1",".alpha.-Lipoic Acid","25 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2406-1)","72627-2406-1","2019-1"
"2",".gamma.-Aminobutyric Acid","100 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2413-2)","72627-2413-2","2019-1"
"3",".gamma.-Aminobutyric Acid; Magnesium Chloride Tetrahydrate; Taurine; Theanine","50 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2409-2)","72627-2409-2","2019-1"
"4","1-Testosterone","100 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2202-9) > 1 Pellet, Implantable in 1 Ampule (72627-2202-1)","72627-2202-9","2019-1"
"5","1-Testosterone","25 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2200-8) > 1 Pellet, Implantable in 1 Ampule (72627-2200-1)","72627-2200-8","2019-1"
"6","1-Testosterone","50 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2201-9) > 1 Pellet, Implantable in 1 Ampule (72627-2201-1)","72627-2201-9","2019-1"
"7","1-Testosterone","25 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2200-9) > 1 Pellet, Implantable in 1 Ampule (72627-2200-1)","72627-2200-9","2019-1"
"8","1-Testosterone","100 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2202-8) > 1 Pellet, Implantable in 1 Ampule (72627-2202-1)","72627-2202-8","2019-1"
"9","1-Testosterone","200 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2203-9) > 1 Pellet, Implantable in 1 Ampule (72627-2203-1)","72627-2203-9","2019-1"
"10","1-Testosterone","200 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2203-8) > 1 Pellet, Implantable in 1 Ampule (72627-2203-1)","72627-2203-8","2019-1"
"11","1-Testosterone","50 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2201-8) > 1 Pellet, Implantable in 1 Ampule (72627-2201-1)","72627-2201-8","2019-1"
"12","Arginine Hydrochloride","200 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2414-1)","72627-2414-1","2019-1"
"13","Ascorbic Acid","500 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Single-Dose (72627-2404-1)","72627-2404-1","2019-1"
"14","Ascorbic Acid","500 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2405-1)","72627-2405-1","2019-1"
"15","Benzyl Alcohol","9 mg/1 mL","injection","Empower Pharmacy(831178947)","6 Ml in 1 Vial, Multi-Dose (72627-2600-4)","72627-2600-4","2019-1"
"16","Benzyl Alcohol","9 mg/1 mL","injection","Empower Pharmacy(831178947)","12 Ml in 1 Vial, Multi-Dose (72627-2600-5)","72627-2600-5","2019-1"
"17","Calcium Gluconate; Calcium Saccharate","98 mg/1 mL; 4.55 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2410-2)","72627-2410-2","2019-1"
"18","Coenzyme Q10, (2z)-","20 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2411-2)","72627-2411-2","2019-1"
"19","Cyanocobalamin","2 mg/1 mL","injection","Empower Pharmacy(831178947)","5 Ml in 1 Vial, Multi-Dose (72627-2400-3)","72627-2400-3","2019-1"
"20","Cyanocobalamin","2 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2400-1)","72627-2400-1","2019-1"
"21","Dexpanthenol","250 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2412-1)","72627-2412-1","2019-1"
"22","Disodium Nicotinamide Adenine Dinucleotide","100 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2428-1)","72627-2428-1","2019-1"
"23","Edetate Disodium","150 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Single-Dose (72627-2401-1)","72627-2401-1","2019-1"
"24","Estradiol","6 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2204-9) > 1 Pellet, Implantable in 1 Ampule (72627-2204-1)","72627-2204-9","2019-1"
"25","Estradiol","12.5 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2206-8) > 1 Pellet, Implantable in 1 Ampule (72627-2206-1)","72627-2206-8","2019-1"
"26","Estradiol","12.5 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2206-9) > 1 Pellet, Implantable in 1 Ampule (72627-2206-1)","72627-2206-9","2019-1"
"27","Estradiol","10 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2205-8) > 1 Pellet, Implantable in 1 Ampule (72627-2205-1)","72627-2205-8","2019-1"
"28","Estradiol","6 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2204-8) > 1 Pellet, Implantable in 1 Ampule (72627-2204-1)","72627-2204-8","2019-1"
"29","Estradiol","10 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2205-9) > 1 Pellet, Implantable in 1 Ampule (72627-2205-1)","72627-2205-9","2019-1"
"30","Follicle Stimulating Hormone Beta Polypeptide","500 [iU]/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","3 Ml in 1 Vial, Multi-Dose (72627-2316-1)","72627-2316-1","2019-1"
"31","Glutathione","200 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Single-Dose (72627-2402-1)","72627-2402-1","2019-1"
"32","Glutathione","200 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2403-1)","72627-2403-1","2019-1"
"33","Glycine","50 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2416-1)","72627-2416-1","2019-1"
"34","Growth Hormone Releasing Hexapeptide; Sermorelin Acetate; Pralmorelin","1 mg/1 mL; 1 mg/1 mL; 1 mg/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","3 Ml in 1 Vial, Multi-Dose (72627-2304-1)","72627-2304-1","2019-1"
"35","Growth Hormone Releasing Hexapeptide; Sermorelin Acetate; Pralmorelin","1 mg/1 mL; 2 mg/1 mL; 5 mg/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","3 Ml in 1 Vial, Multi-Dose (72627-2305-1)","72627-2305-1","2019-1"
"36","Growth Hormone Releasing Hexapeptide; Sermorelin Acetate; Pralmorelin",".6 mg/1 mL; 1.5 mg/1 mL; 2 mg/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2306-1)","72627-2306-1","2019-1"
"37","Human Chorionic Gonadotropin","10000 [iU]/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","5 Ml in 1 Vial, Multi-Dose (72627-2302-1)","72627-2302-1","2019-1"
"38","Human Chorionic Gonadotropin","1000 [iU]/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","12 Ml in 1 Vial, Multi-Dose (72627-2301-1)","72627-2301-1","2019-1"
"39","Human Chorionic Gonadotropin","1000 [iU]/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","6 Ml in 1 Vial, Multi-Dose (72627-2300-1)","72627-2300-1","2019-1"
"40","Inositol; Choline Chloride; Methionine","50 mg/1 mL; 50 mg/1 mL; 25 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2418-2)","72627-2418-2","2019-1"
"41","Inositol; Choline Chloride; Methionine","50 mg/1 mL; 50 mg/1 mL; 25 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2418-1)","72627-2418-1","2019-1"
"42","Inositol; Choline Chloride; Methionine; Cyanocobalamin","50 mg/1 mL; 50 mg/1 mL; 25 mg/1 mL; 1 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2419-1)","72627-2419-1","2019-1"
"43","Inositol; Choline Chloride; Methionine; Cyanocobalamin","50 mg/1 mL; 50 mg/1 mL; 25 mg/1 mL; 1 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2419-2)","72627-2419-2","2019-1"
"44","Inositol; Choline Chloride; Methionine; Levocarnitine; Thiamine Hydrochloride; Dexpanthenol","50 mg/1 mL; 50 mg/1 mL; 15 mg/1 mL; 50 mg/1 mL; 15 mg/1 mL; 5 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2420-1)","72627-2420-1","2019-1"
"45","Inositol; Choline Chloride; Methionine; Levocarnitine; Thiamine Hydrochloride; Dexpanthenol","50 mg/1 mL; 50 mg/1 mL; 15 mg/1 mL; 50 mg/1 mL; 15 mg/1 mL; 5 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2420-2)","72627-2420-2","2019-1"
"46","Ipamorelin","1.5 mg/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2312-1)","72627-2312-1","2019-1"
"47","Ipamorelin",".6 mg/1 mL","injection, powder, lyophilized, for solution","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2311-1)","72627-2311-1","2019-1"
"48","Isoleucine, Dl-; Leucine, Dl-; Valine, Dl-","15 mg/1 mL; 10 mg/1 mL; 40 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2408-1)","72627-2408-1","2019-1"
"49","Leucine, Dl-; Valine, Dl-; Isoleucine, Dl-","10 mg/1 mL; 40 mg/1 mL; 15 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Single-Dose (72627-2407-1)","72627-2407-1","2019-1"
"50","Leuprolide Acetate",".2 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2319-2)","72627-2319-2","2019-1"
"51","Levocarnitine","500 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2415-1)","72627-2415-1","2019-1"
"52","Lidocaine; Benzocaine; Tetracaine","60 mg/1 g; 200 mg/1 g; 60 mg/1 g","cream","Empower Pharmacy(831178947)","100 G in 1 Bottle, Pump (72627-3100-1)","72627-3100-1","2019-1"
