"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Estradiol","10 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"2","Estradiol","15 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"3","Estradiol","12.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"4","Estradiol","25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"5","Estradiol","20 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"6","Estradiol","6 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"7","Estradiol","18 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"8","Estradiol","20 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"9","Estradiol","18 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"10","Estradiol","12.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"11","Estradiol","15 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"12","Estradiol","25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"13","Estradiol","10 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"14","Estradiol","6 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"15","Testosterone","62.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"16","Testosterone","200 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"17","Testosterone","25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"18","Testosterone","200 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"19","Testosterone","87.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"20","Testosterone","50 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"21","Testosterone","12.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"22","Testosterone","100 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"23","Testosterone","37.5 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"24","Testosterone; Triamcinolone Acetonide","12.5 mg; 2.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"25","Testosterone; Triamcinolone Acetonide","37.5 mg; 7.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"26","Testosterone; Triamcinolone Acetonide","100 mg; 20 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"27","Testosterone; Triamcinolone Acetonide","87.5 mg; 17.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"28","Testosterone; Triamcinolone Acetonide","37.5 mg; 7.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"29","Testosterone; Triamcinolone Acetonide","62.5 mg; 12.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"30","Testosterone; Triamcinolone Acetonide","12.5 mg; 2.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"31","Testosterone; Triamcinolone Acetonide","87.5 mg; 17.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"32","Testosterone; Triamcinolone Acetonide","100 mg; 20 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"33","Testosterone; Triamcinolone Acetonide","62.5 mg; 12.5 ug","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"34","Triamcinolone Acetonide; Testosterone","5 ug; 25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"35","Triamcinolone Acetonide; Testosterone","5 ug; 25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"36","Triamcinolone Acetonide; Testosterone","40 ug; 200 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"37","Triamcinolone Acetonide; Testosterone","10 ug; 50 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"38","Triamcinolone Acetonide; Testosterone","40 ug; 200 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle",NA,"2019-2"
"39","Triamcinolone Acetonide; Testosterone","10 ug; 50 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Pouch",NA,"2019-2"
"40","Estradiol","10 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle (73693-345-01)","73693-345-01","2020-1"
"41","Estradiol","15 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle (73693-347-01)","73693-347-01","2020-1"
"42","Estradiol","25 mg","pellet, implantable","FARMAKEIO OUTSOURCING LLC(116836033)","1 Pellet, Implantable in 1 Bottle (73693-350-01)","73693-350-01","2020-1"
