"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Alprostadil; Papaverine Hydrobromide; Phentolamine Mesylate","10 ug/1 mL; 30 mg/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Syringe, Plastic (26436-5037-1)","26436-5037-1","2019-1"
"2","Alprostadil; Papaverine Hydrobromide; Phentolamine Mesylate","10 ug/1 mL; 30 mg/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","5 Ml in 1 Syringe, Plastic (26436-5037-5)","26436-5037-5","2019-1"
"3","Ascorbic Acid","500 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5001-5)","26436-5001-5","2019-1"
"4","Ascorbic Acid","500 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5213-5)","26436-5213-5","2019-1"
"5","Baclofen; Bupivacaine Hydrochloride Related Compound A","1 mg/1 mL; 15 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-5171-2)","26436-5171-2","2019-1"
"6","Cyanocobalamin","1 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial (26436-5030-3)","26436-5030-3","2019-1"
"7","Cyanocobalamin","1000 ug/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Glass (26436-5009-3)","26436-5009-3","2019-1"
"8","Doxycycline Hyclate",".25 mg/1 mL","solution/ drops","Hybrid Pharma(079665742)","6 Ml in 1 Bottle, Dropper (26436-5150-1)","26436-5150-1","2019-1"
"9","Estriol","2 mg","suppository","Hybrid Pharma(079665742)","1 Suppository in 1 Blister Pack (26436-5342-1)","26436-5342-1","2019-1"
"10","Estriol","2 mg","capsule","Hybrid Pharma(079665742)","100 Capsule in 1 Vial, Plastic (26436-5343-1)","26436-5343-1","2019-1"
"11","Estriol; Testosterone; Estradiol","1 mg/1 g; 1.5 mg/1 g; 1 mg/1 g","cream","Hybrid Pharma(079665742)","35 G in 1 Bottle, Pump (26436-5364-3)","26436-5364-3","2019-1"
"12","Hydromorphone Hydrochloride","20 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9001-2)","26436-9001-2","2019-1"
"13","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9000-2)","26436-9000-2","2019-1"
"14","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","40 Ml in 1 Syringe, Plastic (26436-9000-4)","26436-9000-4","2019-1"
"15","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","20 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9020-2)","26436-9020-2","2019-1"
"16","Lidocaine Hydrochloride Anhydrous","10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Vial, Glass (26436-5096-2)","26436-5096-2","2019-1"
"17","Lidocaine Hydrochloride Anhydrous","20 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Vial, Glass (26436-0081-2)","26436-0081-2","2019-1"
"18","Magnesium Chloride","200 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5105-5)","26436-5105-5","2019-1"
"19","Methylcobalamin","1 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Glass (26436-5015-3)","26436-5015-3","2019-1"
"20","Methylcobalamin",".5 mg/1 mL","injection","Hybrid Pharma(079665742)","8 Ml in 1 Vial, Glass (26436-5239-8)","26436-5239-8","2019-1"
"21","Methylene Blue","5 mg/1 mL","solution","Hybrid Pharma(079665742)","1 Ml in 1 Syringe, Plastic (26436-5354-1)","26436-5354-1","2019-1"
"22","Morphine Sulfate","10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9017-2)","26436-9017-2","2019-1"
"23","Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","40 Ml in 1 Syringe, Plastic (26436-9007-4)","26436-9007-4","2019-1"
"24","Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9007-2)","26436-9007-2","2019-1"
"25","Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 15 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9022-2)","26436-9022-2","2019-1"
"26","Nandrolone Decanoate","200 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5022-1)","26436-5022-1","2019-1"
"27","Oxandrolone","50 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5375-1)","26436-5375-1","2019-1"
"28","Oxandrolone","25 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-1115-1)","26436-1115-1","2019-1"
"29","Oxandrolone","20 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5396-1)","26436-5396-1","2019-1"
"30","Papaverine Hydrochloride; Alprostadil; Phentolamine Mesylate","30 mg/1 mL; 20 ug/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","5 Ml in 1 Vial, Multi-Dose (26436-5125-5)","26436-5125-5","2019-1"
"31","Papaverine Hydrochloride; Alprostadil; Phentolamine Mesylate","30 mg/1 mL; 20 ug/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Syringe, Plastic (26436-5125-1)","26436-5125-1","2019-1"
"32","Phenylephrine Hydrochloride, (+/-)","1 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Multi-Dose (26436-5130-1)","26436-5130-1","2019-1"
"33","Phenylephrine Hydrochloride, (+/-)","1 mg/1 mL","injection","Hybrid Pharma(079665742)","5 Ml in 1 Vial, Multi-Dose (26436-5130-5)","26436-5130-5","2019-1"
"34","Procaine Hydrochloride","20 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Glass (26436-5044-3)","26436-5044-3","2019-1"
"35","Progesterone","250 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5404-1)","26436-5404-1","2019-1"
"36","Progesterone","100 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-1124-1)","26436-1124-1","2019-1"
"37","Progesterone","175 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5363-1)","26436-5363-1","2019-1"
"38","Progesterone","125 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5248-1)","26436-5248-1","2019-1"
"39","Progesterone","150 mg","capsule","Hybrid Pharma(079665742)","30 Capsule in 1 Vial, Dispensing (26436-5152-1)","26436-5152-1","2019-1"
"40","Testosterone","100 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Multi-Dose (26436-5180-1)","26436-5180-1","2019-1"
"41","Testosterone","100 mg/1 g","cream","Hybrid Pharma(079665742)","30 G in 1 Jar (26436-0163-5)","26436-0163-5","2019-1"
"42","Testosterone Cypionate","200 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5074-1)","26436-5074-1","2019-1"
"43","Testosterone Cypionate; Testosterone Enanthate","180 mg/1 mL; 20 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5319-1)","26436-5319-1","2019-1"
"44","Testosterone Cypionate; Testosterone Propionate","180 mg/1 mL; 20 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5345-1)","26436-5345-1","2019-1"
"45","Testosterone Enanthate","200 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5092-1)","26436-5092-1","2019-1"
"46","Testosterone Propionate","100 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Vial, Glass (26436-5093-1)","26436-5093-1","2019-1"
"47","Alprostadil; Papaverine Hydrobromide; Phentolamine Mesylate","10 ug/1 mL; 30 mg/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","10 Ml in 1 Syringe, Plastic (26436-5037-1)","26436-5037-1","2019-2"
"48","Alprostadil; Papaverine Hydrobromide; Phentolamine Mesylate","10 ug/1 mL; 30 mg/1 mL; 1 mg/1 mL","injection","Hybrid Pharma(079665742)","5 Ml in 1 Syringe, Plastic (26436-5037-5)","26436-5037-5","2019-2"
"49","Ascorbic Acid","500 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5001-5)","26436-5001-5","2019-2"
"50","Ascorbic Acid","500 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5213-5)","26436-5213-5","2019-2"
"51","Baclofen; Bupivacaine Hydrochloride Related Compound A","1 mg/1 mL; 15 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-5171-2)","26436-5171-2","2019-2"
"52","Cyanocobalamin","1 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial (26436-5030-3)","26436-5030-3","2019-2"
"53","Cyanocobalamin","1000 ug/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Glass (26436-5009-3)","26436-5009-3","2019-2"
"54","Doxycycline Hyclate",".25 mg/1 mL","solution/ drops","Hybrid Pharma(079665742)","6 Ml in 1 Bottle, Dropper (26436-5150-1)","26436-5150-1","2019-2"
"55","Estriol","2 mg","suppository","Hybrid Pharma(079665742)","1 Suppository in 1 Blister Pack (26436-5342-1)","26436-5342-1","2019-2"
"56","Estriol","2 mg","capsule","Hybrid Pharma(079665742)","100 Capsule in 1 Vial, Plastic (26436-5343-1)","26436-5343-1","2019-2"
"57","Estriol; Estradiol","2 mg/1 g; .5 mg/1 g","cream","Hybrid Pharma(079665742)","30 G in 1 Bottle, Pump (26436-5228-3)","26436-5228-3","2019-2"
"58","Estriol; Testosterone; Estradiol","1 mg/1 g; 1.5 mg/1 g; 1 mg/1 g","cream","Hybrid Pharma(079665742)","35 G in 1 Bottle, Pump (26436-5364-3)","26436-5364-3","2019-2"
"59","Estriol; Testosterone; Estradiol","1.6 mg/1 g; 1 mg/1 g; .4 mg/1 g","cream","Hybrid Pharma(079665742)","30 G in 1 Bottle, Pump (26436-5246-3)","26436-5246-3","2019-2"
"60","Hydromorphone Hydrochloride","20 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9001-2)","26436-9001-2","2019-2"
"61","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","20 mg/1 mL; 2 mg/1 mL","injection","Hybrid Pharma(079665742)","40 Ml in 1 Syringe, Plastic (26436-9021-4)","26436-9021-4","2019-2"
"62","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9000-2)","26436-9000-2","2019-2"
"63","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","20 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9020-2)","26436-9020-2","2019-2"
"64","Hydromorphone Hydrochloride; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","40 Ml in 1 Syringe, Plastic (26436-9000-4)","26436-9000-4","2019-2"
"65","Lidocaine Hydrochloride Anhydrous","10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Vial, Glass (26436-5096-2)","26436-5096-2","2019-2"
"66","Lidocaine Hydrochloride Anhydrous","20 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Vial, Glass (26436-0081-2)","26436-0081-2","2019-2"
"67","Magnesium Chloride","200 mg/1 mL","injection","Hybrid Pharma(079665742)","50 Ml in 1 Vial, Glass (26436-5105-5)","26436-5105-5","2019-2"
"68","Methylcobalamin","1 mg/1 mL","injection","Hybrid Pharma(079665742)","30 Ml in 1 Vial, Glass (26436-5015-3)","26436-5015-3","2019-2"
"69","Methylcobalamin",".5 mg/1 mL","injection","Hybrid Pharma(079665742)","8 Ml in 1 Vial, Glass (26436-5239-8)","26436-5239-8","2019-2"
"70","Methylene Blue","5 mg/1 mL","solution","Hybrid Pharma(079665742)","1 Ml in 1 Syringe, Plastic (26436-5354-1)","26436-5354-1","2019-2"
"71","Morphine Sulfate","10 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9017-2)","26436-9017-2","2019-2"
"72","Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 15 mg/1 mL","injection","Hybrid Pharma(079665742)","20 Ml in 1 Syringe, Plastic (26436-9022-2)","26436-9022-2","2019-2"
"73","Morphine Sulfate; Bupivacaine Hydrochloride Related Compound A","10 mg/1 mL; 10 mg/1 mL","injection","Hybrid Pharma(079665742)","40 Ml in 1 Syringe, Plastic (26436-9007-4)","26436-9007-4","2019-2"
