"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Cyclosporine",".1 g/100 mL","emulsion","Imprimis NJOF, LLC(080431967)","5.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"2","Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride","1 mg/1 mL; 5 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"3","Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride; Ketorolac Tromethamine","1 mg/1 mL; .5 mg/1 mL; .4 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"4","Epinephrine Hydrochloride; Lidocaine Hydrochloride",".25 mg/1 mL; 7.5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"5","Hyaluronidase","175 1/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Package",NA,"2019-1"
"6","Ketamine Hydrochloride","25 mg","gel","Imprimis NJOF, LLC(080431967)","21 Gel in 1 Blister Pack",NA,"2019-1"
"7","Midazolam; Ketamine Hydrochloride; Ondansetron Hydrochloride","3 mg; 25 mg; 2 mg","gel","Imprimis NJOF, LLC(080431967)","21 Gel in 1 Blister Pack",NA,"2019-1"
"8","Moxifloxacin Hydrochloride","5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"9","Moxifloxacin Hydrochloride","1 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"10","Moxifloxacin Hydrochloride; Triamcinolone Acetonide","1 mg/1 mL; 15 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)",".6 Ml in 1 Vial, Glass",NA,"2019-1"
"11","Phenylephrine Hydrochloride; Lidocaine Hydrochloride","15 mg/1 mL; 10 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"12","Phenylephrine Hydrochloride; Tropicamide","2.5 mg/1 mL; 1 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"13","Povidone","5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","3 Ml in 1 Bottle, Plastic",NA,"2019-1"
"14","Prednisolone Acetate","10 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"15","Prednisolone Acetate; Bromfenac; Gatifloxacin","1 mg/1 mL; .8 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"16","Prednisolone Acetate; Bromfenac; Gatifloxacin","1 mg/1 mL; .8 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"17","Prednisolone Acetate; Gatifloxacin","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"18","Prednisolone Acetate; Moxifloxacin Hydrochloride","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"19","Prednisolone Acetate; Moxifloxacin Hydrochloride; Nepafenac","1 mg/1 mL; .5 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"20","Prednisolone Acetate; Moxifloxacin Hydrochloride; Nepafenac","1 mg/1 mL; .5 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"21","Prednisolone Acetate; Nepafenac","1 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"22","Prednisolone Sodium Phosphate; Bromfenac","1 mg/1 mL; .075 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"23","Prednisolone Sodium Phosphate; Bromfenac; Gatifloxacin","1 mg/1 mL; .75 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"24","Prednisolone Sodium Phosphate; Bromfenac; Gatifloxacin","1 mg/1 mL; .75 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"25","Prednisolone Sodium Phosphate; Gatifloxacin","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Bottle, Plastic",NA,"2019-1"
"26","Tropicamide; Cyclopentolate; Phenylephrine Hydrochloride","1 mg/1 mL; 1 mg/1 mL; 2.5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"27","Tropicamide; Proparacaine Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine","1 mg/1 mL; .5 mg/1 mL; 2.5 mg/1 mL; .5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"28","Bromfenac Sodium; Moxifloxacin Hydrochloride",".75 mg/1 mL; 5 mg/1 mL","solution/ drops","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-2"
