"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Cefazolin Sodium","2 g/20 mL","injection","IntegraDose Compounding Services, LLC(080467666)","20 Ml in 1 Syringe, Plastic",NA,"2019-1"
"2","Cefazolin Sodium","1 g/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"3","Cefazolin Sodium","3 g/123 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2019-1"
"4","Ephedrine Sulfate","25 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"5","Fentanyl Citrate","1500 ug/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2019-1"
"6","Fentanyl Citrate","2500 ug/50 mL","injection","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Vial, Patent Delivery System",NA,"2019-1"
"7","Hydromorphone Hydrochloride","30 mg/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2019-1"
"8","Hydromorphone Hydrochloride",".2 mg/.2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"9","Hydromorphone Hydrochloride",".5 mg/.5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"10","Magnesium Sulfate Heptahydrate","2 g/50 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Bag",NA,"2019-1"
"11","Morphine Sulfate","400 ug/.4 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"12","Neostigmine Methylsulfate","5 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"13","Oxytocin","30 [USP'U]/500 mL","injection","IntegraDose Compounding Services, LLC(080467666)","500 Ml in 1 Bag",NA,"2019-1"
"14","Phenylephrine Hydrochloride","1 mg/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"15","Potassium Chloride; Lidocaine Hydrochloride","10 meq/100 mL; 10 mg/100 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2019-1"
"16","Succinylcholine Chloride","100 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"17","Vasopressin, Unspecified","2 U/2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","2 Ml in 1 Syringe",NA,"2019-1"
"18","Cefazolin Sodium","3 g/123 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2019-2"
"19","Cefazolin Sodium","2 g/20 mL","injection","IntegraDose Compounding Services, LLC(080467666)","20 Ml in 1 Syringe, Plastic",NA,"2019-2"
"20","Cefazolin Sodium","1 g/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"21","Ephedrine Sulfate","25 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"22","Fentanyl Citrate","1500 ug/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2019-2"
"23","Fentanyl Citrate","2500 ug/50 mL","injection","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Vial, Patent Delivery System",NA,"2019-2"
"24","Hydromorphone Hydrochloride",".5 mg/.5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-2"
"25","Hydromorphone Hydrochloride","30 mg/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2019-2"
"26","Hydromorphone Hydrochloride",".2 mg/.2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-2"
"27","Magnesium Sulfate Heptahydrate","2 g/50 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Bag",NA,"2019-2"
"28","Morphine Sulfate","400 ug/.4 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2019-2"
"29","Neostigmine Methylsulfate","5 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"30","Oxytocin","30 [USP'U]/500 mL","injection","IntegraDose Compounding Services, LLC(080467666)","500 Ml in 1 Bag",NA,"2019-2"
"31","Phenylephrine Hydrochloride","1 mg/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"32","Potassium Chloride; Lidocaine Hydrochloride","10 meq/100 mL; 10 mg/100 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2019-2"
"33","Succinylcholine Chloride","100 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"34","Vasopressin, Unspecified","2 U/2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","2 Ml in 1 Syringe",NA,"2019-2"
"35","Cefazolin Sodium","3 g/123 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2020-1"
"36","Cefazolin Sodium","2 g/20 mL","injection","IntegraDose Compounding Services, LLC(080467666)","20 Ml in 1 Syringe, Plastic",NA,"2020-1"
"37","Cefazolin Sodium","1 g/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"38","Ephedrine Sulfate","25 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"39","Fentanyl Citrate","2500 ug/50 mL","injection","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Vial, Patent Delivery System",NA,"2020-1"
"40","Fentanyl Citrate","1500 ug/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2020-1"
"41","Hydromorphone Hydrochloride","20 mg/100 mL","injection","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Cartridge",NA,"2020-1"
"42","Hydromorphone Hydrochloride","20 mg/100 mL","injection","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Vial, Patent Delivery System",NA,"2020-1"
"43","Hydromorphone Hydrochloride",".5 mg/.5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-1"
"44","Hydromorphone Hydrochloride","30 mg/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2020-1"
"45","Hydromorphone Hydrochloride",".2 mg/.2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-1"
"46","Magnesium Sulfate Heptahydrate","2 g/50 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Bag",NA,"2020-1"
"47","Morphine Sulfate","400 ug/.4 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-1"
"48","Neostigmine Methylsulfate","5 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"49","Oxytocin","30 [USP'U]/500 mL","injection","IntegraDose Compounding Services, LLC(080467666)","500 Ml in 1 Bag",NA,"2020-1"
"50","Phenylephrine Hydrochloride","1 mg/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"51","Potassium Chloride; Lidocaine Hydrochloride","10 meq/100 mL; 10 mg/100 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2020-1"
"52","Succinylcholine Chloride","100 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-1"
"53","Vasopressin, Unspecified","2 U/2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","2 Ml in 1 Syringe",NA,"2020-1"
"54","Cefazolin Sodium","3 g/123 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2020-2"
"55","Cefazolin Sodium","1 g/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"56","Cefazolin Sodium","2 g/20 mL","injection","IntegraDose Compounding Services, LLC(080467666)","20 Ml in 1 Syringe, Plastic",NA,"2020-2"
"57","Ephedrine Sulfate","25 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"58","Fentanyl Citrate","2500 ug/50 mL","injection","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Vial, Patent Delivery System",NA,"2020-2"
"59","Fentanyl Citrate","1500 ug/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2020-2"
"60","Hydromorphone Hydrochloride","20 mg/100 mL","injection","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Vial, Patent Delivery System",NA,"2020-2"
"61","Hydromorphone Hydrochloride",".2 mg/.2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-2"
"62","Hydromorphone Hydrochloride","20 mg/100 mL","injection","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Cartridge",NA,"2020-2"
"63","Hydromorphone Hydrochloride","30 mg/30 mL","injection","IntegraDose Compounding Services, LLC(080467666)","30 Ml in 1 Vial, Patent Delivery System",NA,"2020-2"
"64","Hydromorphone Hydrochloride",".5 mg/.5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-2"
"65","Magnesium Sulfate Heptahydrate","2 g/50 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","50 Ml in 1 Bag",NA,"2020-2"
"66","Morphine Sulfate","400 ug/.4 mL","injection","IntegraDose Compounding Services, LLC(080467666)","1 Ml in 1 Syringe, Plastic",NA,"2020-2"
"67","Neostigmine Methylsulfate","5 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"68","Oxytocin","30 [USP'U]/500 mL","injection","IntegraDose Compounding Services, LLC(080467666)","500 Ml in 1 Bag",NA,"2020-2"
"69","Phenylephrine Hydrochloride","1 mg/10 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"70","Potassium Chloride; Lidocaine Hydrochloride","10 meq/100 mL; 10 mg/100 mL","injection, solution","IntegraDose Compounding Services, LLC(080467666)","100 Ml in 1 Bag",NA,"2020-2"
"71","Succinylcholine Chloride","100 mg/5 mL","injection","IntegraDose Compounding Services, LLC(080467666)","10 Ml in 1 Syringe, Plastic",NA,"2020-2"
"72","Vasopressin, Unspecified","2 U/2 mL","injection","IntegraDose Compounding Services, LLC(080467666)","2 Ml in 1 Syringe",NA,"2020-2"
