"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Betamethasone Sodium Phosphate","6 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1015-2)","71266-1015-2","2019-1"
"2","Betamethasone Sodium Phosphate","6 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Vial (71266-1015-1)","71266-1015-1","2019-1"
"3","Bevacizumab","2.5 mg/.1 mL","injection","JCB Laboratories LLC(177167470)",".15 Ml in 1 Syringe (71266-8005-1)","71266-8005-1","2019-1"
"4","Bevacizumab","2.5 mg/.1 mL","injection","JCB Laboratories LLC(177167470)",".11 Ml in 1 Syringe (71266-8005-2)","71266-8005-2","2019-1"
"5","Cefuroxime Sodium","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)",".3 Ml in 1 Syringe (71266-8050-1)","71266-8050-1","2019-1"
"6","Cefuroxime Sodium","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8050-2)","71266-8050-2","2019-1"
"7","Dexamethasone Sodium Phosphate","4 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1050-2)","71266-1050-2","2019-1"
"8","Dexamethasone Sodium Phosphate","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1040-2)","71266-1040-2","2019-1"
"9","Edetate Disodium","30 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Vial (71266-8095-5)","71266-8095-5","2019-1"
"10","Ephedrine Sulfate","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Syringe (71266-9025-5)","71266-9025-5","2019-1"
"11","Epinephrine","1 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8110-1)","71266-8110-1","2019-1"
"12","Epinephrine; Lidocaine Hydrochloride; Tetracaine Hydrochloride",".5 mg/1 mL; 40 mg/1 mL; 5 mg/1 mL","solution","JCB Laboratories LLC(177167470)","3 Ml in 1 Syringe (71266-6276-3)","71266-6276-3","2019-1"
"13","Iohexol","300 mg/1 mL","injection","JCB Laboratories LLC(177167470)","3 Ml in 1 Vial (71266-6478-3)","71266-6478-3","2019-1"
"14","Iohexol","240 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Vial (71266-6477-5)","71266-6477-5","2019-1"
"15","Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8231-1)","71266-8231-1","2019-1"
"16","Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8230-5)","71266-8230-5","2019-1"
"17","Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8231-5)","71266-8231-5","2019-1"
"18","Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8230-1)","71266-8230-1","2019-1"
"19","Lidocaine Hydrochloride; Bupivacaine Hydrochloride","20 mg/1 mL; 3.75 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Syringe (71266-8021-5)","71266-8021-5","2019-1"
"20","Methylprednisolone Acetate","80 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Vial (71266-1065-1)","71266-1065-1","2019-1"
"21","Mitomycin",".2 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8475-1)","71266-8475-1","2019-1"
"22","Mitomycin",".5 mg/1 mL","irrigant","JCB Laboratories LLC(177167470)","1 Syringe in 1 Package (71266-6412-2) > 40 Ml in 1 Syringe (71266-6412-1)","71266-6412-2","2019-1"
"23","Mitomycin",".4 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8515-1)","71266-8515-1","2019-1"
"24","Mitomycin",".3 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8510-1)","71266-8510-1","2019-1"
"25","Moxifloxacin Hydrochloride","1 mg/1 mL","injection","JCB Laboratories LLC(177167470)",".3 Ml in 1 Syringe (71266-8603-1)","71266-8603-1","2019-1"
"26","Moxifloxacin Hydrochloride","5 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".3 Ml in 1 Syringe (71266-8602-1)","71266-8602-1","2019-1"
"27","Phenol","60 mg/1 mL","injection","JCB Laboratories LLC(177167470)","10 Ml in 1 Vial (71266-6509-1)","71266-6509-1","2019-1"
"28","Phenylephrine Hydrochloride","15 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8526-1)","71266-8526-1","2019-1"
"29","Phenylephrine Hydrochloride; Lidocaine Hydrochloride","15 mg/1 mL; 10 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-6350-1)","71266-6350-1","2019-1"
"30","Phenylephrine Hydrochloride; Tropicamide","12.5 mg/1 mL; 5 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Bottle, Dropper (71266-8295-1)","71266-8295-1","2019-1"
"31","Phenylephrine Hydrochloride; Tropicamide","12.5 mg/1 mL; 5 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8295-5)","71266-8295-5","2019-1"
"32","Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8210-1)","71266-8210-1","2019-1"
"33","Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8210-5)","71266-8210-5","2019-1"
"34","Povidone-Iodine","50 mg/1 mL","solution","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-6535-1)","71266-6535-1","2019-1"
"35","Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide","5 mg/1 mL; 10 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8232-1)","71266-8232-1","2019-1"
"36","Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine","1 mg/1 mL; 10 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 4 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8220-5)","71266-8220-5","2019-1"
"37","Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine","1 mg/1 mL; 10 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL; 4 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8222-1)","71266-8222-1","2019-1"
"38","Proparacaine Hydrochloride; Cyclopentolate Hydrochloride; Phenylephrine Hydrochloride; Tropicamide; Ketorolac Tromethamine","1 mg/1 mL; 10 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 4 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8220-1)","71266-8220-1","2019-1"
"39","Sodium Thiosulfate","250 mg/1 mL","injection","JCB Laboratories LLC(177167470)","50 Ml in 1 Vial (71266-6680-1)","71266-6680-1","2019-1"
"40","Triamcinolone Acetonide","40 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Vial (71266-1070-1)","71266-1070-1","2019-1"
