"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1",".alpha.-Lipoic Acid","25 mg/1 mL","injection","KRS Global Biotechnology, Inc.(014763459)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"2","7-Keto-Dehydroepiandrosterone","50 mg","capsule","KRS Global Biotechnology, Inc.(014763459)","30 Capsule in 1 Capsule",NA,"2019-1"
"3","7-Keto-Dehydroepiandrosterone","25 mg","capsule","KRS Global Biotechnology, Inc.(014763459)","30 Capsule in 1 Capsule",NA,"2019-1"
"4","Adenosine","3 mg/1 mL","solution","KRS GLOBAL BIOTECHNOLOGY, INC.(014763459)","20 Ml in 1 Syringe, Plastic",NA,"2019-1"
"5","Alprostadil",".08 mg/1 mL","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"6","Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate","1.5 mg/10 mL; 1.5 mg/10 mL; 150 mg/10 mL; 15 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"7","Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate",".75 mg/10 mL; 1.5 mg/10 mL; 150 mg/10 mL; 15 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"8","Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate",".3 mg/10 mL; .375 mg/10 mL; 200 mg/10 mL; 30 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"9","Alprostadil; Papaverine Hydrochloride; Phentolamine Mesylate",".06 mg/1 mL; 30 mg/1 mL; 3 mg/1 mL","injection, solution","KRS Global Biotechnology, Inc.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"10","Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride",".5 mg/10 mL; 7.5 mg/10 mL; 150 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
