"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-153-85)","68985-153-85","2019-1"
"2","Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"3","Azithromycin Anhydrous","2 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-112-95)","68985-112-95","2019-1"
"4","Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag",NA,"2019-1"
"5","Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag (68985-311-91)","68985-311-91","2019-1"
"6","Diltiazem Hydrochloride","1 mg/1 mL","solution","LEESAR INC(025104311)","125 Ml in 1 Bag (68985-615-91)","68985-615-91","2019-1"
"7","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag (68985-540-91)","68985-540-91","2019-1"
"8","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"9","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag",NA,"2019-1"
"10","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-540-95)","68985-540-95","2019-1"
"11","Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-234-91)","68985-234-91","2019-1"
"12","Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"13","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe",NA,"2019-1"
"14","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe (68985-486-92)","68985-486-92","2019-1"
"15","Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag (68985-064-91)","68985-064-91","2019-1"
"16","Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag",NA,"2019-1"
"17","Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"18","Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"19","Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-120-91)","68985-120-91","2019-1"
"20","Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-012-93)","68985-012-93","2019-1"
"21","Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"22","Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-004-94)","68985-004-94","2019-1"
"23","Ropivacaine Hydrochloride, (r)-","5 mg/1 mL","solution","LEESAR INC(025104311)","10 Ml in 1 Syringe (68985-198-91)","68985-198-91","2019-1"
"24","Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe",NA,"2019-1"
"25","Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe (68985-629-91)","68985-629-91","2019-1"
"26","Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"27","Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-324-93)","68985-324-93","2019-1"
"28","Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"29","Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-304-92)","68985-304-92","2019-1"
"30","Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-314-91)","68985-314-91","2019-1"
"31","Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"32","Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-153-85)","68985-153-85","2019-2"
"33","Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"34","Azithromycin Anhydrous","2 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-112-95)","68985-112-95","2019-2"
"35","Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag (68985-311-91)","68985-311-91","2019-2"
"36","Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag",NA,"2019-2"
"37","Diltiazem Hydrochloride","1 mg/1 mL","solution","LEESAR INC(025104311)","125 Ml in 1 Bag (68985-615-91)","68985-615-91","2019-2"
"38","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag (68985-540-91)","68985-540-91","2019-2"
"39","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"40","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-540-95)","68985-540-95","2019-2"
"41","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag",NA,"2019-2"
"42","Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-234-91)","68985-234-91","2019-2"
"43","Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"44","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe (68985-486-92)","68985-486-92","2019-2"
"45","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe",NA,"2019-2"
"46","Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag",NA,"2019-2"
"47","Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag (68985-064-91)","68985-064-91","2019-2"
"48","Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-012-93)","68985-012-93","2019-2"
"49","Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"50","Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-120-91)","68985-120-91","2019-2"
"51","Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"52","Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-004-94)","68985-004-94","2019-2"
"53","Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"54","Ropivacaine Hydrochloride, (r)-","5 mg/1 mL","solution","LEESAR INC(025104311)","10 Ml in 1 Syringe (68985-198-91)","68985-198-91","2019-2"
"55","Ropivacaine Hydrochloride, (r)-","5 mg/1 mL","solution","LEESAR INC(025104311)","10 Ml in 1 Syringe",NA,"2019-2"
"56","Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe (68985-629-91)","68985-629-91","2019-2"
"57","Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe",NA,"2019-2"
"58","Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-314-91)","68985-314-91","2019-2"
"59","Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"60","Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"61","Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-304-92)","68985-304-92","2019-2"
"62","Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-324-93)","68985-324-93","2019-2"
"63","Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"64","Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-153-85)","68985-153-85","2020-1"
"65","Azithromycin Anhydrous","2 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-112-95)","68985-112-95","2020-1"
"66","Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag (68985-311-91)","68985-311-91","2020-1"
"67","Diltiazem Hydrochloride","1 mg/1 mL","solution","LEESAR INC(025104311)","125 Ml in 1 Bag (68985-615-91)","68985-615-91","2020-1"
"68","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag (68985-540-91)","68985-540-91","2020-1"
"69","Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-540-95)","68985-540-95","2020-1"
"70","Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-234-91)","68985-234-91","2020-1"
"71","Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe (68985-486-92)","68985-486-92","2020-1"
"72","Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag (68985-064-91)","68985-064-91","2020-1"
"73","Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-012-93)","68985-012-93","2020-1"
"74","Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-120-91)","68985-120-91","2020-1"
"75","Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-004-94)","68985-004-94","2020-1"
"76","Ropivacaine Hydrochloride, (r)-","5 mg/1 mL","solution","LEESAR INC(025104311)","10 Ml in 1 Syringe (68985-198-91)","68985-198-91","2020-1"
"77","Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe (68985-629-91)","68985-629-91","2020-1"
"78","Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-314-91)","68985-314-91","2020-1"
"79","Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-304-92)","68985-304-92","2020-1"
