"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Atropine Sulfate",".4 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","2.5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"2","Betamethasone Sodium Phosphate","12 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","2 Ml in 1 Vial, Single-Use",NA,"2019-1"
"3","Betamethasone Sodium Phosphate; Betamethasone Acetate","3 mg/1 mL; 3 mg/1 mL","injection, suspension","Medi-Fare Drug(091326520)","2 Ml in 1 Vial, Single-Use (61141-4795-2)","61141-4795-2","2019-1"
"4","Bupivacaine Hydrochloride; Fentanyl Citrate","1.25 mg/1 mL; 2 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag (61141-4837-1)","61141-4837-1","2019-1"
"5","Cefuroxime Sodium","1 mg/.1 mL","injection","Medi-Fare Drug(091326520)",".3 Ml in 1 Syringe, Plastic (61141-4535-3)","61141-4535-3","2019-1"
"6","Ephedrine Sulfate","10 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic (61141-1350-5)","61141-1350-5","2019-1"
"7","Ephedrine Sulfate","5 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic (61141-1374-5)","61141-1374-5","2019-1"
"8","Ephedrine Sulfate","5 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"9","Esmolol Hydrochloride","10 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","500 Ml in 1 Bag",NA,"2019-1"
"10","Fentanyl Citrate","10 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","250 Ml in 1 Bag (61141-1318-1)","61141-1318-1","2019-1"
"11","Fentanyl Citrate; Bupivacaine Hydrochloride","2 ug/1 mL; 1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag (61141-4836-1)","61141-4836-1","2019-1"
"12","Fentanyl Citrate; Bupivacaine Hydrochloride","5 ug/1 mL; .625 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag",NA,"2019-1"
"13","Glycopyrrolate",".2 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic (61141-1373-5)","61141-1373-5","2019-1"
"14","Hydromorphone Hydrochloride",".2 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","30 Ml in 1 Syringe, Plastic",NA,"2019-1"
"15","Iopamidol","408 mg/1 mL","injection","Medi-Fare Drug(091326520)","1 Ml in 1 Vial, Single-Dose (61141-1326-1)","61141-1326-1","2019-1"
"16","Isoproterenol Hydrochloride",".008 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","250 Ml in 1 Bag (61141-1838-1)","61141-1838-1","2019-1"
"17","Lidocaine Hydrochloride","10 mg/1 mL","injection","Medi-Fare Drug(091326520)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"18","Midazolam","1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","100 Ml in 1 Bag",NA,"2019-1"
"19","Midazolam","1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","55 Ml in 1 Syringe, Plastic",NA,"2019-1"
"20","Midazolam","1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","50 Ml in 1 Bag (61141-1337-1)","61141-1337-1","2019-1"
"21","Morphine Sulfate","1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","30 Ml in 1 Syringe, Plastic",NA,"2019-1"
"22","Neostigmine Methylsulfate","1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"23","Nitroglycerin","100 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Vial, Single-Dose (61141-4834-1)","61141-4834-1","2019-1"
"24","Phenol","50 mg/1 mL","injection","Medi-Fare Drug(091326520)","9 Ml in 1 Vial, Glass (61141-1635-1)","61141-1635-1","2019-1"
"25","Phenylephrine Hydrochloride","100 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Syringe, Plastic (61141-4813-1)","61141-4813-1","2019-1"
"26","Polidocanol","20 mg/1 mL","injection","Medi-Fare Drug(091326520)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"27","Polidocanol","7 mg/1 mL","injection","Medi-Fare Drug(091326520)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"28","Polidocanol","3.5 mg/1 mL","injection","Medi-Fare Drug(091326520)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"29","Potassium Chloride","2 meq/1 mL","injection, solution, concentrate","Medi-Fare Drug(091326520)","20 Ml in 1 Syringe, Plastic (61141-1355-2)","61141-1355-2","2019-1"
"30","Povidone-Iodine","50 mg/1 mL","solution/ drops","Medi-Fare Drug(091326520)",".4 Ml in 1 Syringe, Plastic (61141-4538-4)","61141-4538-4","2019-1"
"31","Proparacaine Hydrochloride","5 mg/1 mL","solution/ drops","Medi-Fare Drug(091326520)",".4 Ml in 1 Syringe, Plastic (61141-4536-4)","61141-4536-4","2019-1"
"32","Ropivacaine Hydrochloride","5 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Syringe, Plastic (61141-1370-5)","61141-1370-5","2019-1"
"33","Sodium Chloride","234 mg/1 mL","injection, solution, concentrate","Medi-Fare Drug(091326520)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"34","Sodium Phosphate, Dibasic, Heptahydrate; Sodium Phosphate, Monobasic, Monohydrate","268 mg/1 mL; 276 mg/1 mL","injection, solution, concentrate","Medi-Fare Drug(091326520)","50 Ml in 1 Vial, Pharmacy Bulk Package",NA,"2019-1"
"35","Succinylcholine Chloride","20 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Syringe, Plastic (61141-1351-1)","61141-1351-1","2019-1"
"36","Vancomycin Hydrochloride","1 mg/.1 mL","injection","Medi-Fare Drug(091326520)",".5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"37","Atropine Sulfate",".4 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","2.5 Ml in 1 Syringe, Plastic",NA,"2019-2"
"38","Betamethasone Sodium Phosphate","12 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","2 Ml in 1 Vial, Single-Use",NA,"2019-2"
"39","Betamethasone Sodium Phosphate; Betamethasone Acetate","3 mg/1 mL; 3 mg/1 mL","injection, suspension","Medi-Fare Drug(091326520)","2 Ml in 1 Vial, Single-Use (61141-4795-2)","61141-4795-2","2019-2"
"40","Bupivacaine Hydrochloride; Fentanyl Citrate","1.25 mg/1 mL; 2 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag (61141-4837-1)","61141-4837-1","2019-2"
"41","Cefuroxime Sodium","1 mg/.1 mL","injection","Medi-Fare Drug(091326520)",".3 Ml in 1 Syringe, Plastic (61141-4535-3)","61141-4535-3","2019-2"
"42","Ephedrine Sulfate","5 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic (61141-1374-5)","61141-1374-5","2019-2"
"43","Ephedrine Sulfate","5 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","10 Ml in 1 Syringe, Plastic",NA,"2019-2"
"44","Ephedrine Sulfate","10 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","5 Ml in 1 Syringe, Plastic (61141-1350-5)","61141-1350-5","2019-2"
"45","Esmolol Hydrochloride","10 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","500 Ml in 1 Bag",NA,"2019-2"
"46","Fentanyl Citrate","10 ug/1 mL","injection, solution","Medi-Fare Drug(091326520)","250 Ml in 1 Bag (61141-1318-1)","61141-1318-1","2019-2"
"47","Fentanyl Citrate; Bupivacaine Hydrochloride","5 ug/1 mL; .625 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag",NA,"2019-2"
"48","Fentanyl Citrate; Bupivacaine Hydrochloride","2 ug/1 mL; 1 mg/1 mL","injection, solution","Medi-Fare Drug(091326520)","150 Ml in 1 Bag (61141-4836-1)","61141-4836-1","2019-2"
