"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Acetaminophen","100 mg/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"2","Aluminum Hydroxide; Magnesium Hydroxide; Lidocaine Hydrochloride; Diphenhydramine Hydrochloride; Dimethicone","13.36 mg/1 mL; 13.36 mg/1 mL; 6.68 mg/1 mL; .835 mg/1 mL; 1.336 mg/1 mL","suspension","QuVa Pharma, Inc.(080064259)","5 Ml in 1 Syringe",NA,"2019-1"
"3","Amiodarone Hydrochloride","450 mg/250 mL","injection","QuVa Pharma, Inc.(036662848)","250 Ml in 1 Bag",NA,"2019-1"
"4","Amiodarone Hydrochloride","5400 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"5","Amiodarone Hydrochloride","5.4 g/3000 mL","injection","QuVa Pharma, Inc.(036662848)","3000 Ml in 1 Bag",NA,"2019-1"
"6","Amiodarone Hydrochloride","900 mg/500 mL","injection","QuVa Pharma, Inc.(036662848)","500 Ml in 1 Bag",NA,"2019-1"
"7","Amiodarone Hydrochloride","450 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"8","Amiodarone Hydrochloride","900 mg/500 mL","injection","QuVa Pharma(079937015)","500 Ml in 1 Bag",NA,"2019-1"
"9","Amiodarone Hydrochloride","150 mg/100 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"10","Atropine Sulfate","2 mg/5 mL","injection","QuVa Pharma(079937015)","5 Ml in 1 Syringe",NA,"2019-1"
"11","Atropine Sulfate",".8 mg/2 mL","injection","QuVa Pharma(079937015)","2 Ml in 1 Syringe",NA,"2019-1"
"12","Atropine Sulfate","1 mg/2.5 mL","injection","QuVa Pharma(079937015)","2.5 Ml in 1 Syringe",NA,"2019-1"
"13","Bumetanide","10 mg/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"14","Bupivacaine Hydrochloride","3750 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"15","Bupivacaine Hydrochloride","1.25 mg/1 mL","injection","QuVa Pharma(079937015)","150 Ml in 1 Bag",NA,"2019-1"
"16","Bupivacaine Hydrochloride","312.5 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"17","Bupivacaine Hydrochloride; Fentanyl Citrate","3000 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"18","Bupivacaine Hydrochloride; Fentanyl Citrate","5001 mg/3000 mL; 120 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"19","Bupivacaine Hydrochloride; Fentanyl Citrate","1875 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"20","Bupivacaine Hydrochloride; Fentanyl Citrate","3750 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"21","Calcium Chloride","100 mg/1 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"22","Calcium Gluconate","2 g/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"23","Calcium Gluconate","2 g/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Bag",NA,"2019-1"
"24","Calcium Gluconate","60 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
