"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1",".alpha.-Lipoic Acid","25 mg/25 mg","injection, solution","RXQ Compounding, LLC(079640811)","750 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"2",".alpha.-Lipoic Acid","40 mg/40 mg","injection, solution","RXQ Compounding, LLC(079640811)","1200 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"3","19-Nor-1.alpha.,25-Dihydroxyvitamin D3","100000 U/100000 U","injection, solution","RXQ Compounding, LLC(079640811)","1000000 U in 1 Bottle, Unit-Dose",NA,"2019-1"
"4","2,3-Dimercapto-1-Propanesulfonic Acid","50 mg/50 mg","injection, solution","RXQ Compounding, LLC(079640811)","1 Mg in 1 Bottle, Glass",NA,"2019-1"
"5","Ascorbic Acid","400 mg/400 mg","injection, solution","RXQ Compounding, LLC(079640811)","26000 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"6","Ascorbic Acid","500 mg/500 mg","injection, solution","RXQ Compounding, LLC(079640811)","25000 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"7","Atropine Sulfate",".4 mg/.4 mg","injection, solution","RXQ Compounding, LLC(079640811)","1 Mg in 1 Syringe, Plastic",NA,"2019-1"
"8","Bevacizumab","25 mg/25 mg","injection, solution","RXQ Compounding, LLC(079640811)","3.75 Mg in 1 Syringe, Plastic",NA,"2019-1"
"9","Bevacizumab","25 mg/25 mg","injection, solution","RXQ Compounding, LLC(079640811)","3 Mg in 1 Syringe, Plastic",NA,"2019-1"
"10","Bevacizumab","25 mg/25 mg","injection, solution","RXQ Compounding, LLC(079640811)","2.5 Mg in 1 Syringe, Plastic",NA,"2019-1"
"11","Biotin","1 mg/1 mg","injection, solution","RXQ Compounding, LLC(079640811)","50 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"12","Bupivacaine Hydrochloride","1.25 mg/1.25 mg","injection, solution","RXQ Compounding, LLC(079640811)","312.5 Mg in 1 Bag",NA,"2019-1"
"13","Bupivacaine Hydrochloride; Fentanyl Citrate",".626 mg/.626 mg; .626 mg/.626 mg","injection, solution","RXQ Compounding, LLC(079640811)","62.6 Mg in 1 Syringe",NA,"2019-1"
"14","Butalbital","50 mg/50 mg","capsule","RXQ Compounding, LLC(079640811)","50 Mg in 1 Capsule",NA,"2019-1"
"15","Calcium Chloride","100 mg/100 mg","injection, solution","RXQ Compounding, LLC(079640811)","1000 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
"16","Calcium Gluconate","50 mg/50 mg","injection, solution","RXQ Compounding, LLC(079640811)","1000 Mg in 1 Bottle, Unit-Dose",NA,"2019-1"
