"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","32.5 Ml in 1 Syringe (70004-001-28)","70004-001-28","2019-1"
"2","Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","65 Ml in 1 Syringe (70004-001-56)","70004-001-56","2019-1"
"3","Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","50 Ml in 1 Syringe (70004-001-22)","70004-001-22","2019-1"
"4","Adenosine","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","90 Ml in 1 Bag (70004-012-57)","70004-012-57","2019-1"
"5","Adenosine",".024 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-010-12)","70004-010-12","2019-1"
"6","Adenosine",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","6 Ml in 1 Syringe (70004-011-29)","70004-011-29","2019-1"
"7","Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Ml in 1 Syringe (70004-040-05)","70004-040-05","2019-1"
"8","Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","3 Ml in 1 Syringe (70004-040-25)","70004-040-25","2019-1"
"9","Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","2 Ml in 1 Syringe (70004-040-06)","70004-040-06","2019-1"
"10","Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","2.5 Ml in 1 Syringe (70004-040-07)","70004-040-07","2019-1"
"11","Calcium Gluconate","2 g","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Injection, Solution in 1 Bag (70004-510-33)","70004-510-33","2019-1"
"12","Calcium Gluconate","1 g","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Injection, Solution in 1 Bag (70004-511-30)","70004-511-30","2019-1"
"13","Diltiazem Hydrochloride","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","125 Ml in 1 Bag (70004-540-35)","70004-540-35","2019-1"
"14","Diltiazem Hydrochloride","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","125 Ml in 1 Bag (70004-541-35)","70004-541-35","2019-1"
"15","Ephedrine Sulfate","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-605-09)","70004-605-09","2019-1"
"16","Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-604-09)","70004-604-09","2019-1"
"17","Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-604-12)","70004-604-12","2019-1"
"18","Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-599-12)","70004-599-12","2019-1"
