"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Fentanyl Citrate","50 ug/1 mL","injection","STAQ Pharma Inc(030633271)","20 Ml in 1 Syringe, Plastic (73177-103-07)","73177-103-07","2020-1"
"2","Fentanyl Citrate","50 ug/1 mL","injection","STAQ Pharma Inc(030633271)","2 Ml in 1 Syringe, Plastic (73177-103-01)","73177-103-01","2020-1"
"3","Ketamine Hydrochloride","10 mg/1 mL","injection","STAQ Pharma Inc(030633271)","3 Ml in 1 Syringe, Plastic (73177-101-06)","73177-101-06","2020-1"
"4","Ketamine Hydrochloride","10 mg/1 mL","injection","STAQ Pharma Inc(030633271)","5 Ml in 1 Syringe, Plastic (73177-101-02)","73177-101-02","2020-1"
"5","Fentanyl Citrate","10 ug/1 mL","injection","STAQ Pharma Inc(030633271)","50 Ml in 1 Syringe, Plastic (73177-102-05)","73177-102-05","2020-2"
"6","Fentanyl Citrate","10 ug/1 mL","injection","STAQ Pharma Inc(030633271)","10 Ml in 1 Syringe, Plastic (73177-102-03)","73177-102-03","2020-2"
"7","Fentanyl Citrate","10 ug/1 mL","injection","STAQ Pharma Inc(030633271)","5 Ml in 1 Syringe, Plastic (73177-102-02)","73177-102-02","2020-2"
"8","Fentanyl Citrate","50 ug/1 mL","injection","STAQ Pharma Inc(030633271)","50 Ml in 1 Syringe, Plastic (73177-103-05)","73177-103-05","2020-2"
"9","Fentanyl Citrate","50 ug/1 mL","injection","STAQ Pharma Inc(030633271)","20 Ml in 1 Syringe, Plastic (73177-103-07)","73177-103-07","2020-2"
"10","Fentanyl Citrate","50 ug/1 mL","injection","STAQ Pharma Inc(030633271)","2 Ml in 1 Syringe, Plastic (73177-103-01)","73177-103-01","2020-2"
"11","Hydromorphone Hydrochloride",".2 mg/1 mL","injection","STAQ Pharma Inc(030633271)","25 Ml in 1 Syringe, Plastic (73177-104-04)","73177-104-04","2020-2"
"12","Hydromorphone Hydrochloride",".2 mg/1 mL","injection","STAQ Pharma Inc(030633271)","10 Ml in 1 Syringe, Plastic (73177-104-03)","73177-104-03","2020-2"
"13","Hydromorphone Hydrochloride",".2 mg/1 mL","injection","STAQ Pharma Inc(030633271)","2 Ml in 1 Syringe, Plastic (73177-104-01)","73177-104-01","2020-2"
"14","Hydromorphone Hydrochloride",".2 mg/1 mL","injection","STAQ Pharma Inc(030633271)","50 Ml in 1 Syringe, Plastic (73177-104-05)","73177-104-05","2020-2"
"15","Ketamine Hydrochloride","10 mg/1 mL","injection","STAQ Pharma Inc(030633271)","5 Ml in 1 Syringe, Plastic (73177-101-02)","73177-101-02","2020-2"
"16","Ketamine Hydrochloride","10 mg/1 mL","injection","STAQ Pharma Inc(030633271)","3 Ml in 1 Syringe, Plastic (73177-101-06)","73177-101-06","2020-2"
"17","Midazolam","1 mg/1 mL","injection","STAQ Pharma Inc(030633271)","25 Ml in 1 Syringe, Plastic (73177-106-04)","73177-106-04","2020-2"
"18","Morphine Sulfate","1 mg/1 mL","injection","STAQ Pharma Inc(030633271)","2 Ml in 1 Syringe, Plastic (73177-105-01)","73177-105-01","2020-2"
"19","Morphine Sulfate","1 mg/1 mL","injection","STAQ Pharma Inc(030633271)","5 Ml in 1 Syringe, Plastic (73177-105-02)","73177-105-02","2020-2"
"20","Morphine Sulfate","1 mg/1 mL","injection","STAQ Pharma Inc(030633271)","50 Ml in 1 Syringe, Plastic (73177-105-05)","73177-105-05","2020-2"
"21","Morphine Sulfate","1 mg/1 mL","injection","STAQ Pharma Inc(030633271)","25 Ml in 1 Syringe, Plastic (73177-105-04)","73177-105-04","2020-2"
