"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-651-01)","70324-651-01","2019-1"
"2","Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-676-01)","70324-676-01","2019-1"
"3","Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-926-01)","70324-926-01","2019-1"
"4","Phenylephrine Hydrochloride","20 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-701-01)","70324-701-01","2019-1"
"5","Phenylephrine Hydrochloride","50 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-901-01)","70324-901-01","2019-1"
"6","Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bottle (70324-326-01)","70324-326-01","2019-1"
"7","Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bag (70324-326-03)","70324-326-03","2019-1"
"8","Sodium Bicarbonate","4.2 g/50 mL","injection, solution","SterRx(049167014)","50 Ml in 1 Vial, Single-Dose (70324-301-07)","70324-301-07","2019-1"
"9","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-976-01)","70324-976-01","2019-2"
"10","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-951-01)","70324-951-01","2019-2"
"11","Epinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-077-01)","70324-077-01","2019-2"
"12","Epinephrine","2 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-027-01)","70324-027-01","2019-2"
"13","Epinephrine","5 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-052-01)","70324-052-01","2019-2"
"14","Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-926-01)","70324-926-01","2019-2"
"15","Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-002-01)","70324-002-01","2019-2"
"16","Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-676-01)","70324-676-01","2019-2"
"17","Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-476-01)","70324-476-01","2019-2"
"18","Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-651-01)","70324-651-01","2019-2"
"19","Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-451-01)","70324-451-01","2019-2"
"20","Phenylephrine Hydrochloride","50 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-901-01)","70324-901-01","2019-2"
"21","Phenylephrine Hydrochloride","20 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-701-01)","70324-701-01","2019-2"
"22","Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bag (70324-326-03)","70324-326-03","2019-2"
"23","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-976-01)","70324-976-01","2020-1"
"24","Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-951-01)","70324-951-01","2020-1"
"25","Epinephrine","2 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-027-01)","70324-027-01","2020-1"
"26","Epinephrine","5 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-152-01)","70324-152-01","2020-1"
