"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1",".delta.14-Triamcinolone Acetonide; Calcipotriene",".1 g/100 mL; .005 g/100 mL","ointment","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"2","Acyclovir","30 g/100 mL","gel","Sincerus Florida, LLC.(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"3","Amantadine Hydrochloride; Amitriptyline Hydrochloride; Baclofen; Clonidine Hydrochloride; Gabapentin; Ketoprofen; Lidocaine Hydrochloride","8 g/100 mL; 2 g/100 mL; 4 g/100 mL; .2 g/100 mL; 5 g/100 mL; 10 g/100 mL; 10 g/100 mL","cream","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"4","Benzoyl Peroxide; Adapalene; Clindamycin Phosphate","2.5 g/100 mL; .3 g/100 mL; 1 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"5","Benzoyl Peroxide; Adapalene; Niacinamide","2.5 g/100 mL; .3 g/100 mL; 4 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"6","Benzoyl Peroxide; Adapalene; Niacinamide","2.5 g/100 mL; .1 g/100 mL; 4 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"7","Benzoyl Peroxide; Clindamycin Phosphate; Adapalene","2.5 g/100 mL; 1 g/100 mL; .1 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"8","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide","2.5 g/100 mL; 1 g/100 mL; 4 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"9","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide","5 g/100 mL; 1 g/100 mL; 4 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"10","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Spironolactone","5 g/100 mL; 1 g/100 mL; 2 g/100 mL; 2 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"11","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin","5 g/100 mL; 1 g/100 mL; 2 g/100 mL; .1 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"12","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin","2.5 g/100 mL; 1 g/100 mL; 2 g/100 mL; .05 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"13","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin","5 g/100 mL; 1 g/100 mL; 2 g/100 mL; .025 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
"14","Benzoyl Peroxide; Clindamycin Phosphate; Niacinamide; Tretinoin","2.5 g/100 mL; 1 g/100 mL; 2 g/100 mL; .025 g/100 mL","gel","Sincerus Florida, LLC(080105003)","400 Ml in 1 Cartridge",NA,"2019-1"
