"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Buprenorphine",".5 mg/1 mL","injection, solution","Stokes Healthcare(802110531)","50 Ml in 1 Vial",NA,"2019-1"
"2","Buprenorphine",".5 mg/1 mL","injection, solution","Stokes Healthcare(802110531)","10 Ml in 1 Vial",NA,"2019-1"
"3","Cyclosporine","20 mg/1 mL","solution","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"4","Cyclosporine","20 mg/1 mL","suspension","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"5","Cyclosporine","10 mg/1 mL","solution","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"6","Cyclosporine","10 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"7","Cyclosporine","20 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"8","Cyclosporine","10 mg/1 mL","suspension","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"9","Diazepam","5 mg/1 mL","injection, solution","Stokes Healthcare(802110531)","30 Ml in 1 Vial",NA,"2019-1"
"10","Flurbiprofen",".4 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"11","Hydromorphone","2 mg/1 mL","injection, solution","Stokes Healthcare(802110531)","10 Ml in 1 Vial",NA,"2019-1"
"12","Idoxuridine","1 mg/1 mL","solution","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"13","Methadone Hydrochloride","10 mg/1 mL","injection, solution","Stokes Healthcare(802110531)","10 Ml in 1 Vial",NA,"2019-1"
"14","Pilocarpine Hydrochloride","1 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"15","Tacrolimus",".3 mg/1 mL","solution","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"16","Tacrolimus","5 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"17","Tacrolimus","2 mg/1 mL","solution","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"18","Tacrolimus",".2 mg/1 mL","suspension","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"19","Tacrolimus",".2 mg/1 mL","suspension","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"20","Tacrolimus",".3 mg/1 mL","suspension","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"21","Tacrolimus",".2 mg/1 mL","solution","Stokes Healthcare(802110531)","15 Ml in 1 Bottle, Dropper",NA,"2019-1"
"22","Tacrolimus","1 mg/1 mL","suspension","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
"23","Tacrolimus","5 mg/1 mL","suspension","Stokes Healthcare(802110531)","10 Ml in 1 Bottle, Dropper",NA,"2019-1"
