"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2019-1"
"2","Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2019-1"
"3","Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2019-1"
"4","Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2019-1"
"5","Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Methylcobalamin; Niacinamide Hydrochloride","20 mg/1 mL; .5 mg/1 mL; 50 ug/1 mL; 20 mg/1 mL; .5 mg/1 mL; 20 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-055-23)","69389-055-23","2019-1"
"6","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","50 Ml in 1 Vial, Single-Use (69389-064-27)","69389-064-27","2019-1"
"7","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-064-22)","69389-064-22","2019-1"
"8","Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2019-2"
"9","Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2019-2"
"10","Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2019-2"
"11","Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2019-2"
"12","Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Methylcobalamin; Niacinamide Hydrochloride","20 mg/1 mL; .5 mg/1 mL; 50 ug/1 mL; 20 mg/1 mL; .5 mg/1 mL; 20 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-055-23)","69389-055-23","2019-2"
"13","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","50 Ml in 1 Vial, Single-Use (69389-064-27)","69389-064-27","2019-2"
"14","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-064-22)","69389-064-22","2019-2"
"15","Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2020-1"
"16","Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2020-1"
"17","Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2020-1"
"18","Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2020-1"
"19","Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Niacinamide Hydrochloride","20 mg/1 mL; .5 mg/1 mL; 50 ug/1 mL; 20 mg/1 mL; 20 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-155-23)","69389-155-23","2020-1"
"20","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-064-22)","69389-064-22","2020-1"
"21","Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","50 Ml in 1 Vial, Single-Use (69389-064-27)","69389-064-27","2020-1"
