"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Rocuronium Bromide","10 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe, Plastic (73702-129-10)","73702-129-10","2020-1"
"2","Atropine",".4 mg/1 mL","injection","Wells Pharma of Houston(055774114)","2.5 Ml in 1 Syringe (73702-101-30)","73702-101-30","2020-2"
"3","Cefazolin","1 g/10 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-131-10)","73702-131-10","2020-2"
"4","Dextrose Monohydrate",".5 g/1 mL","injection","Wells Pharma of Houston(055774114)","50 Ml in 1 Syringe (73702-104-65)","73702-104-65","2020-2"
"5","Ephedrine Sulfate","5 mg/1 mL","injection","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-106-10)","73702-106-10","2020-2"
"6","Ephedrine Sulfate","10 mg/1 mL","injection","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-107-15)","73702-107-15","2020-2"
"7","Esmolol Hydrochloride","10 mg/1 mL","injection","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-105-10)","73702-105-10","2020-2"
"8","Fentanyl","50 ug/1 mL","injection","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-204-15)","73702-204-15","2020-2"
"9","Fentanyl","10 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","100 Ml in 1 Bag (73702-202-02)","73702-202-02","2020-2"
"10","Fentanyl","20 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","50 Ml in 1 Syringe (73702-203-65)","73702-203-65","2020-2"
"11","Fentanyl","50 ug/1 mL","injection","Wells Pharma of Houston(055774114)","25 Ml in 1 Syringe (73702-204-25)","73702-204-25","2020-2"
"12","Fentanyl","50 ug/1 mL","injection","Wells Pharma of Houston(055774114)","2 Ml in 1 Syringe (73702-204-32)","73702-204-32","2020-2"
"13","Fentanyl","20 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","30 Ml in 1 Syringe (73702-203-40)","73702-203-40","2020-2"
"14","Fentanyl","50 ug/1 mL","injection","Wells Pharma of Houston(055774114)","30 Ml in 1 Syringe (73702-204-40)","73702-204-40","2020-2"
"15","Fentanyl","5 ug/1 mL","injection","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-201-10)","73702-201-10","2020-2"
"16","Glycopyrrolate",".2 mg/1 mL","injection","Wells Pharma of Houston(055774114)","2 Ml in 1 Syringe (73702-109-32)","73702-109-32","2020-2"
"17","Glycopyrrolate",".2 mg/1 mL","injection","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-109-15)","73702-109-15","2020-2"
"18","Ketamine","50 mg/1 mL","injection","Wells Pharma of Houston(055774114)","1 Ml in 1 Syringe (73702-302-31)","73702-302-31","2020-2"
"19","Ketamine","10 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-301-15)","73702-301-15","2020-2"
"20","Ketamine","10 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-301-10)","73702-301-10","2020-2"
"21","Lidocaine","20 mg/1 mL","injection","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-111-15)","73702-111-15","2020-2"
"22","Midazolam","1 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","100 Ml in 1 Bag (73702-401-02)","73702-401-02","2020-2"
"23","Morphine Sulfate","1 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","2 Ml in 1 Syringe (73702-242-32)","73702-242-32","2020-2"
"24","Neostigmine Methylsulfate","1 mg/1 mL","injection","Wells Pharma of Houston(055774114)","5 Ml in 1 Syringe (73702-113-15)","73702-113-15","2020-2"
"25","Neostigmine Methylsulfate","1 mg/1 mL","injection","Wells Pharma of Houston(055774114)","3 Ml in 1 Syringe (73702-113-53)","73702-113-53","2020-2"
"26","Phenylephrine Hydrochloride","120 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-126-10)","73702-126-10","2020-2"
"27","Phenylephrine Hydrochloride","100 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-127-10)","73702-127-10","2020-2"
"28","Phenylephrine Hydrochloride","100 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-125-10)","73702-125-10","2020-2"
"29","Phenylephrine Hydrochloride","40 ug/1 mL","injection, solution","Wells Pharma of Houston(055774114)","10 Ml in 1 Syringe (73702-123-10)","73702-123-10","2020-2"
"30","Ropivacaine Hydrochloride","2 mg/1 mL","injection, solution","Wells Pharma of Houston(055774114)","50 Ml in 1 Syringe (73702-128-65)","73702-128-65","2020-2"
