"","Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"1","Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride","60 ug/1 mL; 4 mg/1 mL; 30 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-207-05)","70713-207-05","2019-1"
"2","Estradiol","10 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-056-01)","70713-056-01","2019-1"
"3","Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-013-01)","70713-013-01","2019-1"
"4","Estradiol","22 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-146-01)","70713-146-01","2019-1"
"5","Estradiol","18 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-144-01)","70713-144-01","2019-1"
"6","Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-049-01)","70713-049-01","2019-1"
"7","Estradiol","12.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-147-01)","70713-147-01","2019-1"
"8","Estradiol","20 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-145-01)","70713-145-01","2019-1"
"9","Estradiol","6 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-009-01)","70713-009-01","2019-1"
"10","Estradiol","6 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-050-01)","70713-050-01","2019-1"
"11","Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-053-01)","70713-053-01","2019-1"
"12","Estradiol","12.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-051-01)","70713-051-01","2019-1"
"13","Estradiol","15 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-052-01)","70713-052-01","2019-1"
"14","Phentolamine Mesylate; Alprostadil; Atropine Sulfate; Papaverine Hydrochloride",".2 mg/1 mL; 10 ug/1 mL; .02 mg/1 mL; .9 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-205-05)","70713-205-05","2019-1"
"15","Phentolamine Mesylate; Papaverine Hydrochloride; Alprostadil; Atropine Sulfate","3 mg/1 mL; 30 mg/1 mL; 60 ug/1 mL; .2 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-204-05)","70713-204-05","2019-1"
"16","Progesterone","100 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-026-01)","70713-026-01","2019-1"
"17","Progesterone","50 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-036-01)","70713-036-01","2019-1"
"18","Testosterone","18 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-028-01)","70713-028-01","2019-1"
"19","Testosterone","62.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-033-01)","70713-033-01","2019-1"
"20","Testosterone","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-006-01)","70713-006-01","2019-1"
"21","Testosterone","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-032-01)","70713-032-01","2019-1"
"22","Testosterone","200 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-005-01)","70713-005-01","2019-1"
"23","Testosterone","12.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-018-01)","70713-018-01","2019-1"
"24","Testosterone","100 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-002-01)","70713-002-01","2019-1"
"25","Testosterone","100 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-003-01)","70713-003-01","2019-1"
"26","Testosterone","50 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-004-01)","70713-004-01","2019-1"
"27","Testosterone","18 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-039-01)","70713-039-01","2019-1"
"28","Testosterone","50 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-023-01)","70713-023-01","2019-1"
