"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
".alpha.-Ketoglutaric Acid","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-1"
"Acetylcysteine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial",NA,"2019-1"
"Arginine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-1"
"Arginine Hydrochloride; Propylparaben; Methylparaben","200 mg/1 mL; .25 mg/1 mL; .5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Ascorbic Acid","500 mg/1 mL","injection, solution","ASP Cares(080070525)","50 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Avexitide","5 mg/1 mL","injection, solution","ASP Cares(080070525)","2 Ml in 1 Vial, Single-Use",NA,"2019-1"
"Calcium Gluconate","25 mg/1 mL","solution","ASP Cares(080070525)","2.5 Ml in 1 Vial, Plastic",NA,"2019-1"
"Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","120 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Dexpanthenol","250 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Glutathione","200 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Methionine; Choline Chloride; Inositol; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Methionine; Choline Chloride; Inositol; Cyanocobalamin; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Methylcobalamin","1 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Sildenafil","100 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-1"
"Sodium 3-Hydroxybutyrate","100 mg/1 mL","injection","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-1"
"Tadalafil","25 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-1"
"Taurine","50 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","5 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","10 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","30 G in 1 Jar",NA,"2019-1"
"Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","454 G in 1 Jar",NA,"2019-1"
"Tetracaine; Lidocaine","7 g/100 g; 23 g/100 g","ointment","ASP Cares(080070525)","75 G in 1 Jar",NA,"2019-1"
"Thiamine Hydrochloride; Benzyl Alcohol; Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride","100 mg/1 mL; 20 mg/1 mL; 2 mg/1 mL; 100 mg/1 mL; 2 mg/1 mL; 2 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
"Tretinoin; Butylated Hydroxytoluene; Alcohol; Polyethylene Glycol 300","3 mg/1 mL; 200 mg/1 mL; 600 mg/1 mL; 395 mg/1 mL","solution","ASP Cares(080070525)","60 Ml in 1 Bottle, Glass",NA,"2019-1"
"Zinc Sulfate Monohydrate","2.5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-1"
".alpha.-Ketoglutaric Acid","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-2"
"Acetylcysteine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial",NA,"2019-2"
"Arginine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose",NA,"2019-2"
"Arginine Hydrochloride; Propylparaben; Methylparaben","200 mg/1 mL; .25 mg/1 mL; .5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Ascorbic Acid","500 mg/1 mL","injection, solution","ASP Cares(080070525)","50 Ml in 1 Vial, Multi-Dose (72833-690-50)","72833-690-50","2019-2"
"Biotin","10 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-2"
"Calcium Gluconate","10 mg/1 mL","solution","ASP Cares(080070525)","120 Ml in 1 Bottle, Plastic",NA,"2019-2"
"Calcium Gluconate","25 mg/1 mL","solution","ASP Cares(080070525)","2.5 Ml in 1 Vial, Plastic",NA,"2019-2"
"Calcium Gluconate","25 mg/1 mL","solution","ASP Cares(080070525)","120 Ml in 1 Bottle, Plastic",NA,"2019-2"
"Calcium Gluconate; Propylene Glycol; Methylcellulose (1500 Mpa.s)","25 mg/1 g; 20 mg/1 g; 30 mg/1 g","gel","ASP Cares(080070525)","454 G in 1 Jar",NA,"2019-2"
"Dexpanthenol","250 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Edetate Calcium Disodium","300 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Edetate Calcium Disodium","300 mg/1 mL","injection, solution","ASP Cares(080070525)","10 Ml in 1 Vial",NA,"2019-2"
"Glutathione","200 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Ketamine Hydrochloride","2500 mg/300 mL","injection, solution","ASP Cares(080070525)","300 Ml in 1 Bag",NA,"2019-2"
"Ketamine Hydrochloride","50 mg/1 mL","injection, solution","ASP Cares(080070525)","50 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Metformin Hydrochloride","500 mg","capsule","ASP Cares(080070525)","100 Capsule in 1 Vial, Plastic > 1 Capsule in 1 Capsule",NA,"2019-2"
"Methionine; Choline Chloride; Inositol; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Methionine; Choline Chloride; Inositol; Cyanocobalamin; Benzyl Alcohol","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL; 20 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Methylcobalamin","1 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Nandrolone Decanoate","200 mg/1 mL","injection","ASP Cares(080070525)","5 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Pentoxifylline","400 mg","capsule","ASP Cares(080070525)","100 Capsule in 1 Vial, Plastic > 1 Capsule in 1 Capsule",NA,"2019-2"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Sildenafil","100 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-2"
"Sodium 3-Hydroxybutyrate","100 mg/1 mL","injection","ASP Cares(080070525)","500 Ml in 1 Bag",NA,"2019-2"
"Tadalafil","80 mg","troche","ASP Cares(080070525)","30 Troche in 1 Vial, Plastic",NA,"2019-2"
"Tadalafil","25 mg","troche","ASP Cares(080070525)","1 Troche in 1 Vial, Plastic",NA,"2019-2"
"Taurine","50 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","10 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate","200 mg/1 mL","injection","ASP Cares(080070525)","5 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate; Testosterone Propionate","160 mg/1 mL; 40 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate; Testosterone Propionate","200 mg/1 mL; 50 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Testosterone Cypionate; Testosterone Propionate","200 mg/1 mL; 20 mg/1 mL","injection","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Tetracaine Hydrochloride","60 mg/1 g","gel","ASP Cares(080070525)","10 G in 1 Syringe",NA,"2019-2"
"Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","454 G in 1 Jar",NA,"2019-2"
"Tetracaine; Benzocaine; Lidocaine","6 g/100 g; 20 g/100 g; 10 g/100 g","cream","ASP Cares(080070525)","30 G in 1 Jar",NA,"2019-2"
"Tetracaine; Lidocaine","7 g/100 g; 23 g/100 g","ointment","ASP Cares(080070525)","75 G in 1 Jar",NA,"2019-2"
"Thiamine Hydrochloride; Benzyl Alcohol; Riboflavin 5'-Phosphate Sodium; Niacinamide; Dexpanthenol; Pyridoxine Hydrochloride","100 mg/1 mL; 20 mg/1 mL; 2 mg/1 mL; 100 mg/1 mL; 2 mg/1 mL; 2 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Tilarginine Acetate","50 mg/1 mL","solution","ASP Cares(080070525)","10 Ml in 1 Vial, Single-Dose",NA,"2019-2"
"Tretinoin; Butylated Hydroxytoluene; Alcohol; Polyethylene Glycol 300","3 mg/1 mL; 200 mg/1 mL; 600 mg/1 mL; 395 mg/1 mL","solution","ASP Cares(080070525)","60 Ml in 1 Bottle, Glass",NA,"2019-2"
"Zinc Sulfate Monohydrate","2.5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose",NA,"2019-2"
"Acetylcysteine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial (72833-754-04)","72833-754-04","2020-1"
"Arginine","2 mg/1 mL","solution","ASP Cares(080070525)","4 Ml in 1 Vial, Single-Dose (72833-787-04)","72833-787-04","2020-1"
"Arginine Hydrochloride; Propylparaben; Methylparaben","200 mg/1 mL; .25 mg/1 mL; .5 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose (72833-636-30)","72833-636-30","2020-1"
"Ascorbic Acid","500 mg/1 mL","injection, solution","ASP Cares(080070525)","50 Ml in 1 Vial, Multi-Dose (72833-690-50)","72833-690-50","2020-1"
"Biotin","10 mg/1 mL","injection, solution","ASP Cares(080070525)","30 Ml in 1 Vial, Multi-Dose (72833-589-30)","72833-589-30","2020-1"
"Calcium Gluconate","25 mg/1 mL","solution","ASP Cares(080070525)","120 Ml in 1 Bottle, Plastic (72833-737-12)","72833-737-12","2020-1"
