"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Anastrozole; Testosterone","8 mg/1 mg; 100 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Anastrozole; Testosterone","4 mg/1 mg; 100 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Anastrozole; Testosterone","4 mg/1 mg; 60 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Anastrozole; Testosterone","4 mg/1 mg; 75 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Choline Chloride; Methionine; Inositol; Cyanocobalamin","50 mg/1 mL; 25 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","30 Ml in 1 Vial",NA,"2019-1"
"Estradiol","20 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","18 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","12.5 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","6 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","25 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","15 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","22 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Estradiol","10 mg/1 mg","pellet","AnazaoHealth Corporation(796692619)","1 Mg in 1 Vial",NA,"2019-1"
"Glutathione","200 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","10 Ml in 1 Vial",NA,"2019-1"
"Lecithin, Soybean; Sodium Desoxycholate","50 mg/1 mL; 25 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","50 Ml in 1 Vial",NA,"2019-1"
"Levocarnitine","500 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","30 Ml in 1 Vial",NA,"2019-1"
"Lysine Hydrochloride; Arginine Hydrochloride","25 mg/1 mL; 25 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","1000 Ml in 1 Bag",NA,"2019-1"
"Methionine; Inositol; Choline Chloride","25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","30 Ml in 1 Vial",NA,"2019-1"
"Methylcobalamin","5000 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","10 Ml in 1 Vial",NA,"2019-1"
"Methylcobalamin","10000 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","10 Ml in 1 Vial",NA,"2019-1"
"Nandrolone Decanoate","200 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","10 Ml in 1 Vial",NA,"2019-1"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection","AnazaoHealth Corporation(796692619)","1067 Ml in 1 Vial",NA,"2019-1"
