"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2019-1"
"Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2019-1"
"Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2019-1"
"Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2019-1"
"Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2019-1"
"Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2019-1"
"Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2019-1"
"Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2019-1"
"Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2019-1"
"Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2019-1"
"Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2019-1"
"Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2019-1"
"Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2019-1"
"Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".032 mg/1 mL; .2638 mg/1 mL; .064 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-510-25)","71170-510-25","2019-2"
"Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2019-2"
"Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2019-2"
"Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2019-2"
"Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2019-2"
"Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-224-50)","71170-224-50","2019-2"
"Vancomycin Hydrochloride","3.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-194-50)","71170-194-50","2019-2"
"Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-204-50)","71170-204-50","2019-2"
"Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2019-2"
"Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-185-50)","71170-185-50","2019-2"
"Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2019-2"
"Vancomycin Hydrochloride","2 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-234-25)","71170-234-25","2019-2"
"Vancomycin Hydrochloride","6 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-184-25)","71170-184-25","2019-2"
"Vancomycin Hydrochloride","4.5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","500 Ml in 1 Bag (71170-214-50)","71170-214-50","2019-2"
"Vancomycin Hydrochloride","5 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-264-25)","71170-264-25","2019-2"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Bag (71170-900-01)","71170-900-01","2020-1"
"Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".032 mg/1 mL; .2638 mg/1 mL; .064 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-510-25)","71170-510-25","2020-1"
"Norepinephrine; Sodium Chloride; Sodium Metabisulfite",".016 mg/1 mL; .1184 mg/1 mL; .032 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-500-25)","71170-500-25","2020-1"
"Oxytocin",".06 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","503 Ml in 1 Bag (71170-838-01)","71170-838-01","2020-1"
"Oxytocin",".02 U/1 mL","injection, solution","Apollo Care, LLC(080452681)","1002 Ml in 1 Bag (71170-848-01)","71170-848-01","2020-1"
"Sodium Bicarbonate","1 meq/1 mL","injection, solution","Apollo Care, LLC(080452681)","50 Ml in 1 Syringe, Plastic (71170-728-91)","71170-728-91","2020-1"
"Vancomycin Hydrochloride","2 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-234-25)","71170-234-25","2020-1"
"Vancomycin Hydrochloride","4 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-254-25)","71170-254-25","2020-1"
"Vancomycin Hydrochloride","3 mg/1 mL","injection, solution","Apollo Care, LLC(080452681)","250 Ml in 1 Bag (71170-244-25)","71170-244-25","2020-1"
