"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Estradiol","18 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","10 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","6 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","25 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","12.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","15 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","20 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","37.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","25 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","37.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","62.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","62.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","200 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","12.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","100 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","87.5 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","87.5 Mg in 1 Vial, Plastic",NA,"2019-1"
"Testosterone","50 mg/1 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","50 Mg in 1 Vial, Plastic",NA,"2019-1"
"Estradiol","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","20 mg/20 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","15 mg/15 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","6 mg/6 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","22 mg/22 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","22 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","10 mg/10 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","10 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","50 mg/50 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","50 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","200 mg/200 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","100 mg/100 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","100 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","87.5 mg/87.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","87.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","62.5 mg/62.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","62.5 Mg in 1 Vial, Plastic",NA,"2019-2"
"Testosterone","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2019-2"
"Estradiol","20 mg/20 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","20 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","18 mg/18 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","18 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","10 mg/10 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","10 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","6 mg/6 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","6 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","22 mg/22 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","22 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","12.5 mg/12.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","12.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","15 mg/15 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","15 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"Estradiol","25 mg/25 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","25 Mg in 1 Vial, Plastic",NA,"2020-1"
"Testosterone","200 mg/200 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","200 Mg in 1 Vial, Plastic",NA,"2020-1"
"Testosterone","37.5 mg/37.5 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","37.5 Mg in 1 Vial, Plastic",NA,"2020-1"
"Testosterone","303 mg/303 mg","pellet, implantable","F. H. Investments. Inc. DBA Asteria Health(067684453)","303 Mg in 1 Vial, Plastic",NA,"2020-1"
