"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Ephedrine Sulfate","25 mg/5 mL","injection, solution","BayCare Central Pharmacy(931400662)","5 Ml in 1 Syringe, Plastic (72055-003-01)","72055-003-01","2019-2"
"Neostigmine Methylsulfate","4 mg/4 mL","injection, solution","BayCare Central Pharmacy(931400662)","4 Ml in 1 Syringe, Plastic (72055-002-01)","72055-002-01","2019-2"
"Oxytocin","30 U/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-004-01)","72055-004-01","2019-2"
"Vancomycin Hydrochloride","1250 mg/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-005-01)","72055-005-01","2019-2"
"Ephedrine Sulfate","25 mg/5 mL","injection, solution","BayCare Central Pharmacy(931400662)","5 Ml in 1 Syringe, Plastic (72055-003-01)","72055-003-01","2020-1"
"Neostigmine Methylsulfate","4 mg/4 mL","injection, solution","BayCare Central Pharmacy(931400662)","4 Ml in 1 Syringe, Plastic (72055-002-01)","72055-002-01","2020-1"
"Oxytocin","30 U/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-004-01)","72055-004-01","2020-1"
"Succinylcholine Chloride","100 mg/5 mL","injection, solution","BayCare Central Pharmacy(931400662)","5 Ml in 1 Syringe, Plastic (72055-001-01)","72055-001-01","2020-1"
"Vancomycin Hydrochloride","1250 mg/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-005-01)","72055-005-01","2020-1"
"Ephedrine Sulfate","25 mg/5 mL","injection, solution","BayCare Central Pharmacy(931400662)","5 Ml in 1 Syringe, Plastic (72055-003-01)","72055-003-01","2020-2"
"Neostigmine Methylsulfate","4 mg/4 mL","injection, solution","BayCare Central Pharmacy(931400662)","4 Ml in 1 Syringe, Plastic (72055-002-01)","72055-002-01","2020-2"
"Oxytocin","30 U/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-004-01)","72055-004-01","2020-2"
"Succinylcholine Chloride","100 mg/5 mL","injection, solution","BayCare Central Pharmacy(931400662)","5 Ml in 1 Syringe, Plastic (72055-001-01)","72055-001-01","2020-2"
"Vancomycin Hydrochloride","1250 mg/500 mL","injection, solution","BayCare Central Pharmacy(931400662)","500 Ml in 1 Bag (72055-005-01)","72055-005-01","2020-2"
