"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2019-1"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2019-1"
"Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2019-1"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2019-1"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2019-1"
"Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2019-2"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2019-2"
"Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2019-2"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2019-2"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2019-2"
"Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2020-1"
"Isopropyl Alcohol","75 mL/100 mL","liquid","Brookfield Medical Surgical Supply(079628946)","120 Ml in 1 Bottle, Plastic (72907-1234-1)","72907-1234-1","2020-1"
"Isopropyl Alcohol","75 mL/100 mL","liquid","Brookfield Medical Surgical Supply(079628946)","60 Ml in 1 Bottle, Plastic (72907-1234-6)","72907-1234-6","2020-1"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-2115-3)","72907-2115-3","2020-1"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2020-1"
"Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2020-1"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2020-1"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2020-1"
"Betamethasone Sodium Phosphate","6 mg/6 mL","injection","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1821-3)","72907-1821-3","2020-2"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-2115-3)","72907-2115-3","2020-2"
"Methylprednisolone Acetate","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-2115-5)","72907-2115-5","2020-2"
"Morphine Sulfate","25 mg/25 mL","injection, solution","Brookfield Medical Surgical Supply(079628946)","10 Ml in 1 Vial, Single-Use (72907-2467-1)","72907-2467-1","2020-2"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","3 Ml in 1 Vial, Single-Use (72907-1818-3)","72907-1818-3","2020-2"
"Triamcinolone Acetonide","40 mg/40 mL","injection, suspension","Brookfield Medical Surgical Supply(079628946)","5 Ml in 1 Vial, Single-Use (72907-1818-5)","72907-1818-5","2020-2"
