"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Anastrozole; 1-Testosterone","4 mg; 100 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial, Glass (71138-1004-1)","71138-1004-1","2019-1"
"Anastrozole; Testosterone","4 mg; 75 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0754-1)","71138-0754-1","2019-1"
"Dyclonine Hydrochloride","10 mg/10 mL","rinse","Carie Boyd's Prescription Shop(960588176)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Dyclonine Hydrochloride","5 mg/5 mL","rinse","Carie Boyd's Prescription Shop(960588176)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Estradiol","15 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0015-1)","71138-0015-1","2019-1"
"Estradiol","6 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0006-1)","71138-0006-1","2019-1"
"Estradiol","37.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0375-1)","71138-0375-1","2019-1"
"Estradiol","18 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0018-1)","71138-0018-1","2019-1"
"Estradiol","20 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0020-1)","71138-0020-1","2019-1"
"Estradiol","10 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0010-1)","71138-0010-1","2019-1"
"Estradiol","50 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0050-1)","71138-0050-1","2019-1"
"Estradiol","22 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0022-1)","71138-0022-1","2019-1"
"Estradiol","25 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0025-1)","71138-0025-1","2019-1"
"Estradiol","12.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-0125-1)","71138-0125-1","2019-1"
"Human Chorionic Gonadotropin","250 mg/.5 1","cream","Carie Boyd's Prescription Shop(960588176)","30 Cream in 1 Jar",NA,"2019-1"
"Human Chorionic Gonadotropin","1000 U","injection","Carie Boyd's Prescription Shop(960588176)","10 Injection in 1 Vial",NA,"2019-1"
"Lidocaine; Prilocaine; Tetracaine","50 mg/1 mg; 50 mg/1 mg; 20 mg/1 mg","gel","Carie Boyd's Prescription Shop(960588176)","30 Mg in 1 Jar",NA,"2019-1"
"Lidocaine; Prilocaine; Tetracaine","100 mg/1 mg; 100 mg/1 mg; 40 mg/1 mg","gel","Carie Boyd's Prescription Shop(960588176)","30 Mg in 1 Jar",NA,"2019-1"
"Methylcobalamin","1 mg/1 mg","injection, solution","Carie Boyd's Prescription Shop(960588176)","10 Mg in 1 Vial",NA,"2019-1"
"Methylprednisolone Acetate","80 mg/10 mL","injection","Carie Boyd's Prescription Shop(960588176)","10 Ml in 1 Vial",NA,"2019-1"
"Oxytocin","50 U","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-7005-1)","71138-7005-1","2019-1"
"Oxytocin; Sildenafil Citrate","50 U; 50 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-7505-1)","71138-7505-1","2019-1"
"Oxytocin; Sildenafil Citrate","25 U; 50 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-7502-1)","71138-7502-1","2019-1"
"Oxytocin; Sildenafil Citrate","25 U; 75 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-5752-1)","71138-5752-1","2019-1"
"Oxytocin; Sildenafil Citrate","50 U; 75 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-5755-1)","71138-5755-1","2019-1"
"Oxytocin; Tadalafil","25 U; 12 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-9122-1)","71138-9122-1","2019-1"
"Oxytocin; Tadalafil","50 U; 7 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-9075-1)","71138-9075-1","2019-1"
"Oxytocin; Tadalafil","50 U; 10 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-9105-1)","71138-9105-1","2019-1"
"Oxytocin; Tadalafil","50 U; 12 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-9125-1)","71138-9125-1","2019-1"
"Oxytocin; Tadalafil","25 U; 7 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-9072-1)","71138-9072-1","2019-1"
"Oxytocin; Tadalafil","25 U; 10 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-9102-1)","71138-9102-1","2019-1"
"Papaverine Hydrochloride; Phentolamine Mesylate","30 mg; 1 mg","injection, solution","Carie Boyd's Prescription Shop(960588176)","1 Injection, Solution in 1 Vial (71138-2030-1)","71138-2030-1","2019-1"
"Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil","30 mg; 1 mg; .01 mg","injection, solution","Carie Boyd's Prescription Shop(960588176)","1 Injection, Solution in 1 Vial (71138-2301-1)","71138-2301-1","2019-1"
"Papaverine Hydrochloride; Phentolamine Mesylate; Alprostadil","18 mg; .6 mg; .006 mg","injection, solution","Carie Boyd's Prescription Shop(960588176)","1 Injection, Solution in 1 Vial (71138-2186-1)","71138-2186-1","2019-1"
"Progesterone","100 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3100-1)","71138-3100-1","2019-1"
"Progesterone","25 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3025-1)","71138-3025-1","2019-1"
"Progesterone","50 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-2051-1)","71138-2051-1","2019-1"
"Progesterone","150 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule",NA,"2019-1"
"Progesterone","125 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3125-1)","71138-3125-1","2019-1"
"Progesterone","75 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3075-1)","71138-3075-1","2019-1"
"Progesterone","150 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3150-1)","71138-3150-1","2019-1"
"Progesterone","225 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-2225-1)","71138-2225-1","2019-1"
"Progesterone","50 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3050-1)","71138-3050-1","2019-1"
"Progesterone","225 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3225-1)","71138-3225-1","2019-1"
"Progesterone","200 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-2200-1)","71138-2200-1","2019-1"
"Progesterone","100 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-2100-1)","71138-2100-1","2019-1"
"Progesterone","200 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3200-1)","71138-3200-1","2019-1"
"Progesterone","250 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-3250-1)","71138-3250-1","2019-1"
"Sildenafil Citrate","50 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-4005-1)","71138-4005-1","2019-1"
"Sildenafil Citrate","75 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-4075-1)","71138-4075-1","2019-1"
"Tadalafil","10 mg","troche","Carie Boyd's Prescription Shop(960588176)","1 Troche in 1 Package (71138-8010-1)","71138-8010-1","2019-1"
"Tadalafil","12 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-8012-1)","71138-8012-1","2019-1"
"Tadalafil","7 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule (71138-8007-1)","71138-8007-1","2019-1"
"Tadalafil","25 mg","capsule","Carie Boyd's Prescription Shop(960588176)","1 Capsule in 1 Capsule",NA,"2019-1"
"Testosterone","200 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1200-1)","71138-1200-1","2019-1"
"Testosterone","25 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1025-1)","71138-1025-1","2019-1"
"Testosterone","37.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1375-1)","71138-1375-1","2019-1"
"Testosterone","12.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1125-1)","71138-1125-1","2019-1"
"Testosterone","100 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1100-1)","71138-1100-1","2019-1"
"Testosterone","87.5 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1875-1)","71138-1875-1","2019-1"
"Testosterone","50 mg","pellet","Carie Boyd's Prescription Shop(960588176)","1 Pellet in 1 Vial (71138-1050-1)","71138-1050-1","2019-1"
"Testosterone Cypionate","2 g","injection","Carie Boyd's Prescription Shop(960588176)","1 Injection in 1 Vial (71138-2000-1)","71138-2000-1","2019-1"
"Testosterone Cypionate","6 g","injection","Carie Boyd's Prescription Shop(960588176)","1 Injection in 1 Vial (71138-2300-1)","71138-2300-1","2019-1"
"Testosterone Cypionate; Testosterone Propionate","6 g; .3 g","injection","Carie Boyd's Prescription Shop(960588176)","1 Injection in 1 Vial (71138-2101-1)","71138-2101-1","2019-1"
"Tetracaine; Phenylephrine; Prilocaine; Lidocaine","40 mg/1 mg; 20 mg/1 mg; 100 mg/1 mg; 100 mg/1 mg","gel","Carie Boyd's Prescription Shop(960588176)","30 Mg in 1 Jar",NA,"2019-1"
"Anastrozole; 1-Testosterone","4 mg; 100 mg","pellet","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop(105320625)","1 Pellet in 1 Vial, Glass",NA,"2019-2"
"Anastrozole; 1-Testosterone","4 mg; 100 mg","pellet","Right Value Drug Stores llc dba Carie Boyd's Prescription Shop(105320625)","1 Pellet in 1 Vial, Glass (73271-1004-1)","73271-1004-1","2019-2"
