"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"15-Hydroxytestosterone",".002 g","cream","Complete Pharmacy and Medical Solutions(004417520)","1 Cream in 1 Jar",NA,"2019-1"
"19-Hydroxytestosterone",".004 g","cream","Complete Pharmacy and Medical Solutions(004417520)","1 Cream in 1 Jar",NA,"2019-1"
"7-Keto-Dehydroepiandrosterone",".05 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"7-Keto-Dehydroepiandrosterone",".025 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"Adenosine",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Single-Dose",NA,"2019-1"
"Adenosine",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Syringe, Plastic",NA,"2019-1"
"Adenosine Phosphate",".000997 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Pharmacy Bulk Package",NA,"2019-1"
"Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Capsule",NA,"2019-1"
"Anastrozole",".00025 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Plastic",NA,"2019-1"
"Anastrozole",".005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Bottle, Dispensing",NA,"2019-1"
"Anastrozole",".0005 g","capsule","Complete Pharmacy and Medical Solutions(004417520)","1 Capsule in 1 Vial, Multi-Dose",NA,"2019-1"
"Ascorbic Acid",".501 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Multi-Dose",NA,"2019-1"
"Atropine Sulfate",".000412 g","injection, powder, for solution","Complete Pharmacy and Medical Solutions(004417520)","1 Injection, Powder, for Solution in 1 Vial, Multi-Dose",NA,"2019-1"
"Benzocaine",".2 g","ointment","Complete Pharmacy and Medical Solutions(004417520)","1 Ointment in 1 Jar",NA,"2019-1"
