"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","2.5 Ml in 1 Syringe, Plastic (71449-015-06)","71449-015-06","2019-1"
"Bevacizumab","25 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)",".1 Ml in 1 Syringe, Plastic (71449-091-43)","71449-091-43","2019-1"
"Dexamethasone Sodium Phosphate; Bupivacaine Hydrochloride",".1 mg/1 mL; 3.75 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","30 Ml in 1 Syringe, Plastic (71449-075-32)","71449-075-32","2019-1"
"Ephedrine Sulfate","10 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-014-11)","71449-014-11","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-010-11)","71449-010-11","2019-1"
"Epinephrine",".1 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","10 Ml in 1 Syringe, Plastic (71449-020-15)","71449-020-15","2019-1"
"Fentanyl Citrate","50 ug/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","30 Ml in 1 Syringe, Plastic (71449-013-32)","71449-013-32","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","2 Ml in 1 Syringe, Plastic (71449-009-05)","71449-009-05","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-009-11)","71449-009-11","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","3 Ml in 1 Syringe, Plastic (71449-009-07)","71449-009-07","2019-1"
"Hydromorphone","1 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","30 Ml in 1 Syringe, Plastic (71449-018-32)","71449-018-32","2019-1"
"Ketamine","10 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-068-11)","71449-068-11","2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","3 Ml in 1 Vial, Plastic (71449-024-07)","71449-024-07","2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-024-11)","71449-024-11","2019-1"
"Midazolam Hydrochloride","5 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","30 Ml in 1 Syringe, Plastic (71449-016-32)","71449-016-32","2019-1"
"Morphine Sulfate","1 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","5 Ml in 1 Syringe, Plastic (71449-021-11)","71449-021-11","2019-1"
"Morphine Sulfate","5 mg/1 mL","injection, solution","Denver Solutions, LLC dba Leiters Health(080586798)","30 Ml in 1 Syringe, Plastic (71449-022-32)","71449-022-32","2019-1"
