"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2019-1"
"Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2019-1"
"Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2019-1"
"Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2019-1"
"Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2019-1"
"Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2019-1"
"Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2019-1"
"Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2019-1"
"Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2019-1"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2019-2"
"Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2019-2"
"Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2019-2"
"Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2019-2"
"Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2019-2"
"Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2019-2"
"Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2019-2"
"Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2019-2"
"Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2019-2"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2020-1"
"Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2020-1"
"Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2020-1"
"Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2020-1"
"Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2020-1"
"Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2020-1"
"Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2020-1"
"Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2020-1"
"Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2020-1"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/7 mg; 4 mg/7 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","70 Mg in 1 Vial, Multi-Dose (69852-216-10)","69852-216-10","2020-2"
"Brompheniramine Maleate","10 mg/10 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","100 Mg in 1 Vial, Multi-Dose (69852-880-10)","69852-880-10","2020-2"
"Dexamethasone Acetate Anhydrous","8 mg/8 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","80 Mg in 1 Vial, Multi-Dose (69852-776-10)","69852-776-10","2020-2"
"Ketorolac Tromethamine","30 mg/30 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","300 Mg in 1 Vial, Multi-Dose (69852-123-10)","69852-123-10","2020-2"
"Methylprednisolone Acetate","40 mg/40 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","400 Mg in 1 Vial, Multi-Dose (69852-115-10)","69852-115-10","2020-2"
"Methylprednisolone Acetate","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-916-10)","69852-916-10","2020-2"
"Thiamine Hydrochloride; Methionine; Choline Chloride; Cyanocobalamin; Inositol","5 mg/54.5 mg; 15 mg/54.5 mg; 17 mg/54.5 mg; .5 mg/54.5 mg; 17 mg/54.5 mg","injection, solution","Eagle Pharmacy, Inc.(038598540)","54.5 Mg in 1 Vial, Multi-Dose (69852-208-30)","69852-208-30","2020-2"
"Triamcinolone Acetonide","80 mg/80 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","800 Mg in 1 Vial, Multi-Dose (69852-496-10)","69852-496-10","2020-2"
"Triamcinolone Acetonide","50 mg/50 mg","injection, suspension","Eagle Pharmacy, Inc.(038598540)","500 Mg in 1 Vial, Multi-Dose (69852-691-10)","69852-691-10","2020-2"
