"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Acetic Acid","4 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0475-03)","5446-0475-03","2019-1"
"Acetic Acid","2 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","120 Ml in 1 Bottle (5446-0578-03)","5446-0578-03","2019-1"
"Aluminum Chloride","350 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","30 Ml in 1 Bottle, Glass (5446-1212-03)","5446-1212-03","2019-1"
"Aminohippurate Sodium","2000 mg/10 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Vial (5446-1367-01)","5446-1367-01","2019-1"
"Amphotericin B","2 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-1105-03)","5446-1105-03","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","3 Ml in 1 Syringe, Plastic (5446-0853-01)","5446-0853-01","2019-1"
"Benzoyl Peroxide","100 mg/1 g","gel","Edge Pharmacy Services LLC(079514018)","6 G in 1 Jar (5446-1204-03)","5446-1204-03","2019-1"
"Benzoyl Peroxide","200 mg/1 g","gel","Edge Pharmacy Services LLC(079514018)","6 G in 1 Jar (5446-1216-03)","5446-1216-03","2019-1"
"Bevacizumab","2.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".9 Ml in 1 Syringe, Plastic (5446-1135-01)","5446-1135-01","2019-1"
"Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1133-01)","5446-1133-01","2019-1"
"Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1140-01)","5446-1140-01","2019-1"
"Bevacizumab","3.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)","1 Ml in 1 Syringe, Plastic (5446-1508-01)","5446-1508-01","2019-1"
"Bevacizumab","2 mg/.08 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".8 Ml in 1 Syringe, Plastic (5446-1343-01)","5446-1343-01","2019-1"
"Bevacizumab","2.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1122-01)","5446-1122-01","2019-1"
"Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1115-01)","5446-1115-01","2019-1"
"Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-1134-01)","5446-1134-01","2019-1"
"Bevacizumab","1.5 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1113-01)","5446-1113-01","2019-1"
"Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1112-01)","5446-1112-01","2019-1"
"Bevacizumab","1.25 mg/.06 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1121-01)","5446-1121-01","2019-1"
"Bevacizumab; Dexamethasone","2.5 mg/1 mL; .4 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-0822-01)","5446-0822-01","2019-1"
"Boric Acid","30 mg/1 mL","solution","Edge Pharmacy Services LLC(079514018)","240 Ml in 1 Bottle (5446-1175-03)","5446-1175-03","2019-1"
"Cantharidin","10 mg/1 mL","gel","Edge Pharmacy Services LLC(079514018)","10 Ml in 1 Vial, Multi-Dose (5446-0572-03)","5446-0572-03","2019-1"
"Ceftazidime","22.5 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".5 Ml in 1 Syringe, Plastic (5446-0733-01)","5446-0733-01","2019-1"
"Cefuroxime","10 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".3 Ml in 1 Syringe, Plastic (5446-1003-01)","5446-1003-01","2019-1"
"Cefuroxime; Carbachol","10 mg/1 mL; .013 mg/1 mL","injection, solution","Edge Pharmacy Services LLC(079514018)",".4 Ml in 1 Syringe, Plastic (5446-1138-01)","5446-1138-01","2019-1"
