"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
".alpha.-Lipoic Acid","25 mg/1 mL","injection","Empower Pharmacy(831178947)","30 Ml in 1 Vial, Multi-Dose (72627-2406-1)","72627-2406-1","2019-1"
".gamma.-Aminobutyric Acid","100 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2413-2)","72627-2413-2","2019-1"
".gamma.-Aminobutyric Acid; Magnesium Chloride Tetrahydrate; Taurine; Theanine","50 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL","injection","Empower Pharmacy(831178947)","10 Ml in 1 Vial, Multi-Dose (72627-2409-2)","72627-2409-2","2019-1"
"1-Testosterone","100 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2202-9) > 1 Pellet, Implantable in 1 Ampule (72627-2202-1)","72627-2202-9","2019-1"
"1-Testosterone","25 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2200-8) > 1 Pellet, Implantable in 1 Ampule (72627-2200-1)","72627-2200-8","2019-1"
"1-Testosterone","50 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2201-9) > 1 Pellet, Implantable in 1 Ampule (72627-2201-1)","72627-2201-9","2019-1"
"1-Testosterone","25 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2200-9) > 1 Pellet, Implantable in 1 Ampule (72627-2200-1)","72627-2200-9","2019-1"
"1-Testosterone","100 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2202-8) > 1 Pellet, Implantable in 1 Ampule (72627-2202-1)","72627-2202-8","2019-1"
"1-Testosterone","200 mg","pellet, implantable","Empower Pharmacy(831178947)","10 Ampule in 1 Box (72627-2203-9) > 1 Pellet, Implantable in 1 Ampule (72627-2203-1)","72627-2203-9","2019-1"
"1-Testosterone","200 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2203-8) > 1 Pellet, Implantable in 1 Ampule (72627-2203-1)","72627-2203-8","2019-1"
"1-Testosterone","50 mg","pellet, implantable","Empower Pharmacy(831178947)","20 Ampule in 1 Box (72627-2201-8) > 1 Pellet, Implantable in 1 Ampule (72627-2201-1)","72627-2201-8","2019-1"
