"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-9015-5)","71266-9015-5","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-2004-1)","71266-2004-1","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2004-2)","71266-2004-2","2019-1"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-9015-3)","71266-9015-3","2019-1"
"Ketamine Hydrochloride","50 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","2 Ml in 1 Syringe (71266-9070-1)","71266-9070-1","2019-1"
"Ketamine Hydrochloride","50 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","1 Ml in 1 Syringe (71266-9070-2)","71266-9070-2","2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe, Plastic (71266-9050-2)","71266-9050-2","2019-1"
"Lidocaine Hydrochloride","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe, Plastic (71266-9060-2)","71266-9060-2","2019-1"
"Lidocaine Hydrochloride","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe, Plastic (71266-9060-1)","71266-9060-1","2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)",".5 Ml in 1 Syringe (71266-9050-1)","71266-9050-1","2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe, Plastic (71266-9050-3)","71266-9050-3","2019-1"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-9020-3)","71266-9020-3","2019-1"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-9020-5)","71266-9020-5","2019-1"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2003-2)","71266-2003-2","2019-1"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-2003-1)","71266-2003-1","2019-1"
"Phenylephrine Hydrochloride",".1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe (71266-9010-1)","71266-9010-1","2019-1"
"Rocuronium Bromide","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-9005-5)","71266-9005-5","2019-1"
"Rocuronium Bromide","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2002-1)","71266-2002-1","2019-1"
"Sodium Thiosulfate","250 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","50 Ml in 1 Vial",NA,"2019-1"
"Succinylcholine Chloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-9684-5)","71266-9684-5","2019-1"
"Succinylcholine Chloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe (71266-2001-2)","71266-2001-2","2019-1"
"Succinylcholine Chloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","7 Ml in 1 Syringe (71266-2001-3)","71266-2001-3","2019-1"
"Succinylcholine Chloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2001-1)","71266-2001-1","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","2.5 Ml in 1 Syringe, Plastic (71266-2010-2)","71266-2010-2","2019-2"
"Atropine Sulfate",".4 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","2 Ml in 1 Syringe, Plastic (71266-2010-1)","71266-2010-1","2019-2"
"Glycerin",".6295 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Vial (71266-8610-1)","71266-8610-1","2019-2"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-2004-1)","71266-2004-1","2019-2"
"Glycopyrrolate",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2004-2)","71266-2004-2","2019-2"
"Hydromorphone Hydrochloride",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe (71266-9110-1)","71266-9110-1","2019-2"
"Hydromorphone Hydrochloride",".5 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","1 Ml in 1 Syringe, Plastic (71266-9120-1)","71266-9120-1","2019-2"
"Hydromorphone Hydrochloride",".2 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","1 Ml in 1 Syringe, Plastic (71266-9110-2)","71266-9110-2","2019-2"
"Ketamine Hydrochloride","10 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","2 Ml in 1 Syringe, Plastic (71266-9080-1)","71266-9080-1","2019-2"
"Ketamine Hydrochloride","50 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","2 Ml in 1 Syringe (71266-9070-1)","71266-9070-1","2019-2"
"Ketamine Hydrochloride","10 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe, Plastic (71266-9080-2)","71266-9080-2","2019-2"
"Ketamine Hydrochloride","50 mg/1 mL","solution","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","1 Ml in 1 Syringe (71266-9070-2)","71266-9070-2","2019-2"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe, Plastic (71266-9090-1)","71266-9090-1","2019-2"
"Lidocaine Hydrochloride","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe, Plastic (71266-9060-1)","71266-9060-1","2019-2"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)",".5 Ml in 1 Syringe, Plastic (71266-9090-2)","71266-9090-2","2019-2"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe, Plastic (71266-9050-3)","71266-9050-3","2019-2"
"Lidocaine Hydrochloride","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe, Plastic (71266-9100-1)","71266-9100-1","2019-2"
"Lidocaine Hydrochloride","10 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe, Plastic (71266-9060-2)","71266-9060-2","2019-2"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)",".5 Ml in 1 Syringe (71266-9050-1)","71266-9050-1","2019-2"
"Lidocaine Hydrochloride","20 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe, Plastic (71266-9050-2)","71266-9050-2","2019-2"
"Moxifloxacin Hydrochloride","1.6 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","1 Ml in 1 Syringe, Plastic (71266-8604-1)","71266-8604-1","2019-2"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-9020-5)","71266-9020-5","2019-2"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-2003-1)","71266-2003-1","2019-2"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","5 Ml in 1 Syringe (71266-2003-2)","71266-2003-2","2019-2"
"Neostigmine Methylsulfate","1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","3 Ml in 1 Syringe (71266-9020-3)","71266-9020-3","2019-2"
"Phenylephrine Hydrochloride",".1 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe (71266-9010-1)","71266-9010-1","2019-2"
"Phenylephrine Hydrochloride",".08 mg/1 mL","injection","Fagron Compounding Services LLC dba Fagron Sterile Services LLC(079977249)","10 Ml in 1 Syringe, Plastic (71266-9030-1)","71266-9030-1","2019-2"
