"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Cyclosporine",".1 g/100 mL","emulsion","Imprimis NJOF, LLC(080431967)","5.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride","1 mg/1 mL; 5 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Dexamethasone Sodium Phosphate; Moxifloxacin Hydrochloride; Ketorolac Tromethamine","1 mg/1 mL; .5 mg/1 mL; .4 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Epinephrine Hydrochloride; Lidocaine Hydrochloride",".25 mg/1 mL; 7.5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Hyaluronidase","175 1/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Package",NA,"2019-1"
"Ketamine Hydrochloride","25 mg","gel","Imprimis NJOF, LLC(080431967)","21 Gel in 1 Blister Pack",NA,"2019-1"
"Midazolam; Ketamine Hydrochloride; Ondansetron Hydrochloride","3 mg; 25 mg; 2 mg","gel","Imprimis NJOF, LLC(080431967)","21 Gel in 1 Blister Pack",NA,"2019-1"
"Moxifloxacin Hydrochloride","5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Moxifloxacin Hydrochloride","1 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Moxifloxacin Hydrochloride; Triamcinolone Acetonide","1 mg/1 mL; 15 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)",".6 Ml in 1 Vial, Glass",NA,"2019-1"
"Phenylephrine Hydrochloride; Lidocaine Hydrochloride","15 mg/1 mL; 10 mg/1 mL","injection, solution","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Phenylephrine Hydrochloride; Tropicamide","2.5 mg/1 mL; 1 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Povidone","5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","3 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate","10 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Bromfenac; Gatifloxacin","1 mg/1 mL; .8 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Bromfenac; Gatifloxacin","1 mg/1 mL; .8 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Gatifloxacin","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Moxifloxacin Hydrochloride","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Moxifloxacin Hydrochloride; Nepafenac","1 mg/1 mL; .5 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Moxifloxacin Hydrochloride; Nepafenac","1 mg/1 mL; .5 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Acetate; Nepafenac","1 mg/1 mL; .1 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Sodium Phosphate; Bromfenac","1 mg/1 mL; .075 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Sodium Phosphate; Bromfenac; Gatifloxacin","1 mg/1 mL; .75 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","7 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Sodium Phosphate; Bromfenac; Gatifloxacin","1 mg/1 mL; .75 mg/1 mL; 5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Prednisolone Sodium Phosphate; Gatifloxacin","1 mg/1 mL; .5 mg/1 mL","suspension","Imprimis NJOF, LLC(080431967)","1 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Tropicamide; Cyclopentolate; Phenylephrine Hydrochloride","1 mg/1 mL; 1 mg/1 mL; 2.5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Tropicamide; Proparacaine Hydrochloride; Phenylephrine Hydrochloride; Ketorolac Tromethamine","1 mg/1 mL; .5 mg/1 mL; 2.5 mg/1 mL; .5 mg/1 mL","solution","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Bromfenac Sodium; Moxifloxacin Hydrochloride",".75 mg/1 mL; 5 mg/1 mL","solution/ drops","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-2"
"Bromfenac Sodium; Prednisolone Sodium Phosphate",".75 mg/1 mL; 10 mg/1 mL","solution/ drops","Imprimis NJOF, LLC(080431967)","5 Ml in 1 Bottle, Plastic",NA,"2019-2"
"Bromfenac Sodium; Prednisolone Sodium Phosphate; Moxifloxacin Hydrochloride",".75 mg/1 mL; 10 mg/1 mL; 5 mg/1 mL","solution/ drops","Imprimis NJOF, LLC(080431967)","3.5 Ml in 1 Bottle, Plastic",NA,"2019-2"
