"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Betamethasone Sodium Phosphate","6 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1015-2)","71266-1015-2","2019-1"
"Betamethasone Sodium Phosphate","6 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Vial (71266-1015-1)","71266-1015-1","2019-1"
"Bevacizumab","2.5 mg/.1 mL","injection","JCB Laboratories LLC(177167470)",".15 Ml in 1 Syringe (71266-8005-1)","71266-8005-1","2019-1"
"Bevacizumab","2.5 mg/.1 mL","injection","JCB Laboratories LLC(177167470)",".11 Ml in 1 Syringe (71266-8005-2)","71266-8005-2","2019-1"
"Cefuroxime Sodium","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)",".3 Ml in 1 Syringe (71266-8050-1)","71266-8050-1","2019-1"
"Cefuroxime Sodium","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8050-2)","71266-8050-2","2019-1"
"Dexamethasone Sodium Phosphate","4 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1050-2)","71266-1050-2","2019-1"
"Dexamethasone Sodium Phosphate","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)","2 Ml in 1 Vial (71266-1040-2)","71266-1040-2","2019-1"
"Edetate Disodium","30 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Vial (71266-8095-5)","71266-8095-5","2019-1"
"Ephedrine Sulfate","10 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Syringe (71266-9025-5)","71266-9025-5","2019-1"
"Epinephrine","1 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8110-1)","71266-8110-1","2019-1"
"Epinephrine; Lidocaine Hydrochloride; Tetracaine Hydrochloride",".5 mg/1 mL; 40 mg/1 mL; 5 mg/1 mL","solution","JCB Laboratories LLC(177167470)","3 Ml in 1 Syringe (71266-6276-3)","71266-6276-3","2019-1"
"Iohexol","300 mg/1 mL","injection","JCB Laboratories LLC(177167470)","3 Ml in 1 Vial (71266-6478-3)","71266-6478-3","2019-1"
"Iohexol","240 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Vial (71266-6477-5)","71266-6477-5","2019-1"
"Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8231-1)","71266-8231-1","2019-1"
"Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8230-5)","71266-8230-5","2019-1"
"Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 100 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)","5 Ml in 1 Bottle, Dropper (71266-8231-5)","71266-8231-5","2019-1"
"Ketorolac Tromethamine; Phenylephrine Hydrochloride; Tropicamide; Cyclopentolate Hydrochloride","5 mg/1 mL; 25 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL","solution","JCB Laboratories LLC(177167470)",".5 Ml in 1 Syringe (71266-8230-1)","71266-8230-1","2019-1"
"Lidocaine Hydrochloride; Bupivacaine Hydrochloride","20 mg/1 mL; 3.75 mg/1 mL","injection","JCB Laboratories LLC(177167470)","5 Ml in 1 Syringe (71266-8021-5)","71266-8021-5","2019-1"
"Methylprednisolone Acetate","80 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Vial (71266-1065-1)","71266-1065-1","2019-1"
"Mitomycin",".2 mg/1 mL","injection","JCB Laboratories LLC(177167470)","1 Ml in 1 Syringe (71266-8475-1)","71266-8475-1","2019-1"
