"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
".alpha.-Lipoic Acid","25 mg/1 mL","injection","KRS Global Biotechnology, Inc.(014763459)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"7-Keto-Dehydroepiandrosterone","50 mg","capsule","KRS Global Biotechnology, Inc.(014763459)","30 Capsule in 1 Capsule",NA,"2019-1"
"7-Keto-Dehydroepiandrosterone","25 mg","capsule","KRS Global Biotechnology, Inc.(014763459)","30 Capsule in 1 Capsule",NA,"2019-1"
"Adenosine","3 mg/1 mL","solution","KRS GLOBAL BIOTECHNOLOGY, INC.(014763459)","20 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Alprostadil",".08 mg/1 mL","injection, solution","KRS GLOBAL BIOTECHNOLOGY, INC.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate","1.5 mg/10 mL; 1.5 mg/10 mL; 150 mg/10 mL; 15 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate",".75 mg/10 mL; 1.5 mg/10 mL; 150 mg/10 mL; 15 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Atropine Sulfate; Papaverine Hydrochloride; Phentolamine Mesylate",".3 mg/10 mL; .375 mg/10 mL; 200 mg/10 mL; 30 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Papaverine Hydrochloride; Phentolamine Mesylate",".06 mg/1 mL; 30 mg/1 mL; 3 mg/1 mL","injection, solution","KRS Global Biotechnology, Inc.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride",".5 mg/10 mL; 7.5 mg/10 mL; 150 mg/10 mL","injection, powder, lyophilized, for solution","KRS Global Biotechnology, Inc.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride",".01 mg/1 mL; 1 mg/1 mL; 30 mg/1 mL","injection, solution","KRS Global Biotechnology, Inc.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride",".025 mg/1 mL; 2 mg/1 mL; 30 mg/1 mL","injection, solution","KRS Global Biotechnology, Inc.(014763459)","5 Ml in 1 Vial, Glass",NA,"2019-1"
"Anastrozole",".5 mg","capsule","KRS Global Biotechnology, Inc.(014763459)","100 Capsule in 1 Bottle",NA,"2019-1"
"Arginine Hydrochloride; Carnitine; Methionine","100 mg/1 mL; 250 mg/1 mL; 25 mg/1 mL","injection, solution","KRS Global Biotechnology(014763459)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"Ascorbic Acid","500 mg/1 mL","injection","KRS Global Biotechnology, Inc.(014763459)","50 Ml in 1 Vial, Glass",NA,"2019-1"
"Asparaginase","10000 [iU]/10 mL","injection, powder, lyophilized, for solution","KRS GLOBAL BIOTECHNOLOGY, INC.(014763459)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Atropine Sulfate",".4 mg","tablet","KRS Global Biotechnology, Inc.(014763459)","100 Tablet in 1 Bottle",NA,"2019-1"
"Benzocaine; Lidocaine; Tetracaine","200 mg/1 g; 60 mg/1 g; 40 mg/1 g","cream","KRS Global Biotechnology, Inc.(014763459)","1000 G in 1 Jar",NA,"2019-1"
