"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-153-85)","68985-153-85","2019-1"
"Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"Azithromycin Anhydrous","2 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-112-95)","68985-112-95","2019-1"
"Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag (68985-311-91)","68985-311-91","2019-1"
"Diltiazem Hydrochloride","1 mg/1 mL","solution","LEESAR INC(025104311)","125 Ml in 1 Bag (68985-615-91)","68985-615-91","2019-1"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag (68985-540-91)","68985-540-91","2019-1"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag",NA,"2019-1"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-540-95)","68985-540-95","2019-1"
"Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-234-91)","68985-234-91","2019-1"
"Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe",NA,"2019-1"
"Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe (68985-486-92)","68985-486-92","2019-1"
"Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag (68985-064-91)","68985-064-91","2019-1"
"Magnesium Sulfate Heptahydrate","10 meq/1 mL","solution","LEESAR INC(025104311)","100 Ml in 1 Bag",NA,"2019-1"
"Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-1"
"Oxytocin","10 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-120-91)","68985-120-91","2019-1"
"Oxytocin","30 U/500 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-012-93)","68985-012-93","2019-1"
"Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"Phenylephrine Hydrochloride","40 mg/250 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-004-94)","68985-004-94","2019-1"
"Ropivacaine Hydrochloride, (r)-","5 mg/1 mL","solution","LEESAR INC(025104311)","10 Ml in 1 Syringe (68985-198-91)","68985-198-91","2019-1"
"Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe",NA,"2019-1"
"Succinylcholine Chloride","20 mg/1 mL","solution","LEESAR INC(025104311)","6 Ml in 1 Syringe (68985-629-91)","68985-629-91","2019-1"
"Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-324-93)","68985-324-93","2019-1"
"Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"Vancomycin Hydrochloride","5 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-304-92)","68985-304-92","2019-1"
"Vancomycin Hydrochloride","4 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-314-91)","68985-314-91","2019-1"
"Vancomycin Hydrochloride","6 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-153-85)","68985-153-85","2019-2"
"Amiodarone Hydrochloride","1.8 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"Azithromycin Anhydrous","2 mg/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-112-95)","68985-112-95","2019-2"
"Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag (68985-311-91)","68985-311-91","2019-2"
"Calcium Gluconate","20 mg/1 mL","solution","LEESAR INC(025104311)","50 Ml in 1 Bag",NA,"2019-2"
"Diltiazem Hydrochloride","1 mg/1 mL","solution","LEESAR INC(025104311)","125 Ml in 1 Bag (68985-615-91)","68985-615-91","2019-2"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag (68985-540-91)","68985-540-91","2019-2"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag",NA,"2019-2"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","500 Ml in 1 Bag (68985-540-95)","68985-540-95","2019-2"
"Heparin Sodium","10 U/1 mL","solution","LEESAR INC(025104311)","1000 Ml in 1 Bag",NA,"2019-2"
"Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag (68985-234-91)","68985-234-91","2019-2"
"Hydromorphone Hydrochloride",".2 mg/1 mL","solution","LEESAR INC(025104311)","250 Ml in 1 Bag",NA,"2019-2"
"Lidocaine Hydrochloride Anhydrous; Lidocaine Hydrochloride","20 mg/1 mL; 20 mg/1 mL","solution","LEESAR INC(025104311)","2 Ml in 1 Syringe (68985-486-92)","68985-486-92","2019-2"
