"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Alprostadil","20 ug/1 mL","injection","Nubratori, Inc(028707055)","5 Ml in 1 Vial (71300-6454-2)","71300-6454-2","2019-1"
"Dexamethasone Sodium Phosphate","4 mg/1 mL","solution","Nubratori, Inc(028707055)","5 Ml in 1 Bottle (71300-6564-1)","71300-6564-1","2019-1"
"Dexamethasone Sodium Phosphate; Lidocaine Hydrochloride","3.33 mg/1 mL; 6.67 mg/1 mL","injection, solution","Nubratori, Inc(028707055)","1.5 Ml in 1 Box (71300-6555-1)","71300-6555-1","2019-1"
"Diclofenac Sodium","16 mg/1 g","gel","Nubratori, Inc(028707055)","24 Packet in 1 Box (71300-6573-1) > 2.5 G in 1 Packet","71300-6573-1","2019-1"
"Gabapentin","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6440-1) > 1 G in 1 Packet","71300-6440-1","2019-1"
"Ketoprofen","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6442-1) > 1 G in 1 Packet","71300-6442-1","2019-1"
"Alprostadil","20 ug/1 mL","injection","Nubratori, Inc(028707055)","5 Ml in 1 Vial (71300-6454-2)","71300-6454-2","2019-2"
"Dexamethasone Sodium Phosphate","4 mg/1 mL","solution","Nubratori, Inc(028707055)","5 Ml in 1 Bottle (71300-6564-1)","71300-6564-1","2019-2"
"Dexamethasone Sodium Phosphate; Lidocaine Hydrochloride","3.33 mg/1 mL; 6.67 mg/1 mL","injection, solution","Nubratori, Inc(028707055)","1.5 Ml in 1 Box (71300-6555-1)","71300-6555-1","2019-2"
"Diclofenac Sodium","16 mg/1 g","gel","Nubratori, Inc(028707055)","24 Packet in 1 Box (71300-6573-1) > 2.5 G in 1 Packet","71300-6573-1","2019-2"
"Gabapentin","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6440-1) > 1 G in 1 Packet","71300-6440-1","2019-2"
"Ketoprofen","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6442-1) > 1 G in 1 Packet","71300-6442-1","2019-2"
"Dexamethasone Sodium Phosphate","4 mg/1 mL","solution","Nubratori, Inc(028707055)","5 Ml in 1 Bottle (71300-6564-1)","71300-6564-1","2020-1"
"Dexamethasone Sodium Phosphate; Lidocaine Hydrochloride","3.33 mg/1 mL; 6.67 mg/1 mL","injection, solution","Nubratori, Inc(028707055)","1.5 Ml in 1 Box (71300-6555-1)","71300-6555-1","2020-1"
"Diclofenac Sodium","16 mg/1 g","gel","Nubratori, Inc(028707055)","24 Packet in 1 Box (71300-6573-1) > 2.5 G in 1 Packet","71300-6573-1","2020-1"
"Gabapentin","100 mg/1 g","cream","Nubratori, Inc(028707055)","1 Container in 1 Box (71300-6440-2) > 30 G in 1 Container","71300-6440-2","2020-1"
"Ketoprofen","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6442-1) > 1 G in 1 Packet","71300-6442-1","2020-1"
"Dexamethasone Sodium Phosphate; Lidocaine Hydrochloride","3.33 mg/1 mL; 6.67 mg/1 mL","injection, solution","Nubratori, Inc(028707055)","1.5 Ml in 1 Box (71300-6555-1)","71300-6555-1","2020-2"
"Gabapentin","100 mg/1 g","cream","Nubratori, Inc(028707055)","1 Container in 1 Box (71300-6440-2) > 30 G in 1 Container","71300-6440-2","2020-2"
"Ketoprofen","100 mg/1 g","cream","Nubratori, Inc(028707055)","1 Container in 1 Box (71300-6442-2) > 30 G in 1 Container","71300-6442-2","2020-2"
"Ketoprofen","100 mg/1 g","cream","Nubratori, Inc(028707055)","30 Packet in 1 Box (71300-6442-1) > 1 G in 1 Packet","71300-6442-1","2020-2"
