"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Acetaminophen","100 mg/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Aluminum Hydroxide; Magnesium Hydroxide; Lidocaine Hydrochloride; Diphenhydramine Hydrochloride; Dimethicone","13.36 mg/1 mL; 13.36 mg/1 mL; 6.68 mg/1 mL; .835 mg/1 mL; 1.336 mg/1 mL","suspension","QuVa Pharma, Inc.(080064259)","5 Ml in 1 Syringe",NA,"2019-1"
"Amiodarone Hydrochloride","450 mg/250 mL","injection","QuVa Pharma, Inc.(036662848)","250 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","5400 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","5.4 g/3000 mL","injection","QuVa Pharma, Inc.(036662848)","3000 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","900 mg/500 mL","injection","QuVa Pharma, Inc.(036662848)","500 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","450 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","900 mg/500 mL","injection","QuVa Pharma(079937015)","500 Ml in 1 Bag",NA,"2019-1"
"Amiodarone Hydrochloride","150 mg/100 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"Atropine Sulfate","2 mg/5 mL","injection","QuVa Pharma(079937015)","5 Ml in 1 Syringe",NA,"2019-1"
"Atropine Sulfate",".8 mg/2 mL","injection","QuVa Pharma(079937015)","2 Ml in 1 Syringe",NA,"2019-1"
"Atropine Sulfate","1 mg/2.5 mL","injection","QuVa Pharma(079937015)","2.5 Ml in 1 Syringe",NA,"2019-1"
"Bumetanide","10 mg/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride","3750 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride","1.25 mg/1 mL","injection","QuVa Pharma(079937015)","150 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride","312.5 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride; Fentanyl Citrate","3000 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride; Fentanyl Citrate","5001 mg/3000 mL; 120 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride; Fentanyl Citrate","1875 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Bupivacaine Hydrochloride; Fentanyl Citrate","3750 mg/3000 mL; 60 mg/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Calcium Chloride","100 mg/1 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Calcium Gluconate","2 g/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","2 g/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","60 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","1 g/50 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Calcium Gluconate","1 g/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Bag",NA,"2019-1"
"Cefazolin Sodium","2 g/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Cefazolin Sodium","1 g/100 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Cefazolin Sodium","3 g/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Cefazolin Sodium","2 g/100 mL","injection","QuVa Pharma(079937015)","20 Ml in 1 Syringe",NA,"2019-1"
"Cisatracurium Besylate","10 mg/5 mL","injection","QuVa Pharma(079937015)","5 Ml in 1 Syringe",NA,"2019-1"
"Diltiazem Hydrochloride","125 mg/125 mL","injection","QuVa Pharma(079937015)","125 Ml in 1 Bag",NA,"2019-1"
"Diltiazem Hydrochloride","3 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Dipyridamole","50 mg/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Syringe",NA,"2019-1"
"Dipyridamole","60 mg/60 mL","injection","QuVa Pharma(079937015)","60 Ml in 1 Syringe",NA,"2019-1"
"Droperidol","625 ug/1 mL","injection","QuVa Pharma(079937015)","1 Ml in 1 Syringe",NA,"2019-1"
"Droperidol","7.5 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Droperidol",".625 g/1 mL","injection","QuVa Pharma, Inc.(036662848)","1 Ml in 1 Syringe",NA,"2019-1"
"Droperidol","1875 mg/3000 mL","injection","QuVa Pharma, Inc.(036662848)","3000 Ml in 1 Bag",NA,"2019-1"
"Droperidol","2500 ug/1 mL","injection","QuVa Pharma(079937015)","1 Ml in 1 Syringe",NA,"2019-1"
"Ephedrine Sulfate","15 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection","QuVa Pharma, Inc.(080064259)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Ephedrine Sulfate","30 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection","QuVa Pharma, Inc.(080064259)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Ephedrine Sulfate","25 mg/5 mL","injection","QuVa Pharma(079937015)","5 Ml in 1 Syringe",NA,"2019-1"
"Ephedrine Sulfate","50 mg/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Ephedrine Sulfate","50 mg/5 mL","injection","QuVa Pharma(079937015)","5 Ml in 1 Syringe",NA,"2019-1"
"Epinephrine","2 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"Epinephrine","100 ug/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Epinephrine","1 mg/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe",NA,"2019-1"
"Epinephrine","8 mg/250 mL","injection","QuVa Pharma(079937015)","250 Ml in 1 Bag",NA,"2019-1"
"Epinephrine Bitartrate","300 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Epinephrine Bitartrate","30 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Epinephrine Bitartrate","1.5 g/3000 mL","injection","QuVa Pharma, Inc.(080064259)","3000 Ml in 1 Bag",NA,"2019-1"
"Esmolol Hydrochloride","100 mg/10 mL","injection","QuVa Pharma(079937015)","10 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Fentanyl Citrate","2.5 mg/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Bag",NA,"2019-1"
"Fentanyl Citrate","300 ug/30 mL","injection","QuVa Pharma(079937015)","30 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","1 mg/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Cartridge",NA,"2019-1"
"Fentanyl Citrate","10 ug/1 mL","injection","QuVa Pharma(079937015)","1 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","1000 ug/20 mL","injection","QuVa Pharma(079937015)","20 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","600 ug/30 mL","injection","QuVa Pharma(079937015)","30 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","1500 ug/30 mL","injection","QuVa Pharma(079937015)","30 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","500 ug/50 mL","injection","QuVa Pharma(079937015)","50 Ml in 1 Syringe",NA,"2019-1"
"Fentanyl Citrate","1 mg/100 mL","injection","QuVa Pharma(079937015)","100 Ml in 1 Bag",NA,"2019-1"
"Fentanyl Citrate","2750 ug/55 mL","injection","QuVa Pharma(079937015)","55 Ml in 1 Syringe",NA,"2019-1"
