"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Aflibercept","2 mg/.05 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > .05 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Aminobenzoic Acid","1 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","10 Ml in 1 Vial, Glass",NA,"2019-1"
"Apomorphine Hydrochloride","10 mg","capsule","RAM Pharma, Inc.(079866136)","1 Capsule in 1 Bottle, Plastic > 1 Capsule in 1 Capsule",NA,"2019-1"
"Benzocaine; Lidocaine Hydrochloride; Tetracaine Hydrochloride",".12 g/1 g; .04 g/1 g; .08 g/1 g","cream","RAM Pharma, Inc.(079866136)","240 G in 1 Jar",NA,"2019-1"
"Benzocaine; Lidocaine Hydrochloride; Tetracaine Hydrochloride",".2 g/1 g; .06 g/1 g; .04 g/1 g","cream","RAM Pharma, Inc.(079866136)","240 G in 1 Jar",NA,"2019-1"
"Benzocaine; Lidocaine; Tetracaine",".2 g/1 g; .06 g/1 g; .04 g/1 g","gel","RAM Pharma, Inc.(079866136)","240 G in 1 Jar",NA,"2019-1"
"Benzocaine; Lidocaine; Tetracaine",".2 g/1 g; .06 g/1 g; .04 g/1 g","gel","RAM Pharma, Inc.(079866136)","30 G in 1 Jar",NA,"2019-1"
"Benzocaine; Lidocaine; Tetracaine",".2 g/1 g; .06 g/1 g; .04 g/1 g","gel","RAM Pharma, Inc.(079866136)","100 G in 1 Jar",NA,"2019-1"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","3 mg/1 mL; 3 mg/1 mL","injection, suspension","RAM Pharma, Inc.(079866136)","2 Ml in 1 Vial, Glass",NA,"2019-1"
"Bevacizumab","1.25 mg/.05 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > .05 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Cantharidin","7 mg/1 mL","solution","RAM Pharma, Inc.(079866136)","7.5 Ml in 1 Bottle",NA,"2019-1"
"Ceftazidime","2250 ug/.1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > .1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Chlorhexidine Gluconate","2.4 mg/1 mL","solution","RAM Pharma, Inc.(079866136)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Dexamethasone Sodium Phosphate","200 ug/.05 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > .05 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Dexamethasone Sodium Phosphate","400 ug/.1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > .1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Dexamethasone Sodium Phosphate","24 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > 1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Dexamethasone Sodium Phosphate","400 ng/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > 1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Dexpanthenol","250 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"Diphenhydramine Hydrochloride","25 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > 1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Doxycycline Hyclate","20 ug/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Syringe, Plastic in 1 Bag > 1 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Dyclonine Hydrochloride","10 mg/1 mL","solution","RAM Pharma, Inc.(079866136)","100 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Epinephrine","10 ug/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","5 Ml in 1 Syringe, Plastic",NA,"2019-1"
"Labetalol Hydrochloride","5 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","800 Ml in 1 Bag",NA,"2019-1"
"Lidocaine Hydrochloride","10 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1000 Ml in 1 Bag",NA,"2019-1"
"Lidocaine Hydrochloride","20 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","30 Ml in 1 Vial, Glass",NA,"2019-1"
"Lidocaine Hydrochloride; Epinephrine","7.5 mg/1 mL; .25 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Lidocaine Hydrochloride; Phenylephrine Hydrochloride","10 mg/1 mL; 15 mg/1 mL","injection, solution","RAM Pharma, Inc.(079866136)","1 Ml in 1 Vial, Glass",NA,"2019-1"
"Lidocaine Hydrochloride; Phenylephrine Hydrochloride","40 mg/1 mL; 40 mg/1 mL","solution","RAM Pharma, Inc.(079866136)","480 Ml in 1 Bottle, Plastic",NA,"2019-1"
"Lidocaine Hydrochloride; Prilocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride","100 mg/1 g; 100 mg/1 g; 40 mg/1 g; 20 mg/1 g","gel","RAM Pharma, Inc.(079866136)","225 G in 1 Jar",NA,"2019-1"
"Lidocaine Hydrochloride; Prilocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride","100 mg/1 g; 100 mg/1 g; 40 mg/1 g; 20 mg/1 g","gel","RAM Pharma, Inc.(079866136)","100 G in 1 Jar",NA,"2019-1"
"Lidocaine Hydrochloride; Prilocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride","100 mg/1 g; 100 mg/1 g; 40 mg/1 g; 20 mg/1 g","gel","RAM Pharma, Inc.(079866136)","50 G in 1 Jar",NA,"2019-1"
"Lidocaine Hydrochloride; Tetracaine Hydrochloride",".23 g/1 g; .07 g/1 g","cream","RAM Pharma, Inc.(079866136)","120 G in 1 Jar",NA,"2019-1"
"Lidocaine Hydrochloride; Tetracaine Hydrochloride; Epinephrine Bitartrate",".04 g/1 g; 5 mg/1 g; .5 mg/1 g","gel","RAM Pharma, Inc.(079866136)","3 G in 1 Syringe, Plastic",NA,"2019-1"
"Lidocaine Hydrochloride; Tetracaine Hydrochloride; Phenylephrine Hydrochloride","200 mg/1 g; 40 mg/1 g; 20 mg/1 g","gel","RAM Pharma, Inc.(079866136)","40 G in 1 Jar",NA,"2019-1"
