"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Bevacizumab","1.25 mg/1.25 mg","solution","RC Outsourcing, LLC(079935629)","1.25 Bag in 1 Syringe > 1.25 Syringe in 1 Bag > 1.25 Mg in 1 Syringe",NA,"2019-1"
"Cefazolin","50 mg/50 mg","solution","RC Outsourcing, LLC(079935629)","50 Bag in 1 Bottle, Plastic > 50 Bottle, Plastic in 1 Bag > 50 Mg in 1 Bottle, Plastic",NA,"2019-1"
"Ceftazidime","2.25 mg/2.25 mg","solution","RC Outsourcing, LLC(079935629)","2.25 Bag in 1 Syringe > 2.25 Syringe in 1 Bag > 2.25 Mg in 1 Syringe",NA,"2019-1"
"Cefuroxime","1 mg/1 mg","solution","RC Outsourcing, LLC(079935629)","1 Bag in 1 Syringe > 1 Syringe in 1 Bag > 1 Mg in 1 Syringe",NA,"2019-1"
"Cefuroxime","1 mg/1 mg","solution","RC Outsourcing, LLC(079935629)","1 Bag in 1 Vial, Glass > 1 Vial, Glass in 1 Bag > 1 Mg in 1 Vial, Glass",NA,"2019-1"
"Cyclopentolate",".02 mg/.02 mg","solution","RC Outsourcing, LLC(079935629)",".02 Bottle, Dropper in 1 Bottle, Dropper > .02 Bottle, Dropper in 1 Bottle, Dropper > .02 Mg in 1 Bottle, Dropper",NA,"2019-1"
"Dexamethasone",".4 mg/.4 mg","solution","RC Outsourcing, LLC(079935629)",".4 Bag in 1 Syringe > .4 Syringe in 1 Bag > .4 Mg in 1 Syringe",NA,"2019-1"
"Lidocaine",".04 mg/.04 mg","solution","RC Outsourcing, LLC(079935629)",".04 Bottle, Dropper in 1 Bottle, Dropper > .04 Bottle, Dropper in 1 Bottle, Dropper > .04 Mg in 1 Bottle, Dropper",NA,"2019-1"
"Lidocaine",".01 mg/.01 mg","solution","RC Outsourcing, LLC(079935629)",".01 Vial, Single-Dose in 1 Vial, Single-Dose > .01 Vial, Single-Dose in 1 Vial, Single-Dose > .01 Mg in 1 Vial, Single-Dose",NA,"2019-1"
"Moxifloxacin","1.5 mg/1.5 mg","solution","RC Outsourcing, LLC(079935629)","1.5 Syringe in 1 Syringe > 1.5 Syringe in 1 Syringe > 1.5 Mg in 1 Syringe",NA,"2019-1"
