"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","32.5 Ml in 1 Syringe (70004-001-28)","70004-001-28","2019-1"
"Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","65 Ml in 1 Syringe (70004-001-56)","70004-001-56","2019-1"
"Acetaminophen","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","50 Ml in 1 Syringe (70004-001-22)","70004-001-22","2019-1"
"Adenosine","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","90 Ml in 1 Bag (70004-012-57)","70004-012-57","2019-1"
"Adenosine",".024 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-010-12)","70004-010-12","2019-1"
"Adenosine",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","6 Ml in 1 Syringe (70004-011-29)","70004-011-29","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Ml in 1 Syringe (70004-040-05)","70004-040-05","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","3 Ml in 1 Syringe (70004-040-25)","70004-040-25","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","2 Ml in 1 Syringe (70004-040-06)","70004-040-06","2019-1"
"Atropine Sulfate",".4 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","2.5 Ml in 1 Syringe (70004-040-07)","70004-040-07","2019-1"
"Calcium Gluconate","2 g","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Injection, Solution in 1 Bag (70004-510-33)","70004-510-33","2019-1"
"Calcium Gluconate","1 g","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Injection, Solution in 1 Bag (70004-511-30)","70004-511-30","2019-1"
"Diltiazem Hydrochloride","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","125 Ml in 1 Bag (70004-540-35)","70004-540-35","2019-1"
"Diltiazem Hydrochloride","1 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","125 Ml in 1 Bag (70004-541-35)","70004-541-35","2019-1"
"Ephedrine Sulfate","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-605-09)","70004-605-09","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-604-09)","70004-604-09","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-604-12)","70004-604-12","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-599-12)","70004-599-12","2019-1"
"Ephedrine Sulfate","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-601-09)","70004-601-09","2019-1"
"Ephedrine Sulfate","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Ml in 1 Syringe (70004-601-05)","70004-601-05","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-600-12)","70004-600-12","2019-1"
"Ephedrine Sulfate","5 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-600-09)","70004-600-09","2019-1"
"Esmolol Hydrochloride","10 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","10 Ml in 1 Syringe (70004-620-12)","70004-620-12","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","2 Ml in 1 Syringe (70004-200-06)","70004-200-06","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Syringe (70004-200-16)","70004-200-16","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","50 Ml in 1 Bag (70004-222-30)","70004-222-30","2019-1"
"Fentanyl Citrate",".01 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","1 Ml in 1 Syringe (70004-229-05)","70004-229-05","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","5 Ml in 1 Syringe (70004-222-09)","70004-222-09","2019-1"
"Fentanyl Citrate",".01 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","100 Ml in 1 Bag (70004-202-32)","70004-202-32","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Vial, Single-Dose (70004-222-60)","70004-222-60","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Vial, Single-Dose (70004-200-61)","70004-200-61","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","25 Ml in 1 Syringe (70004-200-17)","70004-200-17","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Syringe (70004-200-21)","70004-200-21","2019-1"
"Fentanyl Citrate",".01 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)",".8 Ml in 1 Syringe (70004-202-28)","70004-202-28","2019-1"
"Fentanyl Citrate",".01 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Syringe (70004-202-16)","70004-202-16","2019-1"
"Fentanyl Citrate",".02 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","250 Ml in 1 Bag (70004-203-41)","70004-203-41","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)",".5 Ml in 1 Syringe (70004-222-04)","70004-222-04","2019-1"
"Fentanyl Citrate",".01 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","30 Ml in 1 Vial, Single-Dose (70004-202-60)","70004-202-60","2019-1"
"Fentanyl Citrate",".05 mg/1 mL","injection, solution","SCA Pharmaceuticals, LLC(037559301)","55 Ml in 1 Syringe (70004-200-23)","70004-200-23","2019-1"
