"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-651-01)","70324-651-01","2019-1"
"Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-676-01)","70324-676-01","2019-1"
"Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-926-01)","70324-926-01","2019-1"
"Phenylephrine Hydrochloride","20 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-701-01)","70324-701-01","2019-1"
"Phenylephrine Hydrochloride","50 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-901-01)","70324-901-01","2019-1"
"Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bottle (70324-326-01)","70324-326-01","2019-1"
"Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bag (70324-326-03)","70324-326-03","2019-1"
"Sodium Bicarbonate","4.2 g/50 mL","injection, solution","SterRx(049167014)","50 Ml in 1 Vial, Single-Dose (70324-301-07)","70324-301-07","2019-1"
"Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-976-01)","70324-976-01","2019-2"
"Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-951-01)","70324-951-01","2019-2"
"Epinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-077-01)","70324-077-01","2019-2"
"Epinephrine","2 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-027-01)","70324-027-01","2019-2"
"Epinephrine","5 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-052-01)","70324-052-01","2019-2"
"Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-926-01)","70324-926-01","2019-2"
"Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-002-01)","70324-002-01","2019-2"
"Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-676-01)","70324-676-01","2019-2"
"Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-476-01)","70324-476-01","2019-2"
"Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-651-01)","70324-651-01","2019-2"
"Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-451-01)","70324-451-01","2019-2"
"Phenylephrine Hydrochloride","50 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-901-01)","70324-901-01","2019-2"
"Phenylephrine Hydrochloride","20 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-701-01)","70324-701-01","2019-2"
"Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bag (70324-326-03)","70324-326-03","2019-2"
"Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-976-01)","70324-976-01","2020-1"
"Diltiazem Hydrochloride","125 mg/125 mL","injection, solution","SterRx(049167014)","125 Ml in 1 Bag (70324-951-01)","70324-951-01","2020-1"
"Epinephrine","2 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-027-01)","70324-027-01","2020-1"
"Epinephrine","5 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-152-01)","70324-152-01","2020-1"
"Epinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-077-01)","70324-077-01","2020-1"
"Epinephrine","5 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-052-01)","70324-052-01","2020-1"
"Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-676-01)","70324-676-01","2020-1"
"Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-451-01)","70324-451-01","2020-1"
"Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-002-01)","70324-002-01","2020-1"
"Norepinephrine","16 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-926-01)","70324-926-01","2020-1"
"Norepinephrine","4 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-651-01)","70324-651-01","2020-1"
"Norepinephrine","8 mg/250 mL","injection, solution","SterRx(049167014)","250 Ml in 1 Bag (70324-476-01)","70324-476-01","2020-1"
"Sodium Bicarbonate","1.26 g/100 mL","injection, solution","SterRx(049167014)","1000 Ml in 1 Bag (70324-326-03)","70324-326-03","2020-1"
"Succinylcholine","10 mg/1 mL","injection, solution","SterRx(049167014)","10 Ml in 1 Syringe (70324-826-01)","70324-826-01","2020-1"
