"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2019-1"
"Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2019-1"
"Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2019-1"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2019-1"
"Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Methylcobalamin; Niacinamide Hydrochloride","20 mg/1 mL; .5 mg/1 mL; 50 ug/1 mL; 20 mg/1 mL; .5 mg/1 mL; 20 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-055-23)","69389-055-23","2019-1"
"Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","50 Ml in 1 Vial, Single-Use (69389-064-27)","69389-064-27","2019-1"
"Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-064-22)","69389-064-22","2019-1"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2019-2"
"Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2019-2"
"Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2019-2"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2019-2"
"Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Chromic Chloride; Thiamine Hydrochloride; Methylcobalamin; Niacinamide Hydrochloride","20 mg/1 mL; .5 mg/1 mL; 50 ug/1 mL; 20 mg/1 mL; .5 mg/1 mL; 20 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-055-23)","69389-055-23","2019-2"
"Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","50 Ml in 1 Vial, Single-Use (69389-064-27)","69389-064-27","2019-2"
"Sarracenia Purpurea","5 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-064-22)","69389-064-22","2019-2"
"Betamethasone Acetate; Betamethasone Sodium Phosphate","2.5 mg/1 mL; 4 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-145-22)","69389-145-22","2020-1"
"Medroxyprogesterone Acetate","150 mg/1 mL","injection, suspension","US Specialty Formulations LLC(079181064)","1 Ml in 1 Vial, Single-Dose (69389-044-26)","69389-044-26","2020-1"
"Methylcobalamin","1 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","10 Ml in 1 Vial, Multi-Dose (69389-153-22)","69389-153-22","2020-1"
"Pyridoxine Hydrochloride","100 mg/1 mL","injection, solution","US Specialty Formulations LLC(079181064)","30 Ml in 1 Vial, Multi-Dose (69389-051-23)","69389-051-23","2020-1"
