"Active Ingredients","Active Ingredients Info","Dosage","Estab. Name","Package Description","NDC Package Code","Report Year"
"Alprostadil; Phentolamine Mesylate; Papaverine Hydrochloride","60 ug/1 mL; 4 mg/1 mL; 30 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-207-05)","70713-207-05","2019-1"
"Estradiol","10 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-056-01)","70713-056-01","2019-1"
"Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-013-01)","70713-013-01","2019-1"
"Estradiol","22 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-146-01)","70713-146-01","2019-1"
"Estradiol","18 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-144-01)","70713-144-01","2019-1"
"Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-049-01)","70713-049-01","2019-1"
"Estradiol","12.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-147-01)","70713-147-01","2019-1"
"Estradiol","20 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-145-01)","70713-145-01","2019-1"
"Estradiol","6 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-009-01)","70713-009-01","2019-1"
"Estradiol","6 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-050-01)","70713-050-01","2019-1"
"Estradiol","25 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-053-01)","70713-053-01","2019-1"
"Estradiol","12.5 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-051-01)","70713-051-01","2019-1"
"Estradiol","15 mg","pellet, implantable","Wells Pharmacy, Inc(057193721)","1 Pellet, Implantable in 1 Blister Pack (70713-052-01)","70713-052-01","2019-1"
"Phentolamine Mesylate; Alprostadil; Atropine Sulfate; Papaverine Hydrochloride",".2 mg/1 mL; 10 ug/1 mL; .02 mg/1 mL; .9 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-205-05)","70713-205-05","2019-1"
"Phentolamine Mesylate; Papaverine Hydrochloride; Alprostadil; Atropine Sulfate","3 mg/1 mL; 30 mg/1 mL; 60 ug/1 mL; .2 mg/1 mL","injection, solution","Wells Pharmacy, Inc(057193721)","5 Ml in 1 Vial, Multi-Dose (70713-204-05)","70713-204-05","2019-1"
